id,app_data,net_data,duty_cycle_remaining,sent,ack_required,delivered,send_time,ap_id,node_id
1521,"","[{""sf"":9,""power"":15,""type"":""NORMAL""}]",3008,t,f,t,2020-04-11 00:00:01.152,555555,oqRm
1522,"","[{""sf"":10,""power"":14,""type"":""NORMAL""}]",3187,t,f,t,2020-04-11 00:00:06.309,888888,HobG
1523,"","[{""sf"":10,""power"":15,""type"":""NORMAL""}]",3187,t,f,t,2020-04-11 00:00:14.578,999999,2iDN
1524,"","[{""sf"":10,""power"":14,""type"":""NORMAL""}]",3187,t,f,t,2020-04-11 00:00:17.204,888888,HAuL
1525,"","[{""sf"":10,""power"":15,""type"":""NORMAL""}]",3008,t,f,t,2020-04-11 00:00:24.368,111111,btjb
1526,"","[{""sf"":9,""power"":14,""type"":""NORMAL""}]",3008,t,f,t,2020-04-11 00:01:02.79,666666,QSCN
1527,"","[{""sf"":8,""power"":15,""type"":""NORMAL""}]",3187,t,f,t,2020-04-11 00:01:08.143,888888,oqRm
1528,"","[{""sf"":10,""power"":14,""type"":""NORMAL""}]",3008,t,f,t,2020-04-11 00:01:18.828,888888,yGXH
1529,"","[{""sf"":10,""power"":15,""type"":""NORMAL""}]",3187,t,f,t,2020-04-11 00:01:21.712,777777,5WRf
1530,"","[{""sf"":10,""power"":15,""type"":""NORMAL""}]",3008,t,f,t,2020-04-11 00:01:25.218,999999,FQDU
1531,"","[{""sf"":9,""power"":15,""type"":""NORMAL""}]",3008,t,f,t,2020-04-11 00:01:30.615,444444,vPkA
1532,"","[{""sf"":9,""power"":15,""type"":""NORMAL""}]",3187,t,f,t,2020-04-11 00:01:36.457,111111,Brvp
1533,"","[{""sf"":8,""power"":15,""type"":""NORMAL""}]",3008,t,f,t,2020-04-11 00:01:36.94,999999,Vt4R
1534,"","[{""sf"":8,""power"":15,""type"":""NORMAL""}]",3187,t,f,t,2020-04-11 00:01:39.912,888888,Ocqa
1535,"","[{""sf"":11,""power"":14,""type"":""NORMAL""}]",3187,t,f,t,2020-04-11 00:01:44.719,777777,CAKN
1536,"","[{""sf"":10,""power"":14,""type"":""NORMAL""}]",3008,t,f,t,2020-04-11 00:01:45.784,000000,uq1F
1537,"","[{""sf"":10,""power"":13,""type"":""NORMAL""}]",3187,t,f,t,2020-04-11 00:01:58.206,999999,dq2F
1538,"",[],3207,t,f,t,2020-04-11 00:02:06.646,000000,7Txo
1539,"",[],3207,t,f,t,2020-04-11 00:02:10.462,333333,8oyY
1540,"","[{""sf"":9,""power"":15,""type"":""NORMAL""}]",3008,t,f,t,2020-04-11 00:02:37.633,000000,lC7S
1541,"","[{""sf"":9,""power"":15,""type"":""NORMAL""}]",3187,t,f,t,2020-04-11 00:02:51.495,444444,X5AB
1542,"","[{""sf"":9,""power"":15,""type"":""NORMAL""}]",3187,t,f,t,2020-04-11 00:03:09.02,999999,Z46u
1543,"","[{""sf"":9,""power"":15,""type"":""NORMAL""}]",3187,t,f,t,2020-04-11 00:03:21.933,555555,kcYW
1544,"","[{""sf"":10,""power"":14,""type"":""NORMAL""}]",3187,t,f,t,2020-04-11 00:03:25.709,777777,2iDN
1545,"","[{""sf"":10,""power"":15,""type"":""NORMAL""}]",3008,t,f,t,2020-04-11 00:03:31.511,333333,1iDV
1546,"","[{""sf"":8,""power"":15,""type"":""NORMAL""}]",3187,t,f,t,2020-04-11 00:03:32.622,555555,X5AB
1547,"","[{""sf"":11,""power"":15,""type"":""NORMAL""}]",3008,t,f,t,2020-04-11 00:03:51.155,222222,quiZ
1548,"",[],3207,t,f,t,2020-04-11 00:03:59.647,999999,xI1p
1549,"",[],3028,t,f,t,2020-04-11 00:04:10.857,888888,bBS2
1550,"",[],3207,t,f,t,2020-04-11 00:04:11.825,222222,xawQ
1551,"","[{""sf"":11,""power"":14,""type"":""NORMAL""}]",3008,t,f,t,2020-04-11 00:04:17.386,111111,xawQ
1552,"","[{""sf"":9,""power"":15,""type"":""NORMAL""}]",3187,t,f,t,2020-04-11 00:04:32.291,333333,kqki
1553,"","[{""sf"":11,""power"":14,""type"":""NORMAL""}]",3187,t,f,t,2020-04-11 00:04:33.826,666666,A6Z6
1554,"","[{""sf"":9,""power"":14,""type"":""NORMAL""}]",3187,t,f,t,2020-04-11 00:04:38.404,000000,HAuL
1555,"","[{""sf"":10,""power"":14,""type"":""NORMAL""}]",3008,t,f,t,2020-04-11 00:04:43.326,444444,5WiV
1556,"","[{""sf"":11,""power"":14,""type"":""NORMAL""}]",3008,t,f,t,2020-04-11 00:04:50.325,999999,98PA
1557,"","[{""sf"":10,""power"":14,""type"":""NORMAL""}]",3187,t,f,t,2020-04-11 00:04:59.22,000000,yHWk
1558,"","[{""sf"":8,""power"":15,""type"":""NORMAL""}]",3187,t,f,t,2020-04-11 00:05:01.783,888888,Brvp
1559,"",[],3207,t,f,t,2020-04-11 00:05:04.135,444444,b3cq
1560,"","[{""sf"":9,""power"":15,""type"":""NORMAL""}]",3187,t,f,t,2020-04-11 00:05:06.487,777777,K7Y0
1561,"","[{""sf"":9,""power"":15,""type"":""NORMAL""}]",3187,t,f,t,2020-04-11 00:05:11.285,999999,JLsR
1562,"","[{""sf"":8,""power"":14,""type"":""NORMAL""}]",3008,t,f,t,2020-04-11 00:05:13.146,333333,4Lt4
1563,"",[],3028,t,f,t,2020-04-11 00:05:24.006,333333,NvIt
1564,"","[{""sf"":11,""power"":15,""type"":""NORMAL""}]",3187,t,f,t,2020-04-11 00:05:34.675,333333,cQQI
1565,"","[{""sf"":10,""power"":15,""type"":""NORMAL""}]",3187,t,f,t,2020-04-11 00:05:44.884,444444,Yo4A
1566,"","[{""sf"":10,""power"":14,""type"":""NORMAL""}]",3187,t,f,t,2020-04-11 00:05:50.113,000000,drPl
