id,app_data,snr,rssi,duty_cycle_remaining,is_primary,receive_time,frequency,spf,power,airtime,coderate,bandwidth,msg_group_number,message_type_id,ap_id,node_id
1,MTE2LDEwMA==,9.51,-67.8,35954,t,2020-04-13 12:29:25.446,866100000,7,13,46,4/5,125000,0,1,111111,ZtWt
2,ODAsMTAw,7.2,-55.5,35960,t,2020-04-13 12:29:35.51,866100000,7,13,40,4/5,125000,0,1,111111,P76q
3,NjcsMTAw,6.9,-97.5,35960,t,2020-04-13 12:29:45.293,866100000,7,13,40,4/5,125000,0,1,111111,EAvO
4,ODksMTAw,8.48,-50.2,35960,t,2020-04-13 12:29:55.253,866100000,7,13,40,4/5,125000,0,1,111111,Mcg8
5,NzgsMTAw,9.2,-90.7,35960,t,2020-04-13 12:30:05.255,866100000,7,13,40,4/5,125000,0,1,111111,mtIy
6,NjcsMTAw,11.45,-45.1,35960,t,2020-04-13 12:30:15.288,866100000,7,13,40,4/5,125000,0,1,111111,dHjj
7,MTQ3LDEwMA==,11.38,-86.7,35954,t,2020-04-13 12:30:25.394,866900000,7,14,46,4/5,125000,0,1,111111,irMh
8,MTQxLDEwMA==,11.62,-86.1,35954,t,2020-04-13 12:30:36.145,866100000,7,9,46,4/5,125000,0,1,111111,zYf4
9,MTI2LDEwMA==,7.72,-75.4,35954,t,2020-04-13 12:30:46.11,866100000,7,9,46,4/5,125000,0,1,111111,k6Uy
10,ODksMTAw,8.43,-49.2,35960,t,2020-04-13 12:30:56.09,866100000,7,9,40,4/5,125000,0,1,111111,EoMu
11,MTQzLDEwMA==,10.79,-65.2,35954,t,2020-04-13 12:31:06.098,866100000,7,9,46,4/5,125000,0,1,111111,QSCN
12,MTM0LDEwMA==,10.59,-97,35954,t,2020-04-13 12:31:16.112,866100000,7,9,46,4/5,125000,0,1,111111,qOYa
13,ODcsMTAw,6.53,-84.9,35960,t,2020-04-13 12:31:26.113,866100000,7,9,40,4/5,125000,0,1,111111,COGd
14,MTI4LDEwMA==,7.73,-75.8,35954,t,2020-04-13 12:31:36.128,866100000,7,9,46,4/5,125000,0,1,111111,neuL
15,NzUsMTAw,7.18,-62.5,35960,t,2020-04-13 12:31:46.129,866100000,7,9,40,4/5,125000,0,1,111111,WMDm
16,NTEsMTAw,11.17,-53.9,35960,t,2020-04-13 12:31:56.14,866900000,7,14,40,4/5,125000,0,1,111111,tBfb
17,ODgsMTAw,9.87,-79.6,35960,t,2020-04-13 12:32:06.756,866100000,7,10,40,4/5,125000,0,1,111111,cCHv
18,NTcsMTAw,8.97,-75.9,35960,t,2020-04-13 12:32:16.9,866900000,7,14,40,4/5,125000,0,1,111111,LHvD
19,NjYsMTAw,8.06,-112.3,35505,t,2020-04-13 12:32:27.537,866100000,11,14,495,4/5,125000,0,1,111111,8hjt
20,MTI4LDEwMA==,11.58,-47,35432,t,2020-04-13 12:32:37.521,866100000,11,14,568,4/5,125000,0,1,111111,Nrzl
21,MTA0LDEwMA==,6.93,-41.5,35432,t,2020-04-13 12:32:47.531,866100000,11,14,568,4/5,125000,0,1,111111,VcvN
22,NzMsMTAw,7.44,-43.9,35505,t,2020-04-13 12:32:57.537,866100000,11,14,495,4/5,125000,0,1,111111,kRLS
23,MTM4LDEwMA==,7.36,-99.3,35432,t,2020-04-13 12:33:07.543,866100000,11,14,568,4/5,125000,0,1,111111,M0G0
24,MTI5LDEwMA==,8.71,-110.4,35432,t,2020-04-13 12:33:17.543,866100000,11,14,568,4/5,125000,0,1,111111,pIH0
25,MTQzLDEwMA==,10.41,-74.1,35432,t,2020-04-13 12:33:27.552,866100000,11,14,568,4/5,125000,0,1,111111,fZsx
26,OTcsMTAw,11.42,-100.1,35505,t,2020-04-13 12:33:37.57,866100000,11,14,495,4/5,125000,0,1,111111,odWW
27,MTI2LDEwMA==,7.43,-64.1,35432,t,2020-04-13 12:33:47.571,866100000,11,14,568,4/5,125000,0,1,111111,vYiR
28,MTQ4LDEwMA==,11.02,-58.4,35954,t,2020-04-13 12:33:57.586,866900000,7,14,46,4/5,125000,0,1,111111,mffj
29,MTA1LDEwMA==,11.37,-95.5,35954,t,2020-04-13 12:34:08.186,866100000,7,7,46,4/5,125000,0,1,111111,fOGR
30,MTIxLDEwMA==,11.1,-84.2,35954,t,2020-04-13 12:34:18.198,866100000,7,7,46,4/5,125000,0,1,111111,updg
