id,app_data,net_data,duty_cycle_remaining,sent,ack_required,delivered,send_time,frequency,spf,power,airtime,coderate,bandwidth,ap_id,node_id
1,"",[],35926,t,f,t,2020-04-14 20:52:15.8,866900000,7,15,40,4/5,125000,111113,KmoT
2,"","[{""sf"":8,""power"":14,""type"":""NORMAL""}]",35906,t,f,t,2020-04-14 20:52:23.747,866900000,7,15,40,4/5,125000,111111,OFeD
3,"","[{""sf"":10,""power"":13,""type"":""NORMAL""}]",35906,t,f,t,2020-04-14 20:52:34.749,866900000,7,14,40,4/5,125000,111112,Jppo
4,"","[{""sf"":7,""power"":11,""type"":""NORMAL""}]",34181,t,f,t,2020-04-14 20:52:38.635,866900000,12,15,901,4/5,125000,111114,7wPG
5,"","[{""sf"":9,""power"":13,""type"":""NORMAL""}]",35906,t,f,t,2020-04-14 20:52:39.747,866900000,7,14,40,4/5,125000,111117,Jppo
6,"","[{""sf"":8,""power"":13,""type"":""NORMAL""}]",35900,t,f,t,2020-04-14 20:52:40.751,866900000,7,14,46,4/5,125000,111118,Jppo
7,"","[{""sf"":7,""power"":13,""type"":""NORMAL""}]",35906,t,f,t,2020-04-14 20:52:42.757,866900000,7,14,40,4/5,125000,111120,Jppo
8,"",[],35920,t,f,t,2020-04-14 20:52:46.745,866900000,7,14,46,4/5,125000,111114,rerN
9,"",[],34509,t,f,t,2020-04-14 20:52:47.308,866900000,12,15,901,4/5,125000,111113,6BHV
10,"",[],34509,t,f,t,2020-04-14 20:52:49.442,866900000,12,15,901,4/5,125000,111112,rawO
11,"",[],34509,t,f,t,2020-04-14 20:52:50.542,866900000,12,15,901,4/5,125000,111116,6BHV
12,"",[],34509,t,f,t,2020-04-14 20:52:50.57,866900000,12,15,901,4/5,125000,111113,rawO
13,"",[],35926,t,f,t,2020-04-14 20:52:51.791,866900000,7,14,40,4/5,125000,111119,rerN
14,"",[],34509,t,f,t,2020-04-14 20:52:55.33,866900000,12,15,901,4/5,125000,111111,gnDN
15,"","[{""sf"":9,""power"":15,""type"":""NORMAL""}]",34050,t,f,t,2020-04-14 20:53:00.566,866900000,12,15,1032,4/5,125000,111114,ONJD
16,"",[],34378,t,f,t,2020-04-14 20:53:00.583,866900000,12,15,1032,4/5,125000,111113,LPcK
17,"",[],34378,t,f,t,2020-04-14 20:53:02.157,866900000,12,15,1032,4/5,125000,111113,Vz1w
18,"","[{""sf"":8,""power"":15,""type"":""NORMAL""}]",34050,t,f,t,2020-04-14 20:53:03.931,866900000,12,15,1032,4/5,125000,111118,ONJD
19,"",[],34509,t,f,t,2020-04-14 20:53:04.028,866900000,12,15,901,4/5,125000,111115,Vz1w
20,"",[],34509,t,f,t,2020-04-14 20:53:04.416,866900000,12,15,901,4/5,125000,111117,LPcK
21,"","[{""sf"":8,""power"":14,""type"":""NORMAL""}]",34181,t,f,t,2020-04-14 20:53:16.471,866900000,12,15,901,4/5,125000,111119,LY7D
