id,app_data,snr,rssi,duty_cycle_remaining,is_primary,receive_time,seq,frequency,spf,power,airtime,coderate,bandwidth,msg_group_number,message_type_id,ap_id,node_id
1,NTYsMTAw,9.42,-36.2,35960,t,2020-04-14 20:52:15.74,1,866900000,7,14,40,4/5,125000,0,1,111113,KmoT
2,NTEsMTAw,6.53,-42.5,35960,t,2020-04-14 20:52:23.696,1,866900000,7,14,40,4/5,125000,0,1,111111,OFeD
3,NTgsMTAw,7.99,-70.2,35960,t,2020-04-14 20:52:34.717,1,866900000,7,14,40,4/5,125000,0,1,111112,Jppo
4,NTAsMTAw,7.04,-51.9,35099,t,2020-04-14 20:52:38.619,1,866900000,12,15,901,4/5,125000,0,1,111114,7wPG
5,NTIsMTAw,9.32,-69.8,35960,t,2020-04-14 20:52:39.732,1,866900000,7,14,40,4/5,125000,1,1,111117,Jppo
6,MTQ5LDEwMA==,7.93,-44.8,35954,t,2020-04-14 20:52:40.733,1,866900000,7,14,46,4/5,125000,2,1,111118,Jppo
7,NTQsMTAw,9.51,-94.4,35960,t,2020-04-14 20:52:42.738,1,866900000,7,14,40,4/5,125000,3,1,111120,Jppo
8,MTQ5LDEwMA==,8.76,-95.2,35954,t,2020-04-14 20:52:46.737,1,866900000,7,14,46,4/5,125000,0,1,111114,rerN
9,NTgsMTAw,8.2,-90.6,35099,t,2020-04-14 20:52:47.28,1,866900000,12,15,901,4/5,125000,0,1,111113,6BHV
10,NTQsMTAw,8.37,-40.4,35099,t,2020-04-14 20:52:49.428,1,866900000,12,15,901,4/5,125000,0,1,111112,rawO
11,NTYsMTAw,10.7,-52.1,35099,t,2020-04-14 20:52:50.516,1,866900000,12,15,901,4/5,125000,1,1,111116,6BHV
12,NTQsMTAw,11.69,-92.8,35099,t,2020-04-14 20:52:50.551,1,866900000,12,15,901,4/5,125000,1,1,111113,rawO
13,NTUsMTAw,10.25,-85.4,35960,t,2020-04-14 20:52:51.779,1,866900000,7,14,40,4/5,125000,1,1,111119,rerN
14,NTMsMTAw,7.34,-90.4,35099,t,2020-04-14 20:52:55.321,1,866900000,12,15,901,4/5,125000,0,1,111111,gnDN
15,MTQ4LDEwMA==,8.48,-55.8,34968,t,2020-04-14 20:53:00.075,1,866900000,12,15,1032,4/5,125000,0,1,111114,ONJD
16,MTQ4LDEwMA==,10.63,-90.2,34968,t,2020-04-14 20:53:00.574,1,866900000,12,15,1032,4/5,125000,0,1,111113,LPcK
17,MTQ4LDEwMA==,7.48,-35.4,34968,t,2020-04-14 20:53:02.145,1,866900000,12,15,1032,4/5,125000,0,1,111113,Vz1w
18,MTUwLDEwMA==,10.33,-70.4,34968,t,2020-04-14 20:53:03.907,1,866900000,12,15,1032,4/5,125000,1,1,111118,ONJD
19,NTMsMTAw,6.54,-58.3,35099,t,2020-04-14 20:53:04.01,1,866900000,12,15,901,4/5,125000,1,1,111115,Vz1w
20,NTAsMTAw,11.03,-56.8,35099,t,2020-04-14 20:53:04.405,1,866900000,12,15,901,4/5,125000,1,1,111117,LPcK
21,NTMsMTAw,7.21,-114.8,35099,t,2020-04-14 20:53:16.451,1,866900000,12,15,901,4/5,125000,0,1,111119,LY7D
22,MTUwLDEwMA==,8.29,-110.4,34968,t,2020-04-14 20:53:17.579,1,866900000,12,15,1032,4/5,125000,0,1,111117,p5Ni
23,NTksMTAw,9.36,-88.6,35099,t,2020-04-14 20:53:19.987,1,866900000,12,15,901,4/5,125000,0,1,111111,wRd5
24,MTQ3LDEwMA==,7.57,-55.3,34968,t,2020-04-14 20:53:20.482,1,866900000,12,15,1032,4/5,125000,0,1,111113,sC9r
25,NTEsMTAw,11.34,-96.5,35099,t,2020-04-14 20:53:20.56,1,866900000,12,15,901,4/5,125000,1,1,111120,p5Ni
26,NTMsMTAw,11.7,-44.7,35099,t,2020-04-14 20:53:23.818,1,866900000,12,15,901,4/5,125000,0,1,111113,rHx7
27,NTEsMTAw,11.29,-99.1,35099,t,2020-04-14 20:53:26.414,1,866900000,12,15,901,4/5,125000,1,1,111116,wRd5
28,NTcsMTAw,9.98,-96.8,35099,t,2020-04-14 20:53:27.619,1,866900000,12,15,901,4/5,125000,0,1,111115,COGd
29,NTEsMTAw,8.62,-100.2,35099,t,2020-04-14 20:53:34.527,1,866900000,12,15,901,4/5,125000,0,1,111115,n1cH
30,NTgsMTAw,11.48,-106.7,35099,t,2020-04-14 20:53:36.378,1,866900000,12,15,901,4/5,125000,0,1,111117,s362
31,NTEsMTAw,8.26,-100.7,35099,t,2020-04-14 20:53:39.964,1,866900000,12,15,901,4/5,125000,0,1,111113,gvBd
32,NTEsMTAw,8.13,-112.2,35099,t,2020-04-14 20:53:40.477,1,866900000,12,15,901,4/5,125000,0,1,111117,zRMn
33,NTYsMTAw,6.94,-69.7,35099,t,2020-04-14 20:53:43.392,1,866900000,12,15,901,4/5,125000,0,1,111112,dP8l
34,MTQ4LDEwMA==,10.76,-94.2,34968,t,2020-04-14 20:53:44.129,1,866900000,12,15,1032,4/5,125000,1,1,111120,n1cH
35,NTQsMTAw,9.61,-83.4,35099,t,2020-04-14 20:53:44.777,1,866900000,12,15,901,4/5,125000,0,1,111111,Coc5
36,MTQ3LDEwMA==,10.7,-48.9,34968,t,2020-04-14 20:53:45.69,1,866900000,12,15,1032,4/5,125000,1,1,111112,Coc5
