id,app_data,net_data,duty_cycle_remaining,sent,ack_required,delivered,send_time,frequency,spf,power,airtime,coderate,bandwidth,ap_id,node_id
5575,"","[{""sf"":9,""power"":15,""type"":""NORMAL""}]",34181,t,f,t,2020-04-15 00:00:04.911,866900000,12,15,901,4/5,125000,111115,dOPa
5576,"",[],34509,t,f,t,2020-04-15 00:00:06.526,866900000,12,15,901,4/5,125000,111112,tf8o
5577,"","[{""sf"":10,""power"":15,""type"":""NORMAL""}]",34181,t,f,t,2020-04-15 00:00:18.12,866900000,12,15,901,4/5,125000,111112,Rakn
5578,"",[],34509,t,f,t,2020-04-15 00:00:18.429,866900000,12,15,901,4/5,125000,111117,JFGw
5579,"","[{""sf"":10,""power"":13,""type"":""NORMAL""}]",34181,t,f,t,2020-04-15 00:00:18.523,866900000,12,15,901,4/5,125000,111113,MxKJ
5580,"","[{""sf"":11,""power"":13,""type"":""NORMAL""}]",34181,t,f,t,2020-04-15 00:00:19.775,866900000,12,15,901,4/5,125000,111120,Y5vs
5581,"","[{""sf"":8,""power"":15,""type"":""NORMAL""}]",34181,t,f,t,2020-04-15 00:00:19.799,866900000,12,15,901,4/5,125000,111116,dOPa
5582,"","[{""sf"":9,""power"":15,""type"":""NORMAL""}]",34050,t,f,t,2020-04-15 00:00:21.657,866900000,12,15,1032,4/5,125000,111115,Rakn
5583,"","[{""sf"":7,""power"":7,""type"":""NORMAL""}]",34181,t,f,t,2020-04-15 00:00:28.746,866900000,12,15,901,4/5,125000,111113,g2PS
5584,"",[],34509,t,f,t,2020-04-15 00:00:28.951,866900000,12,15,901,4/5,125000,111118,JFGw
5585,"",[],34378,t,f,t,2020-04-15 00:00:29.063,866900000,12,15,1032,4/5,125000,111115,VjaW
5586,"","[{""sf"":7,""power"":7,""type"":""NORMAL""}]",34181,t,f,t,2020-04-15 00:00:29.509,866900000,12,15,901,4/5,125000,111117,Ga8f
5587,"","[{""sf"":10,""power"":14,""type"":""NORMAL""}]",34181,t,f,t,2020-04-15 00:00:29.648,866900000,12,15,901,4/5,125000,111119,BSQa
5588,"","[{""sf"":11,""power"":14,""type"":""NORMAL""}]",34181,t,f,t,2020-04-15 00:00:29.867,866900000,12,14,901,4/5,125000,111120,JqwT
5589,"",[],34378,t,f,t,2020-04-15 00:00:29.89,866900000,12,15,1032,4/5,125000,111118,g8Tz
5590,"","[{""sf"":10,""power"":15,""type"":""NORMAL""}]",34181,t,f,t,2020-04-15 00:00:30.06,866900000,12,15,901,4/5,125000,111114,S1Nb
5591,"","[{""sf"":9,""power"":13,""type"":""NORMAL""}]",34181,t,f,t,2020-04-15 00:00:30.983,866900000,12,15,901,4/5,125000,111111,MxKJ
5592,"","[{""sf"":8,""power"":11,""type"":""NORMAL""}]",34181,t,f,t,2020-04-15 00:00:31.342,866900000,12,15,901,4/5,125000,111116,tQaw
5593,"",[],34509,t,f,t,2020-04-15 00:00:33.251,866900000,12,15,901,4/5,125000,111115,JFGw
5594,"","[{""sf"":8,""power"":13,""type"":""NORMAL""}]",34181,t,f,t,2020-04-15 00:00:37.471,866900000,12,15,901,4/5,125000,111117,MxKJ
5595,"","[{""sf"":9,""power"":15,""type"":""NORMAL""}]",34181,t,f,t,2020-04-15 00:00:40.377,866900000,12,15,901,4/5,125000,111118,S1Nb
5596,"","[{""sf"":7,""power"":14,""type"":""NORMAL""}]",34181,t,f,t,2020-04-15 00:00:41.237,866900000,12,14,901,4/5,125000,111119,gCW1
5597,"",[],34509,t,f,t,2020-04-15 00:00:41.457,866900000,12,15,901,4/5,125000,111114,JFGw
5598,"","[{""sf"":10,""power"":15,""type"":""NORMAL""}]",34050,t,f,t,2020-04-15 00:00:41.482,866900000,12,15,1032,4/5,125000,111116,it7p
5599,"","[{""sf"":7,""power"":15,""type"":""NORMAL""}]",34050,t,f,t,2020-04-15 00:00:42.6,866900000,12,15,1032,4/5,125000,111112,s0HJ
5600,"",[],34378,t,f,t,2020-04-15 00:00:52.118,866900000,12,15,1032,4/5,125000,111112,VNUv
5601,"","[{""sf"":10,""power"":15,""type"":""NORMAL""}]",34181,t,f,t,2020-04-15 00:00:53.947,866900000,12,15,901,4/5,125000,111114,gOIP
5602,"","[{""sf"":7,""power"":14,""type"":""NORMAL""}]",34181,t,f,t,2020-04-15 00:00:54.388,866900000,12,15,901,4/5,125000,111111,s0HJ
5603,"","[{""sf"":9,""power"":15,""type"":""NORMAL""}]",34181,t,f,t,2020-04-15 00:00:54.602,866900000,12,15,901,4/5,125000,111112,it7p
5604,"",[],34378,t,f,t,2020-04-15 00:00:54.72,866900000,12,15,1032,4/5,125000,111118,BnSh
5605,"",[],34378,t,f,t,2020-04-15 00:00:56.522,866900000,12,15,1032,4/5,125000,111115,VNUv
5606,"","[{""sf"":11,""power"":14,""type"":""NORMAL""}]",34181,t,f,t,2020-04-15 00:01:04.593,866900000,12,14,901,4/5,125000,111113,rpQa
5607,"","[{""sf"":9,""power"":11,""type"":""NORMAL""}]",34181,t,f,t,2020-04-15 00:01:04.714,866900000,12,15,901,4/5,125000,111117,tQaw
5608,"","[{""sf"":9,""power"":15,""type"":""NORMAL""}]",34181,t,f,t,2020-04-15 00:01:04.848,866900000,12,15,901,4/5,125000,111118,gOIP
5609,"","[{""sf"":10,""power"":15,""type"":""NORMAL""}]",34181,t,f,t,2020-04-15 00:01:08.971,866900000,12,15,901,4/5,125000,111115,oQgd
5610,"",[],34509,t,f,t,2020-04-15 00:01:12.237,866900000,12,15,901,4/5,125000,111115,iLIN
5611,"",[],34509,t,f,t,2020-04-15 00:01:17.011,866900000,12,15,901,4/5,125000,111115,vpYF
5612,"",[],34509,t,f,t,2020-04-15 00:01:17.848,866900000,12,15,901,4/5,125000,111111,UTPN
