id,app_data,snr,rssi,duty_cycle_remaining,is_primary,receive_time,msg_group_number,ap_id,node_id
2025,OTcsMTAw,7.27,-103.7,3241,t,2020-04-09 22:39:12.473,0,222222,KmoT
2026,MTI4LDEwMA==,9.7,-91.5,3062,t,2020-04-09 22:39:12.487,0,222222,AmbT
2027,MTA3LDEwMA==,10.51,-55.3,3062,t,2020-04-09 22:39:12.516,0,222222,FEwg
2028,NjAsMTAw,9.69,-72.9,3241,t,2020-04-09 22:39:12.526,0,222222,1sDM
2029,OTgsMTAw,11.16,-49.8,3241,t,2020-04-09 22:39:12.535,0,222222,3azV
2030,MTM4LDEwMA==,7.69,-105.1,3062,t,2020-04-09 22:39:12.547,0,222222,tS1V
2031,MTEyLDEwMA==,9.45,-71.8,3062,t,2020-04-09 22:39:12.559,0,222222,uydL
2032,NjEsMTAw,7.94,-54.6,3241,t,2020-04-09 22:39:12.57,0,222222,FR2S
2033,OTIsMTAw,7.03,-42.2,3241,t,2020-04-09 22:39:12.582,0,222222,IcMo
2034,NzUsMTAw,6.81,-88.3,3241,t,2020-04-09 22:39:12.592,0,222222,ZLiV
2035,ODcsMTAw,9.01,-100.5,3241,t,2020-04-09 22:39:12.601,0,222222,fBr9
2036,MTM4LDEwMA==,11.12,-39.4,3062,t,2020-04-09 22:39:12.611,0,222222,uJ5i
2037,ODUsMTAw,8.49,-49.1,3241,t,2020-04-09 22:39:12.622,0,222222,0WFb
2038,MTI2LDEwMA==,11.37,-69.3,3062,t,2020-04-09 22:39:12.632,0,222222,q4jB
2039,MTAyLDEwMA==,10.48,-53.3,3062,t,2020-04-09 22:39:12.642,0,222222,D6TE
2040,NzQsMTAw,6.89,-48.5,3241,t,2020-04-09 22:39:12.653,0,222222,7lH1
2041,MTIyLDEwMA==,9.71,-48.1,3062,t,2020-04-09 22:39:12.665,0,222222,Hfab
2042,NTMsMTAw,9.48,-112.6,3241,t,2020-04-09 22:39:12.675,0,222222,Gjr8
2043,OTAsMTAw,8.11,-36.6,3241,t,2020-04-09 22:39:12.694,0,222222,U7N3
2044,MTM1LDEwMA==,8.39,-68.3,3062,t,2020-04-09 22:39:12.704,0,222222,M2oC
2045,NzAsMTAw,6.82,-98.4,3241,t,2020-04-09 22:39:12.714,0,222222,yNLs
2046,NzAsMTAw,7.92,-40.8,3241,t,2020-04-09 22:39:12.745,0,222222,DIRr
2047,MTA4LDEwMA==,7.69,-52.1,3062,t,2020-04-09 22:39:12.757,0,222222,lXJx
2048,OTAsMTAw,9.05,-103.2,3241,t,2020-04-09 22:39:12.769,0,222222,q3YV
2049,MTI5LDEwMA==,9.27,-106.5,3062,t,2020-04-09 22:39:12.779,0,222222,FylL
