id,app_data,net_data,duty_cycle_remaining,sent,ack_required,delivered,send_time,frequency,spf,power,airtime,coderate,bandwidth,ap_id,node_id
1,"","[{""sf"":10,""power"":15,""type"":""NORMAL""}]",35005,t,f,t,2020-05-03 20:43:46.063,866100000,7,15,40,4/5,125000,111111,LteR
2,"","[{""sf"":11,""power"":15,""type"":""NORMAL""}]",34868,t,f,t,2020-05-03 20:43:51.637,866100000,7,15,46,4/5,125000,111111,3HGr
3,"",[],33608,t,f,t,2020-05-03 20:44:12.309,866900000,12,15,901,4/5,125000,111111,TOxm
4,"","[{""sf"":10,""power"":15,""type"":""NORMAL""}]",33280,t,f,t,2020-05-03 20:44:22.884,866100000,12,15,901,4/5,125000,111111,JJ5v
5,"","[{""sf"":11,""power"":14,""type"":""NORMAL""}]",33149,t,f,t,2020-05-03 20:44:39.591,866100000,12,14,1032,4/5,125000,111111,ZFT1
6,"","[{""sf"":10,""power"":15,""type"":""NORMAL""}]",34072,t,f,t,2020-05-03 20:44:50.168,866100000,11,15,568,4/5,125000,111111,TYuc
7,"","[{""sf"":10,""power"":15,""type"":""NORMAL""}]",33941,t,f,t,2020-05-03 20:45:01.312,866100000,11,15,568,4/5,125000,111111,OBzA
8,"",[],33608,t,f,t,2020-05-03 20:45:11.958,866900000,12,15,901,4/5,125000,111111,2mY4
9,"","[{""sf"":10,""power"":15,""type"":""NORMAL""}]",33149,t,f,t,2020-05-03 20:45:27.6,866900000,12,15,901,4/5,125000,111111,F3LY
10,"","[{""sf"":10,""power"":15,""type"":""NORMAL""}]",33018,t,f,t,2020-05-03 20:45:38.236,866900000,12,15,1032,4/5,125000,111111,34BL
11,"","[{""sf"":10,""power"":15,""type"":""NORMAL""}]",33149,t,f,t,2020-05-03 20:45:43.802,866100000,12,15,901,4/5,125000,111111,QzjY
12,"","[{""sf"":11,""power"":15,""type"":""NORMAL""}]",33941,t,f,t,2020-05-03 20:46:10.527,866100000,11,15,568,4/5,125000,111111,4WgY
13,"","[{""sf"":11,""power"":15,""type"":""NORMAL""}]",33941,t,f,t,2020-05-03 20:46:26.695,866100000,11,15,568,4/5,125000,111111,h6Kv
14,"","[{""sf"":12,""power"":15,""type"":""NORMAL""}]",33149,t,f,t,2020-05-03 20:46:32.27,866100000,12,15,901,4/5,125000,111111,5Z0m
15,"","[{""sf"":11,""power"":15,""type"":""NORMAL""}]",33018,t,f,t,2020-05-03 20:46:43.415,866100000,12,15,1032,4/5,125000,111111,evXD
16,"","[{""sf"":11,""power"":15,""type"":""NORMAL""}]",33149,t,f,t,2020-05-03 20:46:54.572,866100000,12,15,901,4/5,125000,111111,BByP
17,"","[{""sf"":12,""power"":14,""type"":""NORMAL""}]",33149,t,f,t,2020-05-03 20:47:11.304,866100000,12,15,1032,4/5,125000,111111,euVS
18,"","[{""sf"":10,""power"":15,""type"":""NORMAL""}]",33280,t,f,t,2020-05-03 20:47:16.963,866100000,12,15,901,4/5,125000,111111,wsdC
19,"","[{""sf"":10,""power"":15,""type"":""NORMAL""}]",33941,t,f,t,2020-05-03 20:47:44.264,866100000,11,15,568,4/5,125000,111111,GkmL
20,"","[{""sf"":11,""power"":15,""type"":""NORMAL""}]",34145,t,f,t,2020-05-03 20:48:16.406,866100000,11,15,495,4/5,125000,111111,HSHm
21,"","[{""sf"":9,""power"":15,""type"":""NORMAL""}]",32581,t,f,t,2020-05-03 20:48:48.846,866900000,12,15,901,4/5,125000,111111,OBzA
22,"","[{""sf"":9,""power"":15,""type"":""NORMAL""}]",35900,t,f,t,2020-05-03 20:49:06.897,866100000,7,15,46,4/5,125000,111112,LteR
23,"","[{""sf"":10,""power"":15,""type"":""NORMAL""}]",35900,t,f,t,2020-05-03 20:49:12.508,866100000,7,15,46,4/5,125000,111112,3HGr
24,"",[],33608,t,f,t,2020-05-03 20:49:15.068,866900000,12,15,901,4/5,125000,111111,TOxm
25,"","[{""sf"":9,""power"":15,""type"":""NORMAL""}]",35697,t,f,t,2020-05-03 20:49:18.089,866100000,9,15,147,4/5,125000,111112,JJ5v
26,"","[{""sf"":10,""power"":14,""type"":""NORMAL""}]",35697,t,f,t,2020-05-03 20:49:28.662,866100000,9,14,147,4/5,125000,111112,ZFT1
27,"","[{""sf"":8,""power"":15,""type"":""NORMAL""}]",34181,t,f,t,2020-05-03 20:49:34.735,866900000,12,15,901,4/5,125000,111112,OBzA
28,"",[],32909,t,f,t,2020-05-03 20:49:36.263,866900000,12,15,901,4/5,125000,111111,7azr
29,"","[{""sf"":9,""power"":15,""type"":""NORMAL""}]",35497,t,f,t,2020-05-03 20:49:40.322,866100000,10,15,233,4/5,125000,111112,TYuc
30,"","[{""sf"":7,""power"":6,""type"":""NORMAL""}]",34181,t,f,t,2020-05-03 20:49:58.994,866900000,12,15,901,4/5,125000,111113,gsAZ
31,"","[{""sf"":9,""power"":15,""type"":""NORMAL""}]",34181,t,f,t,2020-05-03 20:50:10.433,866900000,12,15,901,4/5,125000,111112,QzjY
32,"",[],33608,t,f,t,2020-05-03 20:50:13.612,866900000,12,15,901,4/5,125000,111111,2mY4
33,"","[{""sf"":7,""power"":6,""type"":""NORMAL""}]",35900,t,f,t,2020-05-03 20:50:14.595,866100000,7,15,46,4/5,125000,111113,OnKb
34,"","[{""sf"":7,""power"":6,""type"":""NORMAL""}]",35900,t,f,t,2020-05-03 20:50:25.176,866100000,7,15,46,4/5,125000,111113,ZBvV
35,"","[{""sf"":10,""power"":15,""type"":""NORMAL""}]",35697,t,f,t,2020-05-03 20:50:27.024,866100000,9,15,147,4/5,125000,111112,4WgY
36,"","[{""sf"":9,""power"":15,""type"":""NORMAL""}]",33149,t,f,t,2020-05-03 20:50:29.848,866900000,12,15,901,4/5,125000,111111,F3LY
37,"",[],34378,t,f,t,2020-05-03 20:50:35.258,866900000,12,15,1032,4/5,125000,111113,Tl0z
38,"","[{""sf"":10,""power"":15,""type"":""NORMAL""}]",35497,t,f,t,2020-05-03 20:50:37.611,866100000,10,15,233,4/5,125000,111112,h6Kv
39,"","[{""sf"":9,""power"":15,""type"":""NORMAL""}]",33018,t,f,t,2020-05-03 20:50:40.509,866900000,12,15,1032,4/5,125000,111111,34BL
40,"","[{""sf"":10,""power"":15,""type"":""NORMAL""}]",35497,t,f,t,2020-05-03 20:50:48.192,866100000,10,15,233,4/5,125000,111112,evXD
41,"","[{""sf"":7,""power"":6,""type"":""NORMAL""}]",34181,t,f,t,2020-05-03 20:50:50.342,866900000,12,15,901,4/5,125000,111113,WAI2
42,"","[{""sf"":10,""power"":15,""type"":""NORMAL""}]",35497,t,f,t,2020-05-03 20:50:53.763,866100000,10,15,233,4/5,125000,111112,BByP
43,"","[{""sf"":12,""power"":13,""type"":""NORMAL""}]",35497,t,f,t,2020-05-03 20:51:04.343,866100000,10,15,233,4/5,125000,111112,euVS
44,"","[{""sf"":9,""power"":15,""type"":""NORMAL""}]",35497,t,f,t,2020-05-03 20:51:09.916,866100000,10,15,233,4/5,125000,111112,wsdC
45,"","[{""sf"":7,""power"":5,""type"":""NORMAL""}]",35900,t,f,t,2020-05-03 20:51:10.883,866100000,7,15,46,4/5,125000,111114,Q07c
46,"","[{""sf"":8,""power"":15,""type"":""NORMAL""}]",34181,t,f,t,2020-05-03 20:51:15.56,866100000,12,15,901,4/5,125000,111112,F3LY
47,"","[{""sf"":7,""power"":6,""type"":""NORMAL""}]",34050,t,f,t,2020-05-03 20:51:15.962,866900000,12,15,1032,4/5,125000,111114,eTme
48,"",[],34378,t,f,t,2020-05-03 20:51:20.451,866900000,12,15,1032,4/5,125000,111113,O0pt
49,"","[{""sf"":8,""power"":15,""type"":""NORMAL""}]",35841,t,f,t,2020-05-03 20:51:26.141,866100000,8,15,71,4/5,125000,111112,34BL
50,"","[{""sf"":9,""power"":15,""type"":""NORMAL""}]",34181,t,f,t,2020-05-03 20:51:31.21,866900000,12,15,901,4/5,125000,111112,GkmL
51,"","[{""sf"":8,""power"":5,""type"":""NORMAL""}]",35900,t,f,t,2020-05-03 20:51:36.037,866100000,7,15,46,4/5,125000,111113,Q5P4
52,"","[{""sf"":7,""power"":6,""type"":""NORMAL""}]",34050,t,f,t,2020-05-03 20:51:41.116,866900000,12,15,1032,4/5,125000,111113,HNvh
53,"","[{""sf"":10,""power"":15,""type"":""NORMAL""}]",35716,t,f,t,2020-05-03 20:51:42.788,866100000,9,15,128,4/5,125000,111112,HSHm
54,"","[{""sf"":8,""power"":5,""type"":""NORMAL""}]",35900,t,f,t,2020-05-03 20:51:46.586,866100000,7,15,46,4/5,125000,111114,PW0D
55,"","[{""sf"":8,""power"":5,""type"":""NORMAL""}]",35906,t,f,t,2020-05-03 20:51:46.682,866100000,7,14,40,4/5,125000,111113,Kp3P
56,"","[{""sf"":10,""power"":15,""type"":""NORMAL""}]",35464,t,f,t,2020-05-03 20:51:53.378,866100000,10,15,266,4/5,125000,111112,wWwR
57,"","[{""sf"":11,""power"":15,""type"":""NORMAL""}]",35464,t,f,t,2020-05-03 20:51:58.956,866100000,10,15,266,4/5,125000,111112,z56q
58,"","[{""sf"":11,""power"":15,""type"":""NORMAL""}]",34050,t,f,t,2020-05-03 20:52:04.025,866900000,12,15,1032,4/5,125000,111112,tWeT
59,"","[{""sf"":7,""power"":6,""type"":""NORMAL""}]",35830,t,f,t,2020-05-03 20:52:12.193,866100000,8,15,82,4/5,125000,111114,zJ0U
60,"","[{""sf"":7,""power"":5,""type"":""NORMAL""}]",35830,t,f,t,2020-05-03 20:52:12.293,866100000,8,15,82,4/5,125000,111113,RRLB
61,"","[{""sf"":10,""power"":15,""type"":""NORMAL""}]",34181,t,f,t,2020-05-03 20:52:15.106,866900000,12,15,901,4/5,125000,111112,s5Mv
62,"","[{""sf"":7,""power"":6,""type"":""NORMAL""}]",35830,t,f,t,2020-05-03 20:52:17.768,866100000,8,15,82,4/5,125000,111114,g3qf
63,"",[],34378,t,f,t,2020-05-03 20:52:26.185,866900000,12,15,1032,4/5,125000,111112,tGqW
64,"","[{""sf"":8,""power"":5,""type"":""NORMAL""}]",34181,t,f,t,2020-05-03 20:52:27.861,866900000,12,15,901,4/5,125000,111114,Vs4q
65,"","[{""sf"":7,""power"":14,""type"":""NORMAL""}]",35906,t,f,t,2020-05-03 20:52:27.888,866100000,7,15,40,4/5,125000,111113,2w4v
66,"","[{""sf"":11,""power"":14,""type"":""NORMAL""}]",35497,t,f,t,2020-05-03 20:52:31.76,866100000,10,14,233,4/5,125000,111112,3M7Q
67,"","[{""sf"":8,""power"":5,""type"":""NORMAL""}]",35906,t,f,t,2020-05-03 20:52:43.444,866100000,7,15,40,4/5,125000,111114,92Np
68,"","[{""sf"":11,""power"":15,""type"":""NORMAL""}]",34050,t,f,t,2020-05-03 20:52:47.872,866900000,12,15,1032,4/5,125000,111112,obro
69,"","[{""sf"":7,""power"":6,""type"":""NORMAL""}]",35900,t,f,t,2020-05-03 20:52:48.498,866100000,7,15,46,4/5,125000,111113,3QoZ
70,"","[{""sf"":10,""power"":15,""type"":""NORMAL""}]",34973,t,f,t,2020-05-03 20:52:53.441,866100000,11,15,568,4/5,125000,111112,BlXG
71,"","[{""sf"":7,""power"":7,""type"":""NORMAL""}]",34181,t,f,t,2020-05-03 20:52:58.59,866900000,12,15,901,4/5,125000,111113,X52I
72,"","[{""sf"":11,""power"":15,""type"":""NORMAL""}]",34973,t,f,t,2020-05-03 20:52:59.009,866100000,11,15,568,4/5,125000,111112,lTpX
73,"","[{""sf"":10,""power"":15,""type"":""NORMAL""}]",35497,t,f,t,2020-05-03 20:53:04.571,866100000,10,15,233,4/5,125000,111112,urCI
74,"","[{""sf"":8,""power"":5,""type"":""NORMAL""}]",35906,t,f,t,2020-05-03 20:53:09.17,866100000,7,15,40,4/5,125000,111113,IPGt
75,"","[{""sf"":10,""power"":15,""type"":""NORMAL""}]",35046,t,f,t,2020-05-03 20:53:10.155,866100000,11,15,495,4/5,125000,111112,8tai
76,"","[{""sf"":7,""power"":6,""type"":""NORMAL""}]",35841,t,f,t,2020-05-03 20:53:14.055,866100000,8,15,71,4/5,125000,111114,muIF
77,"","[{""sf"":7,""power"":6,""type"":""NORMAL""}]",35906,t,f,t,2020-05-03 20:53:14.744,866100000,7,15,40,4/5,125000,111113,w0sE
78,"","[{""sf"":10,""power"":15,""type"":""NORMAL""}]",34181,t,f,t,2020-05-03 20:53:20.239,866900000,12,15,901,4/5,125000,111112,hGIv
79,"","[{""sf"":7,""power"":6,""type"":""NORMAL""}]",35841,t,f,t,2020-05-03 20:53:25.389,866100000,8,15,71,4/5,125000,111114,tztI
80,"","[{""sf"":10,""power"":15,""type"":""NORMAL""}]",35497,t,f,t,2020-05-03 20:53:26.614,866100000,10,15,233,4/5,125000,111112,zTBG
81,"",[],34509,t,f,t,2020-05-03 20:53:30.353,866900000,12,15,901,4/5,125000,111113,Q22J
82,"","[{""sf"":8,""power"":5,""type"":""NORMAL""}]",35900,t,f,t,2020-05-03 20:53:36.498,866100000,7,15,46,4/5,125000,111114,Krsx
83,"","[{""sf"":8,""power"":5,""type"":""NORMAL""}]",35900,t,f,t,2020-05-03 20:53:41.099,866100000,7,15,46,4/5,125000,111113,heuj
