dev_id,active_time,uptime,collisions
8utX,13.17,2881.36,0
tztI,13.72,2884.01,0
iU1v,11.44,2947.28,0
muIF,11.88,2888.77,0
Vs4q,14.59,2908.1,0
hsz4,14.25,2922.91,0
1p4N,12.91,2927.94,0
Zr1h,13.27,2930.31,0
PW0D,12.53,2932.69,0
zJ0U,13.92,2920.53,0
zuy4,14.43,2915.77,0
vZmR,12.2,2893.52,0
uF4V,1440.69,2935.07,3
4lav,11.9,2935.08,0
Q07c,14.85,2944.9,0
OH5D,487.43,2950.13,1
5YWl,10.05,2939.87,0
eTme,11.42,2942.52,0
ow2Z,11.85,2895.9,0
xTlU,964.98,2935.07,2
ykMQ,12.57,2910.75,0
g3qf,15.32,2918.15,0
6srZ,14.06,2913.39,0
s4iM,7.74,2845.81,0
y7K4,11.35,2886.39,0
6qWg,18.59,2850.57,0
Qhue,966.82,2841.01,2
92Np,12.65,2905.72,0
9qmh,488.22,2855.8,1
soL5,9.4,2952.99,0
9OTe,10.62,2852.94,0
uBu0,1440.87,2841.0,4
X43I,8.55,2950.13,0
1sZZ,8.96,2848.19,0
4dfe,10.07,2865.88,0
IBBT,488.03,2841.01,1
wQl2,1931.95,2841.01,4
j0Gh,12.86,2891.15,0
8rID,11.15,2863.5,0
EaIr,12.91,2875.98,0
GAyK,11.68,2900.93,0
e2CC,9.95,2861.12,0
ddg1,9.55,2841.02,0
24AZ,12.41,2873.6,0
Krsx,11.41,2878.98,0
92y9,14.22,2925.56,0
lVXj,485.56,2935.08,1
yfOw,12.56,2898.55,0
SqDh,11.19,2870.7,0
LzxA,11.07,2855.8,0
