dev_id,active_time,uptime,collisions,messages,algorithm
bTFy,1.03,23.59,213,0,adr
W9xS,4.13,23.6,238,0,adr
QQ9W,7.94,23.61,212,0,adr
w8zS,5.16,23.61,228,0,adr
J836,1.03,23.63,204,0,adr
Hh7f,6.17,23.71,216,0,adr
bnSu,7.68,23.6,169,0,adr
OqbH,0.42,23.79,228,0,adr
Oikg,3.02,24.01,230,0,adr
96VU,14.37,23.82,180,0,adr
W4AS,26.04,23.72,193,0,adr
zP04,5.27,24.08,217,0,adr
3IZG,2.15,23.97,240,0,adr
sFSK,5.28,23.83,220,0,adr
hK3b,0.04,23.91,227,0,adr
ACG7,1.14,23.62,241,0,adr
jiIo,1.89,23.87,224,adr,0,adr
jPTt,5.64,23.69,199,adr,0,adr
B6v5,23.45,23.71,199,0,adr
8K3K,2.64,23.94,221,0,adr
FEOW,3.09,23.83,239,0,adr
o32G,0.04,24.03,202,0,adr
6Qsl,2.12,23.96,248,0,adr
OXro,2.14,23.72,238,0,adr
iTGU,7.12,23.84,210,0,adr
EZ8c,4.4,23.81,240,0,adr
QymN,1.05,23.69,239,0,adr
7lvb,11.61,23.73,182,0,adr
y9Ch,2.13,23.66,224,0,adr
jLn5,0.06,23.9,215,0,adr
iOK8,3.22,23.62,200,0,adr
cs1r,1.03,23.85,229,0,adr
cnKJ,13.54,24.0,221,0,adr
CFDa,6.28,23.75,172,0,adr
9eTE,0.01,23.75,215,0,adr
79S3,2.9,23.98,213,0,adr
vTYy,0.05,23.74,238,0,adr
AIj7,1.08,23.86,244,0,adr
aK6J,10.02,24.1,179,0,adr
c9Xk,1.04,24.01,233,0,adr
NPuJ,7.3,23.8,213,0,adr
9pll,0.24,24.01,231,0,adr
VGHy,14.32,24.09,206,0,adr
Dazr,2.21,23.88,231,0,adr
wrne,0.14,24.02,205,0,adr
IMZE,4.44,23.89,182,0,adr
tTo0,6.41,23.86,190,0,adr
2h25,3.0,23.9,210,0,adr
pW7M,23.64,24.01,151,0,adr
QQ5C,1.04,24.05,212,0,adr
L6YW,2.22,24.06,205,0,adr
jQ7Z,12.21,24.04,167,0,adr
fROn,3.91,24.06,223,0,adr
AWlH,32.2,24.07,183,0,adr
hYiS,6.56,24.04,210,0,adr
r6y8,7.7,24.03,189,0,adr
X8Kn,6.57,24.08,226,0,adr
lnXJ,8.8,23.88,189,0,adr
ojp7,7.31,24.01,239,0,adr
m9HG,0.06,24.09,253,0,adr
usMx,21.83,23.65,181,0,adr
WtAl,14.88,24.01,174,0,adr
FzQn,17.3,24.1,214,0,adr
t3w0,12.72,23.84,237,0,adr
BNrD,8.41,24.01,221,0,adr
A29D,2.04,24.1,234,0,adr
8XwI,2.08,24.13,227,0,adr
g10F,14.6,24.0,170,0,adr
rb8P,2.1,23.94,197,0,adr
j6eI,0.02,23.92,222,0,adr
g8Cg,0.17,23.85,197,0,adr
FFwK,3.01,23.95,162,0,adr
KlSz,1.04,23.91,214,0,adr
vmmR,1.14,24.12,216,0,adr
zcAF,2.19,23.76,256,0,adr
GO2D,0.08,23.81,216,0,adr
Qihc,2.23,23.95,237,0,adr
BzNA,4.33,23.67,205,0,adr
DY9f,0.15,24.11,213,0,adr
o6Hj,2.09,23.87,227,0,adr
MnU3,2.18,23.77,215,0,adr
Y0EB,2.5,23.96,206,0,adr
nn66,11.46,23.82,221,0,adr
7aYk,5.44,23.59,218,0,adr
5B9q,0.11,24.11,220,0,adr
n0Gb,7.62,23.68,201,0,adr
oBLw,0.08,23.68,216,0,adr
E2cD,0.11,23.99,231,0,adr
d6J1,5.02,23.92,205,0,adr
XPqS,10.61,24.1,248,0,adr
0tGn,0.12,23.67,258,0,adr
xhil,0.46,23.73,193,0,adr
9AlE,6.25,23.93,164,0,adr
bG4K,3.55,24.1,212,0,adr
PHDA,7.94,24.13,196,0,adr
NFw6,18.32,23.99,165,0,adr
3s1T,4.86,23.8,194,0,adr
C7cC,0.03,24.01,212,0,adr
hdbn,4.4,24.05,197,0,adr
NBiG,2.09,24.13,185,0,adr
