TjHu,1213.93,13247.24,59
Nn71,1505.22,13257.05,37
xqNe,4685.14,13249.62,42
D6aC,3025.37,13262.89,30
Ll45,440.27,13265.27,41
rXUz,4168.43,13301.84,37
DEMM,476.83,13270.05,46
xb15,3865.1,13306.87,26
xXkI,1277.17,13272.69,71
NcsU,5880.56,13324.82,49
FVZ0,1368.56,13275.33,41
4m3u,3706.71,13327.46,46
rPRY,3559.17,13282.5,37
93OA,2333.87,13342.27,68
z1Og,3402.87,13284.88,30
eltj,3861.54,13352.6,36
izKt,2067.98,13287.26,48
xwMg,2277.0,13357.36,47
ElEl,2946.58,13289.64,44
2gCA,3958.41,13359.74,60
IKul,1270.87,13294.43,46
bcyn,2768.49,13362.48,77
IrTo,3251.12,13299.46,43
hzgM,1513.42,13365.14,41
dlN8,897.87,13304.22,38
6yjw,5754.93,13372.41,57
xfR4,3796.27,13312.37,29
7DOp,2707.53,13372.41,40
cI7z,2510.51,13317.15,26
t5nO,1632.17,13372.42,30
nuk2,4197.33,13319.53,39
UXTa,1410.35,13322.18,35
j7D6,1840.33,13327.46,35
BH76,1933.55,13327.47,49
HDPI,894.1,13329.85,34
BtJt,6060.31,13332.23,28
JQxH,2400.94,13334.86,35
HddN,3197.04,13337.5,33
xsec,2240.17,13339.88,55
9Pbe,11767.21,13342.26,46
zeMO,2531.09,13342.27,28
Jlce,2988.04,13342.27,44
SpVi,2413.79,13344.93,31
yvMO,2744.65,13354.98,31
VfWU,3086.85,13349.95,41
v3Hf,16144.3,13372.4,51
BZrS,5430.65,13347.57,30
qjvc,4941.58,13372.4,49
Dp1Q,7193.85,13372.42,54
bwMQ,6898.2,13372.42,41
