id,app_data,snr,rssi,duty_cycle_remaining,is_primary,receive_time,seq,frequency,spf,power,airtime,coderate,bandwidth,msg_group_number,message_type_id,ap_id,node_id
127284,MTUwNy44LDcyODcuMg==,-14.5,-99.8,36000,t,2021-04-19 08:51:10.805,1,866100000,12,10,1294,4/5,125000,249,1,bbbbbb,OFeD
127285,MzM0NS4zLDY4NjkuNA==,4.3,-89.6,36000,t,2021-04-19 08:51:16.354,1,866100000,8,10,102,4/5,125000,405,1,bbbbbb,7wPG
127286,NDU5OC45LDQxMjEuMg==,-19.7,-66.6,36000,t,2021-04-19 08:51:21.894,1,866100000,9,14,183,4/5,125000,284,1,bbbbbb,LPcK
127287,MjE3OS4yLDE4OTguMg==,5.8,-99.9,36000,t,2021-04-19 08:51:26.936,1,866100000,11,10,714,4/5,125000,98,1,bbbbbb,pAEx
127288,ODk5Ny4xLDE5MjguMg==,0.6,-99.6,36000,t,2021-04-19 08:51:31.424,1,866100000,8,14,102,4/5,125000,326,2,bbbbbb,DPPo
127289,MjQyNC40LDMwNDQuNw==,6.1,-90.7,36000,t,2021-04-19 08:51:36.929,1,866100000,11,14,714,4/5,125000,306,1,bbbbbb,5Sl2
127290,NzU4OC43LDQ0NDMuNw==,-14.4,-90.7,36000,t,2021-04-19 08:51:41.942,1,866100000,12,10,1294,4/5,125000,335,1,bbbbbb,vBGO
127291,MzAzNi4wLDc2NjkuMQ==,-18.2,-91.2,36000,t,2021-04-19 08:51:46.95,1,866100000,11,14,714,4/5,125000,199,1,bbbbbb,fcVB
127292,NjUxOS45LDM2NjcuMA==,1.5,-81.3,36000,t,2021-04-19 08:51:51.978,1,866100000,9,14,183,4/5,125000,296,1,bbbbbb,wpmv
127293,OTAzNS40LDMxNjUuNg==,6.9,-101,36000,t,2021-04-19 08:51:56.492,1,866100000,8,10,102,4/5,125000,308,2,bbbbbb,Ppb5
127294,Nzg5NC40LDU0OTIuNQ==,-14.8,-92.8,36000,t,2021-04-19 08:52:01.982,1,866100000,8,10,102,4/5,125000,340,1,bbbbbb,DzML
127295,Nzk0LjMsNTExMy4y,-9.6,-96,36000,t,2021-04-19 08:52:07.523,1,866100000,7,14,52,4/5,125000,263,1,bbbbbb,uGCV
127296,ODgxOS4wLDQ4MTQuMQ==,-7.9,-94.1,36000,t,2021-04-19 08:52:12.533,1,866100000,10,14,332,4/5,125000,276,1,bbbbbb,6E3m
127297,NTg0Ny45LDIwOTIuNA==,-17.4,-93.4,36000,t,2021-04-19 08:52:17.549,1,866100000,8,10,102,4/5,125000,232,1,bbbbbb,5Igc
127298,NDk5MC4yLDY2MzMuMw==,8.5,-77,36000,t,2021-04-19 08:52:22.541,1,866100000,10,14,332,4/5,125000,131,1,bbbbbb,M6Mr
127299,OTg4Ni42LDIwODUuOQ==,-19.3,-106,36000,t,2021-04-19 08:52:27.561,1,866100000,12,10,1294,4/5,125000,283,1,bbbbbb,gfq2
127300,OTEzNy40LDk1MTIuOA==,0,-103.5,36000,t,2021-04-19 08:52:33.109,1,866100000,10,14,332,4/5,125000,342,1,bbbbbb,NuYt
127301,NTYwMS45LDMyMDIuNA==,4.3,-80.1,36000,t,2021-04-19 08:52:38.119,1,866100000,12,14,1294,4/5,125000,363,1,bbbbbb,UaIp
127302,MTA1LjksODg4LjM=,-14.9,-108.3,36000,t,2021-04-19 08:52:43.124,1,866100000,9,10,165,4/5,125000,302,1,bbbbbb,Q34O
127303,NDE3OC4xLDY3MTUuNw==,-19.2,-80.1,36000,t,2021-04-19 08:52:48.662,1,866100000,8,14,102,4/5,125000,303,1,bbbbbb,GVHs
127304,OTU0OS42LDQxMzMuNg==,-10.5,-101.9,36000,t,2021-04-19 08:52:53.666,1,866100000,12,10,1294,4/5,125000,209,1,bbbbbb,5J5y
127305,NjE3Ni43LDI0NzkuNQ==,-15.3,-91.7,36000,t,2021-04-19 08:52:59.211,1,866100000,8,10,102,4/5,125000,193,1,bbbbbb,7sxE
127306,NzU3Mi4yLDI3MjAuMQ==,9.3,-96,36000,t,2021-04-19 08:53:04.749,1,866100000,12,10,1294,4/5,125000,306,1,bbbbbb,TP8O
127307,ODA1Mi45LDkyODAuOQ==,5.6,-104.5,36000,t,2021-04-19 08:53:10.284,1,866100000,11,10,714,4/5,125000,120,1,bbbbbb,yK6V
127308,MTU5MC40OTk5OTk5OTk5OTk1LDczNzUuNDk5OTk5OTk5OTk0NQ==,-16.2,-99.8,36000,t,2021-04-19 08:53:14.796,2,866100000,9,10,329,4/5,125000,250,2,bbbbbb,OFeD
127309,MTgzLjQsNTYzMy4z,-15.3,-98.9,36000,t,2021-04-19 08:53:20.349,1,866100000,11,14,641,4/5,125000,206,1,bbbbbb,K3H8
