id,protocol_ver,max_power,channels_num,duty_cycle_refresh,lora_protocol,lora_protocol_ver,transmission_param_id,stat_model
22222222,STIOT v 1.01,14,8,00:43:26,LoRa@FIIT,1.0,1,"[{""sf"": 7, ""pw"": 10, ""rw"": 1}, {""sf"": 7, ""pw"": 14, ""rw"": 1}, {""sf"": 8, ""pw"": 10, ""rw"": 1}, {""sf"": 8, ""pw"": 14, ""rw"": 1}, {""sf"": 9, ""pw"": 10, ""rw"": 1}, {""sf"": 9, ""pw"": 14, ""rw"": 1}, {""sf"": 10, ""pw"": 10, ""rw"": 1},  {""sf"": 10, ""pw"": 14, ""rw"": 1}, {""sf"": 11, ""pw"": 10, ""rw"": 1}, {""sf"": 11, ""pw"": 14, ""rw"": 1}, {""sf"": 12, ""pw"": 10, ""rw"": 1}, {""sf"": 12, ""pw"": 14, ""rw"": 1}]"
111136,STIOT v 1.01,14,8,00:10:20,LoRa@FIIT,1.0,1,"[{""sf"": 7, ""pw"": 10, ""rw"": 1}, {""sf"": 7, ""pw"": 14, ""rw"": 1}, {""sf"": 8, ""pw"": 10, ""rw"": 1}, {""sf"": 8, ""pw"": 14, ""rw"": 1}, {""sf"": 9, ""pw"": 10, ""rw"": 1}, {""sf"": 9, ""pw"": 14, ""rw"": 1}, {""sf"": 10, ""pw"": 10, ""rw"": 1},  {""sf"": 10, ""pw"": 14, ""rw"": 1}, {""sf"": 11, ""pw"": 10, ""rw"": 1}, {""sf"": 11, ""pw"": 14, ""rw"": 1}, {""sf"": 12, ""pw"": 10, ""rw"": 1}, {""sf"": 12, ""pw"": 14, ""rw"": 1}]"
111137,STIOT v 1.01,14,8,00:10:21,LoRa@FIIT,1.0,1,"[{""sf"": 7, ""pw"": 10, ""rw"": 1}, {""sf"": 7, ""pw"": 14, ""rw"": 1}, {""sf"": 8, ""pw"": 10, ""rw"": 1}, {""sf"": 8, ""pw"": 14, ""rw"": 1}, {""sf"": 9, ""pw"": 10, ""rw"": 1}, {""sf"": 9, ""pw"": 14, ""rw"": 1}, {""sf"": 10, ""pw"": 10, ""rw"": 1},  {""sf"": 10, ""pw"": 14, ""rw"": 1}, {""sf"": 11, ""pw"": 10, ""rw"": 1}, {""sf"": 11, ""pw"": 14, ""rw"": 1}, {""sf"": 12, ""pw"": 10, ""rw"": 1}, {""sf"": 12, ""pw"": 14, ""rw"": 1}]"
111138,STIOT v 1.01,14,8,00:10:22,LoRa@FIIT,1.0,1,"[{""sf"": 7, ""pw"": 10, ""rw"": 1}, {""sf"": 7, ""pw"": 14, ""rw"": 1}, {""sf"": 8, ""pw"": 10, ""rw"": 1}, {""sf"": 8, ""pw"": 14, ""rw"": 1}, {""sf"": 9, ""pw"": 10, ""rw"": 1}, {""sf"": 9, ""pw"": 14, ""rw"": 1}, {""sf"": 10, ""pw"": 10, ""rw"": 1},  {""sf"": 10, ""pw"": 14, ""rw"": 1}, {""sf"": 11, ""pw"": 10, ""rw"": 1}, {""sf"": 11, ""pw"": 14, ""rw"": 1}, {""sf"": 12, ""pw"": 10, ""rw"": 1}, {""sf"": 12, ""pw"": 14, ""rw"": 1}]"
111139,STIOT v 1.01,14,8,00:10:23,LoRa@FIIT,1.0,1,"[{""sf"": 7, ""pw"": 10, ""rw"": 1}, {""sf"": 7, ""pw"": 14, ""rw"": 1}, {""sf"": 8, ""pw"": 10, ""rw"": 1}, {""sf"": 8, ""pw"": 14, ""rw"": 1}, {""sf"": 9, ""pw"": 10, ""rw"": 1}, {""sf"": 9, ""pw"": 14, ""rw"": 1}, {""sf"": 10, ""pw"": 10, ""rw"": 1},  {""sf"": 10, ""pw"": 14, ""rw"": 1}, {""sf"": 11, ""pw"": 10, ""rw"": 1}, {""sf"": 11, ""pw"": 14, ""rw"": 1}, {""sf"": 12, ""pw"": 10, ""rw"": 1}, {""sf"": 12, ""pw"": 14, ""rw"": 1}]"
111140,STIOT v 1.01,14,8,00:10:24,LoRa@FIIT,1.0,1,"[{""sf"": 7, ""pw"": 10, ""rw"": 1}, {""sf"": 7, ""pw"": 14, ""rw"": 1}, {""sf"": 8, ""pw"": 10, ""rw"": 1}, {""sf"": 8, ""pw"": 14, ""rw"": 1}, {""sf"": 9, ""pw"": 10, ""rw"": 1}, {""sf"": 9, ""pw"": 14, ""rw"": 1}, {""sf"": 10, ""pw"": 10, ""rw"": 1},  {""sf"": 10, ""pw"": 14, ""rw"": 1}, {""sf"": 11, ""pw"": 10, ""rw"": 1}, {""sf"": 11, ""pw"": 14, ""rw"": 1}, {""sf"": 12, ""pw"": 10, ""rw"": 1}, {""sf"": 12, ""pw"": 14, ""rw"": 1}]"
111141,STIOT v 1.01,14,8,00:10:25,LoRa@FIIT,1.0,1,"[{""sf"": 7, ""pw"": 10, ""rw"": 1}, {""sf"": 7, ""pw"": 14, ""rw"": 1}, {""sf"": 8, ""pw"": 10, ""rw"": 1}, {""sf"": 8, ""pw"": 14, ""rw"": 1}, {""sf"": 9, ""pw"": 10, ""rw"": 1}, {""sf"": 9, ""pw"": 14, ""rw"": 1}, {""sf"": 10, ""pw"": 10, ""rw"": 1},  {""sf"": 10, ""pw"": 14, ""rw"": 1}, {""sf"": 11, ""pw"": 10, ""rw"": 1}, {""sf"": 11, ""pw"": 14, ""rw"": 1}, {""sf"": 12, ""pw"": 10, ""rw"": 1}, {""sf"": 12, ""pw"": 14, ""rw"": 1}]"
111142,STIOT v 1.01,14,8,00:10:26,LoRa@FIIT,1.0,1,"[{""sf"": 7, ""pw"": 10, ""rw"": 1}, {""sf"": 7, ""pw"": 14, ""rw"": 1}, {""sf"": 8, ""pw"": 10, ""rw"": 1}, {""sf"": 8, ""pw"": 14, ""rw"": 1}, {""sf"": 9, ""pw"": 10, ""rw"": 1}, {""sf"": 9, ""pw"": 14, ""rw"": 1}, {""sf"": 10, ""pw"": 10, ""rw"": 1},  {""sf"": 10, ""pw"": 14, ""rw"": 1}, {""sf"": 11, ""pw"": 10, ""rw"": 1}, {""sf"": 11, ""pw"": 14, ""rw"": 1}, {""sf"": 12, ""pw"": 10, ""rw"": 1}, {""sf"": 12, ""pw"": 14, ""rw"": 1}]"
111143,STIOT v 1.01,14,8,00:10:27,LoRa@FIIT,1.0,1,"[{""sf"": 7, ""pw"": 10, ""rw"": 1}, {""sf"": 7, ""pw"": 14, ""rw"": 1}, {""sf"": 8, ""pw"": 10, ""rw"": 1}, {""sf"": 8, ""pw"": 14, ""rw"": 1}, {""sf"": 9, ""pw"": 10, ""rw"": 1}, {""sf"": 9, ""pw"": 14, ""rw"": 1}, {""sf"": 10, ""pw"": 10, ""rw"": 1},  {""sf"": 10, ""pw"": 14, ""rw"": 1}, {""sf"": 11, ""pw"": 10, ""rw"": 1}, {""sf"": 11, ""pw"": 14, ""rw"": 1}, {""sf"": 12, ""pw"": 10, ""rw"": 1}, {""sf"": 12, ""pw"": 14, ""rw"": 1}]"
111144,STIOT v 1.01,14,8,00:10:28,LoRa@FIIT,1.0,1,"[{""sf"": 7, ""pw"": 10, ""rw"": 1}, {""sf"": 7, ""pw"": 14, ""rw"": 1}, {""sf"": 8, ""pw"": 10, ""rw"": 1}, {""sf"": 8, ""pw"": 14, ""rw"": 1}, {""sf"": 9, ""pw"": 10, ""rw"": 1}, {""sf"": 9, ""pw"": 14, ""rw"": 1}, {""sf"": 10, ""pw"": 10, ""rw"": 1},  {""sf"": 10, ""pw"": 14, ""rw"": 1}, {""sf"": 11, ""pw"": 10, ""rw"": 1}, {""sf"": 11, ""pw"": 14, ""rw"": 1}, {""sf"": 12, ""pw"": 10, ""rw"": 1}, {""sf"": 12, ""pw"": 14, ""rw"": 1}]"
