dev_id,active_time,uptime,collisions
TIWJ,1010.06,724.59,0
rygh,799.88,4217.27,3
zhnh,610.94,4298.68,6
WLhc,392.19,391.13,0
1S5D,1778.56,6856.27,2
FenE,902.2,1023.52,0
iuI4,740.76,7682.73,9
ks3E,1589.88,4306.42,7
jqq4,1431.61,8471.68,15
KdK0,608.86,4755.36,2
M7Gr,676.89,9369.02,29
VdQg,507.38,5778.3,7
9k34,1288.88,9521.19,22
sidY,1626.67,5886.27,10
Kkow,893.49,10803.22,22
9Si6,1202.63,7497.65,19
GDH8,1766.98,13102.75,13
Hn3M,1141.29,7908.7,12
yvm0,5997.43,13872.85,15
d9Gj,1274.61,8646.66,25
NiVu,3964.83,15372.31,24
ITLU,963.06,9321.15,12
6T9J,1830.78,19065.7,31
BRLN,1032.52,11793.47,30
N62d,527.52,19098.2,24
uiDF,288.04,13242.02,14
abWx,718.38,19182.41,33
LnZq,4406.22,14153.82,39
aP6H,115.15,19187.44,27
oTRM,2330.96,14871.71,8
Xmde,1656.63,15093.24,32
H9SV,585.13,19204.52,28
aLZQ,969.14,19209.82,53
o8VO,2112.81,17378.54,26
Qd4Z,43.68,19212.47,26
Q4RH,1655.46,18998.25,35
Y7fe,25.73,19224.68,50
C26U,140.33,19036.68,24
Jctp,533.02,19227.47,27
tDMD,627.52,19083.91,43
hY0x,108.97,19237.51,28
3H7H,2297.07,19126.85,10
mZf5,2778.73,19239.89,10
trXC,550.22,19143.82,18
eX5x,48.01,19244.92,15
RqZz,477.46,19266.62,16
G7WD,109.08,19185.06,18
T2vq,9.88,19269.26,9
BTwD,1.35,19207.17,27
Hld4,14.79,19283.86,20
d1rA,1.16,19235.13,20
nyED,915.39,19286.51,10
cH1r,34.85,19242.54,26
RMvF,35.81,19303.47,22
tFEH,224.64,19271.91,10
0ZYr,94.07,19306.12,31
pTYD,547.73,19288.89,15
s7AI,1146.92,19313.82,19
3vs5,3082.15,19291.55,12
uj4A,14.56,19316.47,29
jdUV,61.05,19311.17,29
wRG2,111.55,19321.5,26
u25R,12.95,19319.12,35
Ax6e,490.2,19323.88,34
IiNx,54.91,19326.26,27
Ab3e,460.99,19333.47,29
UESP,1.53,19347.84,27
Io9W,226.06,19338.26,27
2yDo,2538.45,19350.49,19
rUmN,1.35,19367.77,40
8WKz,572.56,19353.14,31
sGcI,1134.51,19377.59,56
ygo4,52.48,19357.93,35
53C5,1645.28,19380.23,24
fXod,1330.79,19365.39,31
Ze6t,1004.91,19385.27,31
JgTa,1730.33,19370.42,48
k0Rf,815.85,19387.64,23
jWyd,389.77,19382.88,23
wIcc,14.13,19395.32,18
WLhq,2159.45,19424.72,10
0kWR,63.26,19402.48,10
bneQ,2203.25,19429.83,12
hx1x,1.66,19409.88,25
iZQV,977.48,19434.88,17
hCAG,2168.99,19414.94,16
SBvL,1.74,19427.1,25
aOEX,991.22,19452.38,21
FOD3,264.0,19437.26,9
rnG2,22.79,19459.82,31
vr2d,2971.01,19439.91,16
KK5G,19.89,19469.87,34
8DIr,8.55,19442.29,21
wcgf,674.77,19474.66,26
Cv34,511.93,19447.32,14
b70u,917.79,19477.04,19
yL5H,547.14,19454.76,23
ibXC,101.08,19479.42,25
TJLh,224.42,19462.2,22
Fkub,580.55,19481.8,30
W4Pl,658.36,19464.85,22
iopG,808.93,19486.59,32
O6P5,566.0,19467.49,35
vym2,24.66,19488.97,28
gBzh,575.95,19491.61,29
9Jo7,35.62,19494.27,34
gi71,481.38,19502.24,41
oAWC,905.46,19496.92,28
NNUa,24.25,19507.27,36
2OEP,182.56,19499.59,34
obHG,1332.37,19509.92,46
HEqG,45.1,19504.89,33
wFsG,26.88,19512.57,40
yV7j,443.94,19514.95,60
U5PC,32.37,19522.35,32
OF3i,453.97,19519.7,34
jGl4,754.43,19525.01,26
r2b3,2101.07,19530.07,28
Pjqk,2.45,19552.81,25
oeJi,1.2,19537.47,30
c1K8,986.35,19575.5,26
fQYC,1.21,19539.85,11
60Bg,67.7,19578.15,11
pbiG,1551.08,19549.76,22
stuS,335.83,19582.96,14
GocA,536.37,19555.46,19
jSMt,28.24,19585.61,23
GSkH,70.5,19558.11,7
ILQE,14.51,19590.63,32
mqtC,1444.06,19565.25,15
usRf,18.5,19595.66,26
UfDH,5754.42,19567.89,18
ZlTW,1399.12,19603.12,19
ccgy,1318.97,19572.77,25
VX5C,668.09,19605.77,24
CAAi,120.76,19587.99,15
voyI,1234.77,19610.79,27
FUX0,603.96,19593.01,35
AvIk,67.84,19613.17,30
xQnz,1258.38,19608.41,14
ObSV,1108.19,19615.83,23
lJqk,384.77,19620.85,21
ZS3Z,2275.27,19618.47,29
xCZg,576.08,19623.5,28
Bgfb,487.85,19631.18,24
aZ2i,1372.54,19626.15,27
Ry2Z,1602.36,19633.82,28
XSrv,26.67,19628.8,30
jgQL,38.63,19638.61,21
UMDM,814.47,19646.28,35
X556,1203.37,19641.25,47
im7T,275.25,19661.11,37
w3X0,197.26,19643.91,44
cd1H,256.29,19676.76,16
KJGF,253.11,19648.94,38
Wtdw,2774.07,19686.6,7
Z4ce,3805.85,19651.32,40
Efv5,17.43,19689.25,15
Ayve,200.32,19653.7,36
83Dn,554.19,19696.92,24
fCQP,2663.7,19656.08,35
jqiW,30.97,19699.3,12
fFhu,1226.36,19658.46,24
n5WB,1740.83,19710.0,18
9Y8Q,9.41,19663.75,47
