seq,frequency,pw,sf
1,866.10,14,11
2,866.90,14,12
3,866.90,14,12
4,866.90,14,12
1,866.10,14,11
2,866.90,14,12
3,866.90,14,12
4,866.90,14,12
1,866.10,14,11
2,866.90,14,12
3,866.90,14,12
4,866.90,14,12
1,866.10,14,11
2,866.90,14,12
3,866.90,14,12
4,866.90,14,12
1,866.50,14,11
2,866.90,14,12
3,866.90,14,12
4,866.90,14,12
1,866.10,14,11
2,866.90,14,12
3,866.90,14,12
4,866.90,14,12
1,866.10,14,11
2,866.90,14,12
3,866.90,14,12
4,866.90,14,12
1,866.50,14,11
2,866.90,14,12
3,866.90,14,12
4,866.90,14,12
1,866.50,14,11
2,866.90,14,12
3,866.90,14,12
4,866.90,14,12
1,866.50,14,11
2,866.90,14,12
3,866.90,14,12
4,866.90,14,12
1,866.10,14,11
2,866.90,14,12
3,866.90,14,12
4,866.90,14,12
1,866.50,14,11
2,866.90,14,12
3,866.90,14,12
4,866.90,14,12
1,866.10,14,11
2,866.90,14,12
3,866.90,14,12
4,866.90,14,12
1,866.50,14,11
2,866.90,14,12
3,866.90,14,12
4,866.90,14,12
1,866.50,14,11
2,866.90,14,12
3,866.90,14,12
4,866.90,14,12
1,866.50,14,11
2,866.90,14,12
3,866.90,14,12
4,866.90,14,12
1,866.10,14,11
2,866.90,14,12
3,866.90,14,12
4,866.90,14,12
1,866.10,14,11
2,866.90,14,12
3,866.90,14,12
4,866.90,14,12
1,866.50,14,11
2,866.90,14,12
3,866.90,14,12
4,866.90,14,12
60228,866.10,14,11
60230,866.30,14,11
60232,866.50,14,10
60233,866.90,14,12
60234,866.90,14,12
60235,866.90,14,12
45013,866.10,14,11
45015,866.30,14,11
45017,866.50,14,10
45019,866.30,14,10
45021,866.50,13,10
45023,866.10,13,9
45025,866.10,13,8
45027,866.50,13,7
45028,866.90,14,12
45029,866.90,14,12
45030,866.90,14,12
1,866.50,13,7
2,866.90,14,12
3,866.90,14,12
4,866.90,14,12
1,866.50,13,7
2,866.90,14,12
3,866.90,14,12
4,866.90,14,12
1,866.50,13,7
2,866.90,14,12
3,866.90,14,12
4,866.90,14,12
1,866.50,13,7
2,866.90,14,12
3,866.90,14,12
4,866.90,14,12
1,866.10,13,7
2,866.90,14,12
3,866.90,14,12
4,866.90,14,12
1,866.50,13,7
2,866.90,14,12
3,866.90,14,12
4,866.90,14,12
1,866.10,13,7
2,866.90,14,12
3,866.90,14,12
4,866.90,14,12
1,866.10,13,7
2,866.90,14,12
3,866.90,14,12
4,866.90,14,12
1,866.50,13,7
2,866.90,14,12
3,866.90,14,12
4,866.90,14,12
1,866.10,13,7
2,866.90,14,12
3,866.90,14,12
4,866.90,14,12
1,866.10,13,7
2,866.90,14,12
3,866.90,14,12
4,866.90,14,12
1,866.50,13,7
2,866.90,14,12
3,866.90,14,12
4,866.90,14,12
1,866.50,13,7
2,866.90,14,12
3,866.90,14,12
4,866.90,14,12
1,866.10,13,7
2,866.90,14,12
3,866.90,14,12
4,866.90,14,12
1,866.50,13,7
2,866.90,14,12
3,866.90,14,12
4,866.90,14,12
1,866.50,13,7
2,866.90,14,12
3,866.90,14,12
4,866.90,14,12
1,866.10,13,7
2,866.90,14,12
3,866.90,14,12
4,866.90,14,12
1,866.10,13,7
2,866.90,14,12
3,866.90,14,12
4,866.90,14,12
1,866.50,13,7
2,866.90,14,12
3,866.90,14,12
4,866.90,14,12
1,866.50,13,7
2,866.90,14,12
3,866.90,14,12
4,866.90,14,12
1,866.50,13,7
2,866.90,14,12
3,866.90,14,12
4,866.90,14,12
1,866.10,13,7
2,866.90,14,12
3,866.90,14,12
4,866.90,14,12
1,866.50,13,7
2,866.90,14,12
3,866.90,14,12
4,866.90,14,12
1,866.10,13,7
2,866.90,14,12
3,866.90,14,12
4,866.90,14,12
1,866.50,13,7
2,866.90,14,12
3,866.90,14,12
4,866.90,14,12
1,866.10,13,7
2,866.90,14,12
3,866.90,14,12
4,866.90,14,12
1,866.50,13,7
2,866.90,14,12
3,866.90,14,12
4,866.90,14,12
1,866.50,13,7
2,866.90,14,12
3,866.90,14,12
4,866.90,14,12
1,866.50,13,7
2,866.90,14,12
3,866.90,14,12
4,866.90,14,12
1,866.10,13,7
2,866.90,14,12
3,866.90,14,12
4,866.90,14,12
1,866.50,13,7
2,866.90,14,12
3,866.90,14,12
4,866.90,14,12
1,866.10,13,7
2,866.90,14,12
3,866.90,14,12
4,866.90,14,12
1,866.10,13,7
2,866.90,14,12
3,866.90,14,12
4,866.90,14,12
1,866.50,13,7
2,866.90,14,12
3,866.90,14,12
4,866.90,14,12
1,866.50,13,7
2,866.90,14,12
3,866.90,14,12
4,866.90,14,12
1,866.10,13,7
2,866.90,14,12
3,866.90,14,12
4,866.90,14,12
1,866.50,13,7
2,866.90,14,12
3,866.90,14,12
4,866.90,14,12
1,866.50,13,7
2,866.90,14,12
3,866.90,14,12
4,866.90,14,12
1,866.50,13,7
2,866.90,14,12
3,866.90,14,12
4,866.90,14,12
1,866.50,13,7
2,866.90,14,12
3,866.90,14,12
4,866.90,14,12
1,866.10,13,7
2,866.90,14,12
3,866.90,14,12
4,866.90,14,12
1,866.50,13,7
2,866.90,14,12
3,866.90,14,12
4,866.90,14,12
1,866.50,13,7
2,866.90,14,12
3,866.90,14,12
4,866.90,14,12
1,866.10,13,7
2,866.90,14,12
3,866.90,14,12
4,866.90,14,12
1,866.50,13,7
2,866.90,14,12
3,866.90,14,12
4,866.90,14,12
1,866.10,13,7
2,866.90,14,12
3,866.90,14,12
4,866.90,14,12
1,866.50,13,7
2,866.90,14,12
3,866.90,14,12
4,866.90,14,12
1,866.50,13,7
2,866.90,14,12
3,866.90,14,12
4,866.90,14,12
1,866.50,13,7
2,866.90,14,12
3,866.90,14,12
4,866.90,14,12
1,866.10,13,7
2,866.90,14,12
3,866.90,14,12
4,866.90,14,12
1,866.10,13,7
2,866.90,14,12
3,866.90,14,12
4,866.90,14,12
1,866.10,13,7
2,866.90,14,12
3,866.90,14,12
4,866.90,14,12
1,866.50,13,7
2,866.90,14,12
3,866.90,14,12
4,866.90,14,12
1,866.50,13,7
2,866.90,14,12
3,866.90,14,12
4,866.90,14,12
1,866.10,13,7
2,866.90,14,12
3,866.90,14,12
4,866.90,14,12
1,866.50,13,7
2,866.90,14,12
3,866.90,14,12
4,866.90,14,12
1,866.50,13,7
2,866.90,14,12
3,866.90,14,12
4,866.90,14,12
1,866.10,13,7
2,866.90,14,12
3,866.90,14,12
4,866.90,14,12
1,866.50,13,7
2,866.90,14,12
3,866.90,14,12
4,866.90,14,12
1,866.50,13,7
2,866.90,14,12
3,866.90,14,12
4,866.90,14,12
1,866.50,13,7
2,866.90,14,12
3,866.90,14,12
4,866.90,14,12
1,866.50,13,7
2,866.90,14,12
3,866.90,14,12
4,866.90,14,12
1,866.50,13,7
2,866.90,14,12
3,866.90,14,12
4,866.90,14,12
51938,866.50,14,11
51939,866.90,14,12
51940,866.90,14,12
51941,866.90,14,12
65438,866.50,14,11
65439,866.90,14,12
65440,866.90,14,12
65441,866.90,14,12
29533,866.10,14,11
29534,866.90,14,12
29535,866.90,14,12
29537,866.30,14,12
29538,866.90,14,12
29540,866.10,14,12
29542,866.10,14,11
29544,866.50,14,10
29546,866.50,14,9
29548,866.50,14,8
29550,866.10,14,7
29552,866.50,14,7
29553,866.90,14,12
29554,866.90,14,12
29555,866.90,14,12
1,866.30,14,7
2,866.90,14,12
3,866.90,14,12
4,866.90,14,12
1,866.10,14,7
2,866.90,14,12
3,866.90,14,12
4,866.90,14,12
1,866.10,14,7
2,866.90,14,12
3,866.90,14,12
4,866.90,14,12
1,866.10,14,7
2,866.90,14,12
3,866.90,14,12
4,866.90,14,12
1,866.30,14,7
2,866.90,14,12
3,866.90,14,12
4,866.90,14,12
1,866.10,14,7
2,866.90,14,12
3,866.90,14,12
4,866.90,14,12
1,866.10,14,7
2,866.90,14,12
3,866.90,14,12
4,866.90,14,12
1,866.50,14,7
2,866.90,14,12
3,866.90,14,12
4,866.90,14,12
1,866.50,14,7
2,866.90,14,12
3,866.90,14,12
4,866.90,14,12
1,866.50,14,7
2,866.90,14,12
3,866.90,14,12
4,866.90,14,12
1,866.10,14,7
2,866.90,14,12
3,866.90,14,12
4,866.90,14,12
1,866.50,14,7
2,866.90,14,12
3,866.90,14,12
4,866.90,14,12
1,866.50,14,7
2,866.90,14,12
3,866.90,14,12
4,866.90,14,12
1,866.50,14,7
2,866.90,14,12
3,866.90,14,12
4,866.90,14,12
1,866.50,14,7
2,866.90,14,12
3,866.90,14,12
4,866.90,14,12
1,866.50,14,7
2,866.90,14,12
3,866.90,14,12
4,866.90,14,12
1,866.50,14,7
2,866.90,14,12
3,866.90,14,12
4,866.90,14,12
1,866.10,14,7
2,866.90,14,12
3,866.90,14,12
4,866.90,14,12
1,866.50,14,7
2,866.90,14,12
3,866.90,14,12
4,866.90,14,12
1,866.50,14,7
2,866.90,14,12
3,866.90,14,12
4,866.90,14,12
1,866.50,14,7
2,866.90,14,12
3,866.90,14,12
4,866.90,14,12
1,866.10,14,7
2,866.90,14,12
3,866.90,14,12
4,866.90,14,12
1,866.50,14,7
2,866.90,14,12
3,866.90,14,12
4,866.90,14,12
1,866.10,14,7
2,866.90,14,12
3,866.90,14,12
4,866.90,14,12
1,866.10,14,7
2,866.90,14,12
3,866.90,14,12
4,866.90,14,12
1,866.50,14,7
2,866.90,14,12
3,866.90,14,12
4,866.90,14,12
1,866.10,14,7
2,866.90,14,12
3,866.90,14,12
4,866.90,14,12
1,866.50,14,7
2,866.90,14,12
3,866.90,14,12
4,866.90,14,12
1,866.50,14,7
