id,app_data,snr,rssi,duty_cycle_remaining,is_primary,receive_time,seq,frequency,spf,power,airtime,coderate,bandwidth,msg_group_number,message_type_id,ap_id,node_id,dev_id,application_id,battery
39039,QjVCQkJCAA==,11.5,-59,33704,t,2023-09-20 18:45:08.249,2595,866100000,11,0,-1276574632,4/5,125000,22,1,777777,zMzM,39009,,
39040,QjVCQkJCAA==,9.5,-66,33704,t,2023-09-20 18:45:08.706,37730,866500000,11,0,-1276573828,4/5,125000,17,1,777777,u7u7,39010,,
39041,QjVCQkJCAA==,8.75,-78,32386,t,2023-09-20 18:45:12.737,49485,866300000,11,0,-1276570095,4/5,125000,105,1,777777,VVVV,39011,,
39042,QjVCQkJCAA==,8.5,-56,31440,t,2023-09-20 18:45:16.273,18305,866100000,11,0,-1276566584,4/5,125000,23,1,777777,iIiI,39012,,
39043,QjVCQkJCAA==,6.25,-60,31440,t,2023-09-20 18:45:18.777,6981,866900000,12,0,-1276563930,4/5,125000,27,1,777777,qqqq,39013,,
39044,QjVCQkJCAA==,11.25,-97,108,t,2023-09-20 18:45:20.742,2597,866100000,11,0,-1276562173,4/5,125000,23,1,333333,zMzM,39014,,
39045,QjVCQkJCAA==,6.25,-77,108,t,2023-09-20 18:45:24.752,49487,866500000,10,0,-1276558061,4/5,125000,106,1,333333,VVVV,39015,,
39046,QjVCQkJCAA==,9,-54,29343,t,2023-09-20 18:45:25.312,20184,866500000,11,0,-1276557380,4/5,125000,30,1,777777,7u7u,39016,,
39047,QjVCQkJCAA==,8.5,-60,27823,t,2023-09-20 18:45:32.775,6983,866300000,12,0,-1276549659,4/5,125000,28,1,777777,qqqq,39017,,
39048,QjVCQkJCAA==,5,-79,108,t,2023-09-20 18:45:33.28,49489,866900000,12,0,-1276549321,4/5,125000,107,1,333333,VVVV,39018,,
39049,QjVCQkJCAA==,7.5,-66,25931,t,2023-09-20 18:45:37.288,33773,866500000,11,0,-1276545541,4/5,125000,18,1,777777,u7u7,39019,,
39050,QjVCQkJCAA==,8.5,-87,108,t,2023-09-20 18:45:38.284,49490,866900000,12,0,-1276544974,4/5,125000,108,1,333333,VVVV,39020,,
39051,QjVCQkJCAA==,12,-61,24698,t,2023-09-20 18:45:44.302,12943,866100000,11,0,-1276538508,4/5,125000,24,1,777777,iIiI,39021,,
