id,app_data,snr,rssi,duty_cycle_remaining,is_primary,receive_time,seq,frequency,spf,power,airtime,coderate,bandwidth,msg_group_number,message_type_id,ap_id,node_id,dev_id,application_id,battery
40006,QjVCQkJCAA==,11,-54,34852,t,2023-09-21 02:45:23.829,64032,866300000,11,0,-1247759032,4/5,125000,121,1,777777,7u7u,39976,,
40007,QjVCQkJCAA==,10,-83,5,t,2023-09-21 02:45:27.83,64033,866900000,12,0,-1247754663,4/5,125000,122,1,333333,7u7u,39977,,
40008,QjVCQkJCAA==,11,-76,33045,t,2023-09-21 02:45:31.836,35448,866100000,11,0,-1247750991,4/5,125000,211,1,777777,d3d3,39978,,
40009,QjVCQkJCAA==,9.75,-58,33045,t,2023-09-21 02:45:32.339,64034,866900000,12,0,-1247750311,4/5,125000,123,1,777777,7u7u,39979,,
40010,QjVCQkJCAA==,8.5,-84,5,f,2023-09-21 02:45:32.34,64034,866900000,12,0,-1247750315,4/5,125000,123,1,333333,7u7u,39980,,
40011,QjVCQkJCAA==,9,-75,5,t,2023-09-21 02:45:35.852,35449,866900000,12,0,-1247746628,4/5,125000,212,1,333333,d3d3,39981,,
40012,QjVCQkJCAA==,10.75,-67,30576,t,2023-09-21 02:45:36.415,20947,866100000,11,0,-1247746264,4/5,125000,102,1,777777,u7u7,39982,,
40013,QjVCQkJCAA==,9.75,-85,29917,t,2023-09-21 02:45:40.448,60228,866100000,11,0,-1247742462,4/5,125000,198,1,777777,ZmZm,39983,,
40014,QjVCQkJCAA==,9,-77,5,t,2023-09-21 02:45:41.352,35450,866900000,12,0,-1247742272,4/5,125000,213,1,333333,d3d3,39984,,
40015,QjVCQkJCAA==,11.5,-76,5,t,2023-09-21 02:45:44.934,35451,866900000,12,0,-1247737924,4/5,125000,214,1,333333,d3d3,39985,,
40016,QjVCQkJCAA==,9.5,-84,5,t,2023-09-21 02:45:46.397,64036,866500000,12,0,-1247736167,4/5,125000,124,1,333333,7u7u,39986,,
40017,QjVCQkJCAA==,9.25,-59,28971,t,2023-09-21 02:45:46.993,17061,866900000,12,0,-1247735701,4/5,125000,118,1,777777,zMzM,39987,,
40018,QjVCQkJCAA==,9,-83,5,f,2023-09-21 02:45:52.922,60230,866300000,11,0,-1247729980,4/5,125000,199,1,333333,ZmZm,39988,,
40019,QjVCQkJCAA==,9,-75,26874,t,2023-09-21 02:45:52.927,60230,866300000,11,0,-1247729973,4/5,125000,199,1,777777,ZmZm,39989,,
40020,QjVCQkJCAA==,8,-54,25928,t,2023-09-21 02:45:56.476,58391,866300000,11,0,-1247726302,4/5,125000,120,1,777777,iIiI,39990,,
40021,QjVCQkJCAA==,8.25,-85,5,f,2023-09-21 02:45:59.5,64039,866900000,12,0,-1247723124,4/5,125000,125,1,333333,7u7u,39991,,
40022,QjVCQkJCAA==,9.75,-57,24982,t,2023-09-21 02:45:59.503,64039,866900000,12,0,-1247723124,4/5,125000,125,1,777777,7u7u,39992,,
40023,QjVCQkJCAA==,9,-78,5,t,2023-09-21 02:46:05.025,60232,866500000,10,0,-1247717871,4/5,125000,200,1,333333,ZmZm,39993,,
40024,QjVCQkJCAA==,9.75,-77,22311,t,2023-09-21 02:46:07.035,15741,866900000,12,0,-1247715501,4/5,125000,215,1,777777,d3d3,39994,,
