id,app_data,snr,rssi,duty_cycle_remaining,is_primary,receive_time,seq,frequency,spf,power,airtime,coderate,bandwidth,msg_group_number,message_type_id,ap_id,node_id,dev_id,application_id,battery
52891,QjVCQkJCAA==,9.25,-81,23506,t,2023-09-22 16:50:00.675,45693,866500000,9,0,-1110682190,4/7,125000,756,1,333333,ZmZm,52861,,
52892,QjVCQkJCAA==,9.25,-77,7240,f,2023-09-22 16:50:00.676,45693,866500000,9,0,-1110682189,4/7,125000,756,1,777777,ZmZm,52862,,
52893,QjVCQkJCAA==,8.75,-95,23506,t,2023-09-22 16:50:00.693,52477,866500000,9,0,-1110681774,4/7,125000,1811,1,333333,u7u7,52863,,
52894,QjVCQkJCAA==,8.5,-71,7240,f,2023-09-22 16:50:00.694,52477,866500000,9,0,-1110681776,4/7,125000,1811,1,777777,u7u7,52864,,
52895,QjVCQkJCAA==,12.5,-89,23506,t,2023-09-22 16:50:01.176,4662,866700000,9,0,-1110681398,4/7,125000,1547,1,333333,mZmZ,52865,,
52896,QjVCQkJCAA==,13.25,-48,7240,f,2023-09-22 16:50:01.177,4662,866700000,9,0,-1110681394,4/7,125000,1547,1,777777,mZmZ,52866,,
52897,QjVCQkJCAA==,12.25,-76,7240,t,2023-09-22 16:50:01.703,7585,866900000,9,0,-1110681043,4/7,125000,735,1,777777,d3d3,52867,,
52898,QjVCQkJCAA==,12.75,-55,7240,t,2023-09-22 16:50:02.203,15130,866900000,9,0,-1110680692,4/7,125000,709,1,777777,iIiI,52868,,
52899,QjVCQkJCAA==,12.5,-79,22915,t,2023-09-22 16:50:03.202,45898,866700000,9,0,-1110679276,4/7,125000,1850,1,333333,VVVV,52869,,
52900,QjVCQkJCAA==,12.25,-67,6731,t,2023-09-22 16:50:04.727,56025,866900000,9,0,-1110677761,4/7,125000,570,1,777777,zMzM,52870,,
52901,QjVCQkJCAA==,9.25,-60,6534,t,2023-09-22 16:50:06.246,63078,866500000,9,0,-1110676526,4/7,125000,379,1,777777,7u7u,52871,,
52902,QjVCQkJCAA==,9.5,-87,22718,t,2023-09-22 16:50:07.728,2546,866500000,9,0,-1110675053,4/7,125000,608,1,333333,3d3d,52872,,
52903,QjVCQkJCAA==,9.75,-87,6222,f,2023-09-22 16:50:07.729,2546,866500000,9,0,-1110675055,4/7,125000,608,1,777777,3d3d,52873,,
52904,QjVCQkJCAA==,12,-75,6222,t,2023-09-22 16:50:09.269,34681,866100000,9,0,-1110673636,4/7,125000,481,1,777777,qqqq,52874,,
52905,QjVCQkJCAA==,8.75,-76,22521,t,2023-09-22 16:50:11.755,45695,866500000,9,0,-1110670740,4/7,125000,757,1,333333,ZmZm,52875,,
52906,QjVCQkJCAA==,12.75,-87,22521,t,2023-09-22 16:50:12.254,4664,866700000,9,0,-1110670242,4/7,125000,1548,1,333333,mZmZ,52876,,
52907,QjVCQkJCAA==,13,-48,6025,f,2023-09-22 16:50:12.256,4664,866700000,9,0,-1110670247,4/7,125000,1548,1,777777,mZmZ,52877,,
52908,QjVCQkJCAA==,9.25,-69,6025,t,2023-09-22 16:50:12.289,52479,866500000,9,0,-1110670529,4/7,125000,1812,1,777777,u7u7,52878,,
52909,QjVCQkJCAA==,11.5,-96,22127,t,2023-09-22 16:50:13.275,15132,866900000,9,0,-1110669205,4/7,125000,710,1,333333,iIiI,52879,,
52910,QjVCQkJCAA==,13.75,-59,6025,f,2023-09-22 16:50:13.276,15132,866900000,9,0,-1110669196,4/7,125000,710,1,777777,iIiI,52880,,
52911,QjVCQkJCAA==,12.75,-75,6025,t,2023-09-22 16:50:13.291,7587,866900000,9,0,-1110669587,4/7,125000,736,1,777777,d3d3,52881,,
52912,QjVCQkJCAA==,13.25,-81,21930,t,2023-09-22 16:50:14.299,45900,866700000,9,0,-1110668200,4/7,125000,1851,1,333333,VVVV,52882,,
52913,QjVCQkJCAA==,9.25,-67,5828,t,2023-09-22 16:50:15.311,52480,866500000,9,0,-1110667261,4/7,125000,1813,1,777777,u7u7,52883,,
52914,QjVCQkJCAA==,13.5,-66,5828,t,2023-09-22 16:50:15.822,56027,866900000,9,0,-1110666684,4/7,125000,571,1,777777,zMzM,52884,,
52915,QjVCQkJCAA==,13.5,-84,21733,t,2023-09-22 16:50:16.319,7588,866900000,9,0,-1110666320,4/7,125000,737,1,333333,d3d3,52885,,
52916,QjVCQkJCAA==,9,-95,21733,t,2023-09-22 16:50:16.822,15133,866900000,9,0,-1110665933,4/7,125000,711,1,333333,iIiI,52886,,
52917,QjVCQkJCAA==,8.5,-63,5319,t,2023-09-22 16:50:17.846,63080,866500000,9,0,-1110665059,4/7,125000,380,1,777777,7u7u,52887,,
52918,QjVCQkJCAA==,13.25,-69,5122,t,2023-09-22 16:50:19.366,56028,866900000,9,0,-1110663424,4/7,125000,572,1,777777,zMzM,52888,,
52919,QjVCQkJCAA==,10,-87,21109,t,2023-09-22 16:50:19.844,2548,866500000,9,0,-1110662965,4/7,125000,609,1,333333,3d3d,52889,,
