id,app_data,snr,rssi,duty_cycle_remaining,is_primary,receive_time,seq,frequency,spf,power,airtime,coderate,bandwidth,msg_group_number,message_type_id,ap_id,node_id,dev_id,application_id,battery
76223,QjVCQkJCAA==,8,-109,35262,t,2023-09-27 01:42:59.773,2093,866100000,8,0,-733103188,4/7,125000,4405,1,333333,u7u7,76193,,
76224,QjVCQkJCAA==,10.25,-103,35262,t,2023-09-27 01:42:59.823,19450,866100000,8,0,-733102833,4/7,125000,3446,1,333333,mZmZ,76194,,
76225,QjVCQkJCAA==,3.75,-112,35262,t,2023-09-27 01:43:00.229,58062,866300000,9,0,-733102450,4/7,125000,2531,1,333333,qqqq,76195,,
76226,QjVCQkJCAA==,3.5,-113,34552,t,2023-09-27 01:43:11.277,58064,866300000,9,0,-733091198,4/7,125000,2532,1,333333,qqqq,76196,,
76227,QjVCQkJCAA==,11.5,-63,8,f,2023-09-27 01:43:11.279,58064,866300000,9,0,-733091197,4/7,125000,2532,1,777777,qqqq,76197,,
76228,QjVCQkJCAA==,12.5,-89,34068,t,2023-09-27 01:43:15.788,57954,866300000,10,0,-733086794,4/7,125000,2488,1,333333,zMzM,76198,,
76229,QjVCQkJCAA==,-0.5,-71,8,t,2023-09-27 01:43:17.342,2097,866100000,8,0,-733085460,4/7,125000,4406,1,777777,u7u7,76199,,
76230,QjVCQkJCAA==,12.5,-65,8,f,2023-09-27 01:43:22.306,58066,866300000,9,0,-733080147,4/7,125000,2533,1,777777,qqqq,76200,,
76231,QjVCQkJCAA==,3.25,-112,33099,t,2023-09-27 01:43:22.308,58066,866300000,9,0,-733080149,4/7,125000,2533,1,333333,qqqq,76201,,
76232,QjVCQkJCAA==,11.25,-95,33099,t,2023-09-27 01:43:23.327,1223,866700000,10,0,-733079277,4/7,125000,2738,1,333333,iIiI,76202,,
76233,QjVCQkJCAA==,12.5,-64,8,f,2023-09-27 01:43:25.818,58067,866300000,9,0,-733076881,4/7,125000,2534,1,777777,qqqq,76203,,
76234,QjVCQkJCAA==,3.5,-112,32704,t,2023-09-27 01:43:25.82,58067,866300000,9,0,-733076885,4/7,125000,2534,1,333333,qqqq,76204,,
76235,QjVCQkJCAA==,8.75,-79,32704,t,2023-09-27 01:43:26.365,47536,866700000,7,0,-733076178,4/7,125000,2698,1,333333,ZmZm,76205,,
76236,QjVCQkJCAA==,9.25,-70,8,t,2023-09-27 01:43:27.33,57956,866300000,10,0,-733075116,4/7,125000,2489,1,777777,zMzM,76206,,
