id,app_data,snr,rssi,duty_cycle_remaining,is_primary,receive_time,seq,frequency,spf,power,airtime,coderate,bandwidth,msg_group_number,message_type_id,ap_id,node_id,dev_id,application_id,battery
78722,QjVCQkJCAA==,7,-108,35098,t,2023-09-27 05:43:05.707,3188,866700000,8,0,-718696891,4/7,125000,4653,1,333333,u7u7,78692,,
78723,QjVCQkJCAA==,11.5,-81,35098,t,2023-09-27 05:43:06.187,58580,866100000,8,0,-718696385,4/7,125000,2855,1,333333,ZmZm,78693,,
78724,QjVCQkJCAA==,11,-87,34872,t,2023-09-27 05:43:08.214,36466,866300000,10,0,-718694412,4/7,125000,2755,1,333333,zMzM,78694,,
78725,QjVCQkJCAA==,11.25,-84,34190,t,2023-09-27 05:43:13.8,49493,866700000,8,0,-718688912,4/7,125000,2678,1,333333,3d3d,78695,,
78726,QjVCQkJCAA==,11.25,-72,13,f,2023-09-27 05:43:16.714,3190,866700000,8,0,-718685889,4/7,125000,4654,1,777777,u7u7,78696,,
78727,QjVCQkJCAA==,7.25,-107,34077,t,2023-09-27 05:43:16.716,3190,866700000,8,0,-718685892,4/7,125000,4654,1,333333,u7u7,78697,,
78728,QjVCQkJCAA==,13,-75,13,f,2023-09-27 05:43:17.214,58582,866100000,8,0,-718685415,4/7,125000,2856,1,777777,ZmZm,78698,,
78729,QjVCQkJCAA==,12.5,-83,34077,t,2023-09-27 05:43:17.216,58582,866100000,8,0,-718685417,4/7,125000,2856,1,333333,ZmZm,78699,,
78730,QjVCQkJCAA==,11.75,-69,13,f,2023-09-27 05:43:19.719,36468,866300000,10,0,-718682760,4/7,125000,2756,1,777777,zMzM,78700,,
78731,QjVCQkJCAA==,12.25,-91,33851,t,2023-09-27 05:43:19.72,36468,866300000,10,0,-718682758,4/7,125000,2756,1,333333,zMzM,78701,,
78732,QjVCQkJCAA==,8.25,-101,33169,t,2023-09-27 05:43:22.259,1869,866500000,10,0,-718680284,4/7,125000,2960,1,333333,iIiI,78702,,
78733,QjVCQkJCAA==,12,-84,32487,t,2023-09-27 05:43:24.736,49495,866700000,8,0,-718677807,4/7,125000,2679,1,333333,3d3d,78703,,
78734,QjVCQkJCAA==,11.5,-72,13,f,2023-09-27 05:43:27.733,3192,866700000,8,0,-718674872,4/7,125000,4655,1,777777,u7u7,78704,,
78735,QjVCQkJCAA==,7,-108,32374,t,2023-09-27 05:43:27.735,3192,866700000,8,0,-718674875,4/7,125000,4655,1,333333,u7u7,78705,,
78736,QjVCQkJCAA==,12.25,-75,13,f,2023-09-27 05:43:28.231,58584,866100000,8,0,-718674387,4/7,125000,2857,1,777777,ZmZm,78706,,
78737,QjVCQkJCAA==,10.75,-79,32374,t,2023-09-27 05:43:28.232,58584,866100000,8,0,-718674390,4/7,125000,2857,1,333333,ZmZm,78707,,
78738,QjVCQkJCAA==,9.75,-107,32261,t,2023-09-27 05:43:30.26,7845,866900000,8,0,-718672206,4/7,125000,3692,1,333333,mZmZ,78708,,
78739,QjVCQkJCAA==,7.25,-108,32261,t,2023-09-27 05:43:30.759,3193,866700000,8,0,-718671708,4/7,125000,4656,1,333333,u7u7,78709,,
78740,QjVCQkJCAA==,11.75,-73,13,f,2023-09-27 05:43:30.761,3193,866700000,8,0,-718671703,4/7,125000,4656,1,777777,u7u7,78710,,
78741,QjVCQkJCAA==,10.75,-73,13,t,2023-09-27 05:43:31.281,36470,866300000,10,0,-718671195,4/7,125000,2757,1,777777,zMzM,78711,,
78742,QjVCQkJCAA==,8.5,-99,31978,t,2023-09-27 05:43:33.793,1871,866500000,10,0,-718668717,4/7,125000,2961,1,333333,iIiI,78712,,
78743,QjVCQkJCAA==,2.25,-113,31978,t,2023-09-27 05:43:34.295,39054,866900000,9,0,-718668606,4/7,125000,2837,1,333333,qqqq,78713,,
78744,QjVCQkJCAA==,12.75,-69,13,t,2023-09-27 05:43:35.251,36471,866300000,10,0,-718667750,4/7,125000,2758,1,777777,zMzM,78714,,
78745,QjVCQkJCAA==,11.25,-81,31386,t,2023-09-27 05:43:35.818,49497,866700000,8,0,-718666869,4/7,125000,2680,1,333333,3d3d,78715,,
78746,QjVCQkJCAA==,8.75,-96,31273,t,2023-09-27 05:43:37.348,1872,866500000,10,0,-718665205,4/7,125000,2962,1,333333,iIiI,78716,,
