id,app_data,snr,rssi,duty_cycle_remaining,is_primary,receive_time,seq,frequency,spf,power,airtime,coderate,bandwidth,msg_group_number,message_type_id,ap_id,node_id,dev_id,application_id,battery
38414,QjVCQkJCAA==,13.25,-73,35713,t,2023-10-03 21:56:59.005,38859,866100000,9,0,-141863855,4/7,125000,0,1,777777,VVVV,38384,,
38415,QjVCQkJCAA==,14.25,-77,35516,t,2023-10-03 21:57:10.07,38861,866100000,9,0,-141852395,4/7,125000,1,1,777777,VVVV,38385,,
38416,QjVCQkJCAA==,13,-73,35319,t,2023-10-03 21:57:21.13,38863,866100000,9,0,-141841326,4/7,125000,2,1,777777,VVVV,38386,,
38417,QjVCQkJCAA==,13.25,-77,35122,t,2023-10-03 21:57:32.182,38865,866100000,9,0,-141830272,4/7,125000,3,1,777777,VVVV,38387,,
38418,QjVCQkJCAA==,13.75,-77,34925,t,2023-10-03 21:57:43.238,38867,866100000,9,0,-141819227,4/7,125000,4,1,777777,VVVV,38388,,
38419,QjVCQkJCAA==,13,-73,34728,t,2023-10-03 21:57:54.289,38869,866100000,9,0,-141808173,4/7,125000,5,1,777777,VVVV,38389,,
38420,QjVCQkJCAA==,13,-75,34531,t,2023-10-03 21:58:05.341,38871,866100000,9,0,-141797118,4/7,125000,6,1,777777,VVVV,38390,,
38421,QjVCQkJCAA==,12.5,-73,34334,t,2023-10-03 21:58:16.389,38873,866100000,9,0,-141786071,4/7,125000,7,1,777777,VVVV,38391,,
38422,QjVCQkJCAA==,12.75,-75,36000,t,2023-10-03 21:58:32.725,38876,866100000,9,0,-141771749,4/7,125000,8,1,777777,VVVV,38392,,
38423,QjVCQkJCAA==,14,-75,35688,t,2023-10-03 21:58:44.284,38878,866100000,9,0,-141758558,4/7,125000,9,1,777777,VVVV,38393,,
38424,QjVCQkJCAA==,13.25,-73,35491,t,2023-10-03 21:58:55.343,38880,866100000,9,0,-141747113,4/7,125000,10,1,777777,VVVV,38394,,
38425,QjVCQkJCAA==,13,-73,35294,t,2023-10-03 21:59:06.393,38882,866100000,9,0,-141736068,4/7,125000,11,1,777777,VVVV,38395,,
38426,QjVCQkJCAA==,12.75,-73,35097,t,2023-10-03 21:59:17.448,38884,866100000,9,0,-141725020,4/7,125000,12,1,777777,VVVV,38396,,
38427,QjVCQkJCAA==,13.25,-75,34900,t,2023-10-03 21:59:28.504,38886,866100000,9,0,-141713958,4/7,125000,13,1,777777,VVVV,38397,,
38428,QjVCQkJCAA==,12.75,-73,34703,t,2023-10-03 21:59:39.561,38888,866100000,9,0,-141702904,4/7,125000,14,1,777777,VVVV,38398,,
