id,app_data,snr,rssi,duty_cycle_remaining,is_primary,receive_time,seq,frequency,spf,power,airtime,coderate,bandwidth,msg_group_number,message_type_id,ap_id,node_id,dev_id,application_id,battery
58503,QjVCQkJCAA==,10,-96,33867,t,2023-10-26 11:08:31.032,17049,866700000,8,0,1806428425,4/7,125000,1701,1,333333,qqqq,58473,,
58504,QjVCQkJCAA==,10,-98,33867,t,2023-10-26 11:08:32.034,21607,866700000,10,0,1806429407,4/7,125000,2161,1,333333,u7u7,58474,,
58505,QjVCQkJCAA==,10.75,-96,33293,t,2023-10-26 11:08:34.047,17050,866700000,8,0,1806431588,4/7,125000,1702,1,333333,qqqq,58475,,
58506,QjVCQkJCAA==,10.5,-100,32959,t,2023-10-26 11:08:35.572,21608,866700000,10,0,1806432901,4/7,125000,2162,1,333333,u7u7,58476,,
58507,QjVCQkJCAA==,8.25,-88,30793,t,2023-10-26 11:08:44.675,55118,866500000,10,0,1806442167,4/7,125000,2730,1,333333,RERE,58477,,
58508,QjVCQkJCAA==,11.5,-99,30793,t,2023-10-26 11:08:45.133,17052,866700000,8,0,1806442482,4/7,125000,1703,1,333333,qqqq,58478,,
58509,QjVCQkJCAA==,10.5,-98,29939,t,2023-10-26 11:08:47.203,21610,866700000,10,0,1806444759,4/7,125000,2163,1,333333,u7u7,58479,,
58510,QjVCQkJCAA==,11,-99,29939,t,2023-10-26 11:08:48.204,17053,866700000,8,0,1806445628,4/7,125000,1704,1,333333,qqqq,58480,,
58511,QjVCQkJCAA==,10.5,-98,29482,t,2023-10-26 11:08:50.714,21611,866700000,10,0,1806448243,4/7,125000,2164,1,333333,u7u7,58481,,
58512,QjVCQkJCAA==,10.75,-76,28628,t,2023-10-26 11:08:53.282,42854,866100000,10,0,1806450547,4/7,125000,792,1,333333,VVVV,58482,,
58513,QjVCQkJCAA==,8.75,-88,27659,t,2023-10-26 11:08:56.756,55120,866500000,10,0,1806454083,4/7,125000,2731,1,333333,RERE,58483,,
58514,QjVCQkJCAA==,10.75,-85,27659,t,2023-10-26 11:08:57.258,36858,866300000,8,0,1806454761,4/7,125000,2997,1,333333,3d3d,58484,,
58515,QjVCQkJCAA==,11.25,-99,26807,t,2023-10-26 11:08:59.325,17055,866700000,8,0,1806456635,4/7,125000,1705,1,333333,qqqq,58485,,
58516,QjVCQkJCAA==,2.5,-96,26233,t,2023-10-26 11:09:02.297,17056,866700000,8,0,1806459785,4/7,125000,1706,1,333333,qqqq,58486,,
58517,QjVCQkJCAA==,8.5,-97,26233,t,2023-10-26 11:09:02.798,21613,866700000,10,0,1806459897,4/7,125000,2165,1,333333,u7u7,58487,,
58518,QjVCQkJCAA==,11.25,-74,26063,t,2023-10-26 11:09:04.825,42856,866100000,10,0,1806462304,4/7,125000,793,1,333333,VVVV,58488,,
58519,QjVCQkJCAA==,8,-95,25668,t,2023-10-26 11:09:08.353,55122,866500000,10,0,1806465747,4/7,125000,2732,1,333333,RERE,58489,,
58520,QjVCQkJCAA==,1,-82,25668,t,2023-10-26 11:09:08.373,36860,866300000,8,0,1806465909,4/7,125000,2998,1,333333,3d3d,58490,,
58521,QjVCQkJCAA==,11,-103,24586,t,2023-10-26 11:09:12.909,21616,866700000,10,0,1806470356,4/7,125000,2166,1,333333,u7u7,58491,,
58522,QjVCQkJCAA==,11,-97,24586,t,2023-10-26 11:09:13.41,17058,866700000,8,0,1806470730,4/7,125000,1707,1,333333,qqqq,58492,,
58523,QjVCQkJCAA==,11.25,-99,22871,t,2023-10-26 11:09:19.962,17060,866700000,8,0,1806477038,4/7,125000,1708,1,333333,qqqq,58493,,
58524,QjVCQkJCAA==,11.25,-81,22127,t,2023-10-26 11:09:23.477,42860,866100000,10,0,1806480818,4/7,125000,794,1,333333,VVVV,58494,,
58525,QjVCQkJCAA==,7.25,-89,22127,t,2023-10-26 11:09:23.495,55125,866500000,10,0,1806480832,4/7,125000,2733,1,333333,RERE,58495,,
58526,QjVCQkJCAA==,6.5,-83,20993,t,2023-10-26 11:09:26.017,24247,866300000,10,0,1806483379,4/7,125000,661,1,333333,ZmZm,58496,,
58527,QjVCQkJCAA==,12,-87,20993,t,2023-10-26 11:09:26.031,36864,866300000,8,0,1806483481,4/7,125000,2999,1,333333,3d3d,58497,,
58528,QjVCQkJCAA==,10.5,-100,20536,t,2023-10-26 11:09:28.049,21619,866700000,10,0,1806485571,4/7,125000,2167,1,333333,u7u7,58498,,
58529,QjVCQkJCAA==,11.5,-99,19969,t,2023-10-26 11:09:31.077,17062,866700000,8,0,1806488391,4/7,125000,1709,1,333333,qqqq,58499,,
58530,QjVCQkJCAA==,11.25,-97,19682,t,2023-10-26 11:09:34.085,17063,866700000,8,0,1806491553,4/7,125000,1710,1,333333,qqqq,58500,,
58531,QjVCQkJCAA==,11.25,-78,18651,t,2023-10-26 11:09:38.605,42863,866100000,10,0,1806496153,4/7,125000,795,1,333333,VVVV,58501,,
58532,QjVCQkJCAA==,11,-85,17797,t,2023-10-26 11:09:40.632,36867,866300000,8,0,1806497903,4/7,125000,3000,1,333333,3d3d,58502,,
58533,QjVCQkJCAA==,10.25,-103,17340,t,2023-10-26 11:09:43.167,21622,866700000,10,0,1806500719,4/7,125000,2168,1,333333,u7u7,58503,,
58534,QjVCQkJCAA==,10.5,-97,16486,t,2023-10-26 11:09:45.191,17065,866700000,8,0,1806502516,4/7,125000,1711,1,333333,qqqq,58504,,
58535,QjVCQkJCAA==,7.5,-90,16486,t,2023-10-26 11:09:46.194,55130,866500000,10,0,1806503668,4/7,125000,2734,1,333333,RERE,58505,,
58536,QjVCQkJCAA==,11,-97,15919,t,2023-10-26 11:09:48.22,17066,866700000,8,0,1806505672,4/7,125000,1712,1,333333,qqqq,58506,,
58537,QjVCQkJCAA==,11.25,-77,15462,t,2023-10-26 11:09:50.229,42865,866100000,10,0,1806507793,4/7,125000,796,1,333333,VVVV,58507,,
58538,QjVCQkJCAA==,12.5,-85,15067,t,2023-10-26 11:09:51.756,36869,866300000,8,0,1806509096,4/7,125000,3001,1,333333,3d3d,58508,,
58539,QjVCQkJCAA==,10.5,-98,14667,t,2023-10-26 11:09:55.291,21624,866700000,10,0,1806512628,4/7,125000,2169,1,333333,u7u7,58509,,
58540,QjVCQkJCAA==,8.25,-91,14667,t,2023-10-26 11:09:57.797,55132,866500000,10,0,1806515365,4/7,125000,2735,1,333333,RERE,58510,,
58541,QjVCQkJCAA==,11.5,-99,14380,t,2023-10-26 11:09:59.305,17068,866700000,8,0,1806516655,4/7,125000,1713,1,333333,qqqq,58511,,
58542,QjVCQkJCAA==,8.75,-93,14093,t,2023-10-26 11:10:01.312,55133,866500000,10,0,1806518846,4/7,125000,2736,1,333333,RERE,58512,,
58543,QjVCQkJCAA==,10.75,-75,14093,t,2023-10-26 11:10:01.812,42867,866100000,10,0,1806519250,4/7,125000,797,1,333333,VVVV,58513,,
58544,QjVCQkJCAA==,4,-97,12844,t,2023-10-26 11:10:05.849,17070,866700000,8,0,1806522958,4/7,125000,1714,1,333333,qqqq,58514,,
58545,QjVCQkJCAA==,12,-85,12844,t,2023-10-26 11:10:05.868,36872,866300000,8,0,1806523323,4/7,125000,3002,1,333333,3d3d,58515,,
58546,QjVCQkJCAA==,11.25,-81,12412,t,2023-10-26 11:10:08.859,42869,866100000,10,0,1806526231,4/7,125000,798,1,333333,VVVV,58516,,
58547,QjVCQkJCAA==,8,-91,11271,t,2023-10-26 11:10:13.393,55135,866500000,10,0,1806530474,4/7,125000,2737,1,333333,RERE,58517,,
58548,QjVCQkJCAA==,7.25,-90,10984,t,2023-10-26 11:10:16.404,55136,866500000,10,0,1806533958,4/7,125000,2738,1,333333,RERE,58518,,
58549,QjVCQkJCAA==,10.75,-84,10697,t,2023-10-26 11:10:16.928,36874,866300000,8,0,1806534483,4/7,125000,3003,1,333333,3d3d,58519,,
58550,QjVCQkJCAA==,11.75,-75,9730,t,2023-10-26 11:10:20.967,42871,866100000,10,0,1806538052,4/7,125000,799,1,333333,VVVV,58520,,
58551,QjVCQkJCAA==,11,-99,9048,t,2023-10-26 11:10:23.018,17074,866700000,8,0,1806540589,4/7,125000,1715,1,333333,qqqq,58521,,
58552,QjVCQkJCAA==,10.25,-100,8591,t,2023-10-26 11:10:27.598,46541,866900000,10,0,1806544797,4/7,125000,2170,1,333333,u7u7,58522,,
58553,QjVCQkJCAA==,12.25,-85,8591,t,2023-10-26 11:10:28.055,36876,866300000,8,0,1806545382,4/7,125000,3004,1,333333,3d3d,58523,,
58554,QjVCQkJCAA==,7.75,-90,8591,t,2023-10-26 11:10:28.073,55138,866500000,10,0,1806545574,4/7,125000,2739,1,333333,RERE,58524,,
58555,QjVCQkJCAA==,7.25,-90,7624,t,2023-10-26 11:10:31.589,55139,866500000,10,0,1806549055,4/7,125000,2740,1,333333,RERE,58525,,
58556,QjVCQkJCAA==,-11.5,-82,6770,t,2023-10-26 11:10:34.116,17076,866700000,8,0,1806551448,4/7,125000,1716,1,333333,qqqq,58526,,
58557,QjVCQkJCAA==,11.5,-87,5909,t,2023-10-26 11:10:39.133,36878,866300000,8,0,1806556574,4/7,125000,3005,1,333333,3d3d,58527,,
58558,QjVCQkJCAA==,10.75,-76,5909,t,2023-10-26 11:10:39.636,42875,866100000,10,0,1806556969,4/7,125000,800,1,333333,VVVV,58528,,
