id,app_data,snr,rssi,duty_cycle_remaining,is_primary,receive_time,seq,frequency,spf,power,airtime,coderate,bandwidth,msg_group_number,message_type_id,ap_id,node_id,dev_id,application_id,battery
54180,QjVCQkJCAA==,9,-105,34401,t,2023-10-25 13:44:59.242,31998,866700000,8,0,1729416778,4/7,125000,2098,1,333333,RERE,54150,,
54181,QjVCQkJCAA==,10.75,-101,32566,t,2023-10-25 13:45:06.297,45117,866100000,9,0,1729423159,4/7,125000,1729,1,333333,u7u7,54151,,
54182,QjVCQkJCAA==,11.5,-67,26,t,2023-10-25 13:45:10.329,32000,866700000,8,0,1729427617,4/7,125000,2099,1,777777,RERE,54152,,
54183,QjVCQkJCAA==,11.5,-71,26,f,2023-10-25 13:45:13.334,32001,866700000,8,0,1729430775,4/7,125000,2100,1,777777,RERE,54153,,
54184,QjVCQkJCAA==,8.5,-105,29829,t,2023-10-25 13:45:13.336,32001,866700000,8,0,1729430770,4/7,125000,2100,1,333333,RERE,54154,,
54185,QjVCQkJCAA==,12,-97,29659,t,2023-10-25 13:45:14.84,43475,866300000,8,0,1729432168,4/7,125000,510,1,333333,ZmZm,54155,,
54186,QjVCQkJCAA==,11,-101,28111,t,2023-10-25 13:45:21.358,45120,866100000,9,0,1729438666,4/7,125000,1730,1,333333,u7u7,54156,,
54187,QjVCQkJCAA==,11.5,-69,26,f,2023-10-25 13:45:24.366,32003,866700000,8,0,1729441763,4/7,125000,2101,1,777777,RERE,54157,,
54188,QjVCQkJCAA==,9.25,-107,27799,t,2023-10-25 13:45:24.368,32003,866700000,8,0,1729441767,4/7,125000,2101,1,333333,RERE,54158,,
54189,QjVCQkJCAA==,11.5,-100,27799,t,2023-10-25 13:45:24.381,45121,866100000,9,0,1729441931,4/7,125000,1731,1,333333,u7u7,54159,,
54190,QjVCQkJCAA==,11,-89,27487,t,2023-10-25 13:45:25.901,33796,866700000,10,0,1729443249,4/7,125000,1194,1,333333,qqqq,54160,,
54191,QjVCQkJCAA==,10.75,-96,27487,t,2023-10-25 13:45:26.399,43477,866300000,8,0,1729443502,4/7,125000,511,1,333333,ZmZm,54161,,
54192,QjVCQkJCAA==,11.5,-90,27487,t,2023-10-25 13:45:26.415,24415,866100000,8,0,1729443552,4/7,125000,2237,1,333333,3d3d,54162,,
54193,QjVCQkJCAA==,8.75,-102,26866,t,2023-10-25 13:45:27.431,32004,866700000,8,0,1729444925,4/7,125000,2102,1,333333,RERE,54163,,
54194,QjVCQkJCAA==,12,-67,26,f,2023-10-25 13:45:27.432,32004,866700000,8,0,1729444930,4/7,125000,2102,1,777777,RERE,54164,,
54195,QjVCQkJCAA==,10.5,-100,26866,t,2023-10-25 13:45:27.932,45122,866100000,9,0,1729445199,4/7,125000,1732,1,333333,u7u7,54165,,
54196,QjVCQkJCAA==,8.75,-101,25810,t,2023-10-25 13:45:31.401,34811,866700000,12,0,1729448505,4/7,125000,210,1,333333,zMzM,54166,,
54197,QjVCQkJCAA==,7.5,-66,26,t,2023-10-25 13:45:37.458,33798,866700000,10,0,1729454892,4/7,125000,1195,1,777777,qqqq,54167,,
54198,QjVCQkJCAA==,12.5,-78,26,f,2023-10-25 13:45:37.471,24417,866100000,8,0,1729455016,4/7,125000,2238,1,777777,3d3d,54168,,
54199,QjVCQkJCAA==,11,-87,23655,t,2023-10-25 13:45:37.472,24417,866100000,8,0,1729455017,4/7,125000,2238,1,333333,3d3d,54169,,
54200,QjVCQkJCAA==,12.5,-71,26,f,2023-10-25 13:45:38.462,32006,866700000,8,0,1729455861,4/7,125000,2103,1,777777,RERE,54170,,
54201,QjVCQkJCAA==,8.5,-102,23542,t,2023-10-25 13:45:38.464,32006,866700000,8,0,1729455866,4/7,125000,2103,1,333333,RERE,54171,,
54202,QjVCQkJCAA==,11.25,-102,23542,t,2023-10-25 13:45:39.49,45124,866100000,9,0,1729456624,4/7,125000,1733,1,333333,u7u7,54172,,
54203,QjVCQkJCAA==,11.5,-78,26,f,2023-10-25 13:45:40.97,24418,866100000,8,0,1729458332,4/7,125000,2239,1,777777,3d3d,54173,,
54204,QjVCQkJCAA==,11.75,-90,23255,t,2023-10-25 13:45:40.971,24418,866100000,8,0,1729458331,4/7,125000,2239,1,333333,3d3d,54174,,
54205,QjVCQkJCAA==,8.75,-67,26,f,2023-10-25 13:45:40.989,33799,866700000,10,0,1729458395,4/7,125000,1196,1,777777,qqqq,54175,,
54206,QjVCQkJCAA==,10,-90,23255,t,2023-10-25 13:45:40.99,33799,866700000,10,0,1729458392,4/7,125000,1196,1,333333,qqqq,54176,,
54207,QjVCQkJCAA==,11.75,-67,26,f,2023-10-25 13:45:41.473,32007,866700000,8,0,1729459023,4/7,125000,2104,1,777777,RERE,54177,,
54208,QjVCQkJCAA==,9.25,-105,23255,t,2023-10-25 13:45:41.474,32007,866700000,8,0,1729459029,4/7,125000,2104,1,333333,RERE,54178,,
54209,QjVCQkJCAA==,12,-96,22061,t,2023-10-25 13:45:43.979,43481,866300000,8,0,1729461116,4/7,125000,512,1,333333,ZmZm,54179,,
54210,QjVCQkJCAA==,11.25,-100,21604,t,2023-10-25 13:45:46.004,45126,866100000,9,0,1729463167,4/7,125000,1734,1,333333,u7u7,54180,,
54211,QjVCQkJCAA==,11.75,-78,26,f,2023-10-25 13:45:51.996,24420,866100000,8,0,1729469528,4/7,125000,2240,1,777777,3d3d,54181,,
54212,QjVCQkJCAA==,11.5,-89,20431,t,2023-10-25 13:45:51.997,24420,866100000,8,0,1729469525,4/7,125000,2240,1,333333,3d3d,54182,,
54213,QjVCQkJCAA==,-1.25,-63,26,t,2023-10-25 13:45:52.997,32009,866700000,8,0,1729470443,4/7,125000,2105,1,777777,RERE,54183,,
54214,QjVCQkJCAA==,8,-67,26,t,2023-10-25 13:45:53.498,33801,866700000,10,0,1729470609,4/7,125000,1197,1,777777,qqqq,54184,,
54215,QjVCQkJCAA==,11.75,-96,20031,t,2023-10-25 13:45:55.005,43483,866300000,8,0,1729472428,4/7,125000,513,1,333333,ZmZm,54185,,
54216,QjVCQkJCAA==,11.75,-67,26,f,2023-10-25 13:45:56.503,32010,866700000,8,0,1729473604,4/7,125000,2106,1,777777,RERE,54186,,
54217,QjVCQkJCAA==,9,-105,19744,t,2023-10-25 13:45:56.504,32010,866700000,8,0,1729473602,4/7,125000,2106,1,333333,RERE,54187,,
54218,QjVCQkJCAA==,8.25,-69,26,f,2023-10-25 13:45:57.005,33802,866700000,10,0,1729474098,4/7,125000,1198,1,777777,qqqq,54188,,
54219,QjVCQkJCAA==,11,-97,19744,t,2023-10-25 13:45:57.007,33802,866700000,10,0,1729474098,4/7,125000,1198,1,333333,qqqq,54189,,
54220,QjVCQkJCAA==,10.25,-96,18433,t,2023-10-25 13:46:01.018,55901,866700000,8,0,1729478100,4/7,125000,211,1,333333,zMzM,54190,,
54221,QjVCQkJCAA==,11,-101,18433,t,2023-10-25 13:46:01.036,45129,866100000,9,0,1729478374,4/7,125000,1735,1,333333,u7u7,54191,,
54222,QjVCQkJCAA==,12.5,-97,18433,t,2023-10-25 13:46:01.517,43485,866300000,8,0,1729478758,4/7,125000,514,1,333333,ZmZm,54192,,
54223,QjVCQkJCAA==,12,-90,17838,t,2023-10-25 13:46:03.542,24422,866100000,8,0,1729480767,4/7,125000,2241,1,333333,3d3d,54193,,
54224,QjVCQkJCAA==,10.75,-75,26,f,2023-10-25 13:46:03.544,24422,866100000,8,0,1729480767,4/7,125000,2241,1,777777,3d3d,54194,,
54225,QjVCQkJCAA==,10.25,-94,17725,t,2023-10-25 13:46:04.565,43486,866300000,8,0,1729481929,4/7,125000,515,1,333333,ZmZm,54195,,
54226,QjVCQkJCAA==,8.75,-102,17268,t,2023-10-25 13:46:07.576,32012,866700000,8,0,1729484938,4/7,125000,2107,1,333333,RERE,54196,,
54227,QjVCQkJCAA==,13,-71,26,f,2023-10-25 13:46:07.577,32012,866700000,8,0,1729484936,4/7,125000,2107,1,777777,RERE,54197,,
54228,QjVCQkJCAA==,14.75,-93,16981,t,2023-10-25 13:46:09.083,33804,866700000,10,0,1729486172,4/7,125000,1199,1,333333,qqqq,54198,,
54229,QjVCQkJCAA==,9.25,-67,26,f,2023-10-25 13:46:09.085,33804,866700000,10,0,1729486172,4/7,125000,1199,1,777777,qqqq,54199,,
54230,QjVCQkJCAA==,12,-71,26,f,2023-10-25 13:46:10.59,32013,866700000,8,0,1729488088,4/7,125000,2108,1,777777,RERE,54200,,
54231,QjVCQkJCAA==,8,-103,16586,t,2023-10-25 13:46:10.591,32013,866700000,8,0,1729488090,4/7,125000,2108,1,333333,RERE,54201,,
54232,QjVCQkJCAA==,11,-100,16416,t,2023-10-25 13:46:12.614,45131,866100000,9,0,1729489826,4/7,125000,1736,1,333333,u7u7,54202,,
