id,app_data,snr,rssi,duty_cycle_remaining,is_primary,receive_time,seq,frequency,spf,power,airtime,coderate,bandwidth,msg_group_number,message_type_id,ap_id,node_id,dev_id,application_id,battery
45106,QjVCQkJCAA==,9.5,-84,35,f,2023-09-22 00:00:00.105,622,866100000,7,0,-1171282644,4/7,125000,468,1,333333,d3d3,45076,,
45107,QjVCQkJCAA==,9.5,-78,54,t,2023-09-22 00:00:00.107,622,866100000,7,0,-1171282639,4/7,125000,468,1,777777,d3d3,45077,,
45108,QjVCQkJCAA==,8.5,-96,35,f,2023-09-22 00:00:14.637,47691,866300000,7,0,-1171267918,4/7,125000,247,1,333333,qqqq,45078,,
45109,QjVCQkJCAA==,8.5,-66,54,t,2023-09-22 00:00:14.638,47691,866300000,7,0,-1171267916,4/7,125000,247,1,777777,qqqq,45079,,
45110,QjVCQkJCAA==,10.25,-90,54,t,2023-09-22 00:00:18.636,64933,866900000,7,0,-1171264034,4/7,125000,337,1,777777,3d3d,45080,,
45111,QjVCQkJCAA==,9.75,-84,54,f,2023-09-22 00:00:30.664,33601,866100000,7,0,-1171252125,4/7,125000,479,1,777777,ZmZm,45081,,
45112,QjVCQkJCAA==,9.25,-73,35,t,2023-09-22 00:00:30.666,33601,866100000,7,0,-1171252124,4/7,125000,479,1,333333,ZmZm,45082,,
45113,QjVCQkJCAA==,9,-58,54,t,2023-09-22 00:00:34.678,23519,866100000,7,0,-1171247948,4/7,125000,334,1,777777,iIiI,45083,,
45114,QjVCQkJCAA==,8.75,-95,35,f,2023-09-22 00:00:34.679,23519,866100000,7,0,-1171247943,4/7,125000,334,1,333333,iIiI,45084,,
45115,QjVCQkJCAA==,8.75,-91,35,f,2023-09-22 00:00:56.719,11193,866100000,7,0,-1171226081,4/7,125000,345,1,333333,zMzM,45085,,
45116,QjVCQkJCAA==,9,-71,54,t,2023-09-22 00:00:56.722,11193,866100000,7,0,-1171226090,4/7,125000,345,1,777777,zMzM,45086,,
45117,QjVCQkJCAA==,9,-83,35,f,2023-09-22 00:01:11.26,623,866100000,7,0,-1171211492,4/7,125000,469,1,333333,d3d3,45087,,
45118,QjVCQkJCAA==,10,-79,54,t,2023-09-22 00:01:11.261,623,866100000,7,0,-1171211493,4/7,125000,469,1,777777,d3d3,45088,,
45119,QjVCQkJCAA==,9,-96,35,f,2023-09-22 00:01:25.773,47692,866100000,7,0,-1171196924,4/7,125000,248,1,333333,qqqq,45089,,
45120,QjVCQkJCAA==,9.25,-67,54,t,2023-09-22 00:01:25.774,47692,866100000,7,0,-1171196930,4/7,125000,248,1,777777,qqqq,45090,,
45121,QjVCQkJCAA==,8.25,-89,54,t,2023-09-22 00:01:29.785,64934,866100000,7,0,-1171192869,4/7,125000,338,1,777777,3d3d,45091,,
45122,QjVCQkJCAA==,8.75,-77,35,t,2023-09-22 00:01:41.814,33602,866900000,7,0,-1171180979,4/7,125000,480,1,333333,ZmZm,45092,,
45123,QjVCQkJCAA==,9.5,-87,54,f,2023-09-22 00:01:41.815,33602,866900000,7,0,-1171180975,4/7,125000,480,1,777777,ZmZm,45093,,
45124,QjVCQkJCAA==,9.5,-93,35,f,2023-09-22 00:01:45.818,23520,866300000,7,0,-1171176755,4/7,125000,335,1,333333,iIiI,45094,,
45125,QjVCQkJCAA==,9.5,-57,54,t,2023-09-22 00:01:45.819,23520,866300000,7,0,-1171176760,4/7,125000,335,1,777777,iIiI,45095,,
45126,QjVCQkJCAA==,8.75,-94,35,f,2023-09-22 00:02:07.857,11194,866100000,7,0,-1171154966,4/7,125000,346,1,333333,zMzM,45096,,
45127,QjVCQkJCAA==,8.75,-70,54,t,2023-09-22 00:02:07.858,11194,866100000,7,0,-1171154964,4/7,125000,346,1,777777,zMzM,45097,,
45128,QjVCQkJCAA==,9.25,-84,35,f,2023-09-22 00:02:22.405,624,866100000,7,0,-1171140331,4/7,125000,470,1,333333,d3d3,45098,,
45129,QjVCQkJCAA==,9.75,-78,54,t,2023-09-22 00:02:22.406,624,866100000,7,0,-1171140332,4/7,125000,470,1,777777,d3d3,45099,,
45130,QjVCQkJCAA==,9.5,-67,54,t,2023-09-22 00:02:36.971,47693,866300000,7,0,-1171125938,4/7,125000,249,1,777777,qqqq,45100,,
45131,QjVCQkJCAA==,9,-96,35,f,2023-09-22 00:02:36.973,47693,866300000,7,0,-1171125929,4/7,125000,249,1,333333,qqqq,45101,,
45132,QjVCQkJCAA==,9,-89,54,t,2023-09-22 00:02:40.986,64935,866900000,7,0,-1171121691,4/7,125000,339,1,777777,3d3d,45102,,
45133,QjVCQkJCAA==,0,-83,54,f,2023-09-22 00:02:53.039,33603,866100000,7,0,-1171109840,4/7,125000,481,1,777777,ZmZm,45103,,
45134,QjVCQkJCAA==,5.25,-73,35,t,2023-09-22 00:02:53.05,33603,866100000,7,0,-1171109831,4/7,125000,481,1,333333,ZmZm,45104,,
45135,QjVCQkJCAA==,12.25,-59,35385,t,2023-09-22 00:46:00.336,52204,866100000,9,0,-1168522509,4/7,125000,543,1,777777,mZmZ,45105,,
45136,QjVCQkJCAA==,11.5,-99,35,f,2023-09-22 00:46:11.36,52206,866300000,9,0,-1168511071,4/7,125000,544,1,333333,mZmZ,45106,,
45137,QjVCQkJCAA==,12,-57,35188,t,2023-09-22 00:46:11.362,52206,866300000,9,0,-1168511078,4/7,125000,544,1,777777,mZmZ,45107,,
45138,QjVCQkJCAA==,11.5,-103,35,f,2023-09-22 00:46:22.376,52208,866100000,9,0,-1168500054,4/7,125000,545,1,333333,mZmZ,45108,,
45139,QjVCQkJCAA==,11.5,-60,34704,t,2023-09-22 00:46:22.377,52208,866100000,9,0,-1168500054,4/7,125000,545,1,777777,mZmZ,45109,,
45140,QjVCQkJCAA==,11.5,-82,34220,t,2023-09-22 00:46:29.923,2339,866700000,8,0,-1168492993,4/7,125000,688,1,777777,u7u7,45110,,
45141,QjVCQkJCAA==,11.25,-102,35,f,2023-09-22 00:46:33.409,52210,866300000,9,0,-1168489033,4/7,125000,546,1,333333,mZmZ,45111,,
45142,QjVCQkJCAA==,12.5,-61,34107,t,2023-09-22 00:46:33.41,52210,866300000,9,0,-1168489026,4/7,125000,546,1,777777,mZmZ,45112,,
