NsHd,999.67,1328.39,12
WL2k,1712.62,1509.06,17
x3iP,1732.35,4121.52,42
BjiT,762.71,5062.87,54
nnNB,1059.73,5127.06,68
ealc,2174.53,3199.19,27
HcKJ,1656.52,8117.47,104
MHKh,878.78,4808.51,74
5YoV,1363.16,10021.6,151
fDlo,129.07,5973.31,82
pT32,3575.96,12962.17,158
l7Y6,657.84,9971.68,81
LvmF,2471.26,14707.01,181
SScd,1811.81,14733.18,143
lrwZ,2809.14,14711.77,133
nMQk,2577.47,14735.55,149
ZRir,2092.57,14721.29,206
3rrs,1445.41,14764.08,162
LcEJ,1445.29,14775.97,201
AGvr,5.43,14768.84,206
nQrO,583.28,14821.15,171
qhhN,481.64,14783.11,199
Lx1X,7386.6,14823.53,182
ckfU,2583.62,14792.62,155
897M,1470.79,14833.05,171
3VIw,1768.94,14847.32,147
POn9,2.18,14835.43,172
NiGb,87.99,14849.7,149
VZTk,4243.65,14840.19,118
3Auu,2.81,14871.1,127
Hf7H,9.33,14861.59,146
lQAS,2542.97,14878.24,185
cKDi,973.87,14873.48,188
jpHO,1.22,14897.28,129
hv0t,2.79,14875.86,165
Y9ia,507.11,14906.82,164
CsPT,21.32,14880.62,193
lZpm,1.77,14913.96,104
veqn,5.86,14883.0,164
zA0k,4395.7,14933.5,189
ODQv,607.43,14885.38,169
ofH5,954.74,14935.88,220
kROi,20.82,14887.76,190
YOTo,4.95,14890.14,135
Hv3X,2932.28,14894.9,113
EWtZ,1066.39,14897.29,218
YJ3n,3.13,14902.04,136
pbFj,18.73,14911.58,183
rjp3,2.9,14916.34,152
Aiin,89.72,14918.72,174
yBDv,2413.1,14923.47,175
548u,3562.77,14923.48,201
ekxa,955.45,14931.11,169
Z6nJ,962.96,14923.49,173
ilYV,4.87,14928.73,113
WI6t,1.48,14928.73,138
crKI,1512.29,14906.81,165
vyWt,2581.62,14931.11,101
foAO,104.1,14852.08,178
xGfx,1090.19,14931.11,201
XVsV,1228.55,7789.43,102
br7Z,492.86,14931.12,175
1jRP,1017.05,14921.1,206
hc2A,55.35,14931.12,166
HTBw,2.02,14904.43,152
t9AD,9.05,14935.89,203
1WMe,574.28,1630.3,7
WHkU,2119.41,14828.29,181
X5wC,534.26,14790.26,204
IwQB,573.53,1135.84,0
37vk,1.5,14830.67,147
eQzP,169.1,14906.82,152
nrRr,5421.25,14906.82,157
Pw6h,1008.84,14897.27,156
ZLpS,6493.08,14923.49,157
X0s9,490.57,14859.21,164
lRRO,1434.88,14906.81,188
ac6v,1012.4,14897.27,158
mzXW,486.84,14923.48,182
IG0s,10.79,14778.37,175

