dev_id,active_time,uptime,collisions
6cYl,11.75,23.62,168
J6Nv,6.53,23.87,299
PBxU,9.41,23.62,203
FPDl,4.25,24.95,272
EQiT,5.12,25.09,261
eNoE,10.0,25.18,269
IZSC,11.77,25.48,233
wCKq,21.7,23.77,220
Kz66,7.05,25.54,232
w9wJ,4.96,25.4,290
Ecu6,14.82,25.31,183
o6yr,0.01,25.65,311
ZLfX,0.72,24.88,288
VxQd,10.17,25.43,213
pZJN,5.5,23.53,265
tUD7,9.7,23.55,177
Z5sf,4.72,23.81,284
m2HF,10.54,23.65,253
X42w,20.76,24.16,191
axm9,7.31,24.42,244
mahO,0.89,23.79,298
2Z5O,0.13,23.97,287
pItB,3.57,23.87,290
hr3C,19.28,23.7,156
B1Pc,1.61,24.28,273
lfS4,6.81,23.98,261
1YE3,17.43,24.76,270
HqkR,2.28,23.92,321
aukl,4.38,23.8,290
ZibF,2.72,24.73,243
nHJQ,1.06,24.15,275
Ng1x,9.12,24.94,241
YDb1,14.6,24.0,189
um07,8.33,23.98,235
Tw7S,13.35,24.84,162
YtnZ,2.28,24.17,283
zYey,0.83,25.01,295
I5la,12.38,24.1,207
XS8Y,5.5,23.95,274
LvxD,6.15,24.34,274
00be,3.98,23.89,243
qwqt,3.56,24.25,276
p74Q,3.18,24.86,282
iepF,3.2,24.38,266
8xg4,4.37,25.09,233
SM0B,7.8,24.13,202
QB1X,3.97,24.09,257
6cEX,8.53,24.5,227
ueAF,8.51,23.92,296
SuSl,10.48,24.89,182
76vP,6.2,24.35,262
WaMc,0.2,24.42,238
FZoP,16.33,24.4,243
ikhW,6.81,25.19,287
28rQ,0.35,24.23,279
K0gX,6.46,24.53,244
sPOv,11.24,24.15,204
90oz,6.91,24.93,235
8wPo,5.03,24.39,275
gDrf,5.5,24.45,270
KEsA,10.67,24.52,229
wQIq,3.7,25.27,298
H6XF,3.79,24.26,278
WOHX,8.49,24.6,275
2JgJ,1.32,24.37,211
trF0,5.61,25.12,211
ShjO,17.59,24.39,212
fx40,6.97,24.67,193
Hg1e,8.0,25.57,248
LceJ,4.78,24.55,275
2sRY,4.01,24.58,285
RZT1,12.98,24.71,207
Atr4,0.93,24.59,289
tacK,4.73,25.35,270
6tXT,3.11,24.5,304
QtmQ,7.86,24.72,257
eV13,11.76,24.59,228
iIQG,17.71,25.69,190
eIYH,8.9,24.75,283
aIpw,7.38,25.11,294
4aXl,10.41,24.65,237
a7pJ,4.09,25.36,287
i4dr,4.86,24.52,248
Ufoe,4.97,24.74,263
bI3j,7.42,24.65,270
oemI,0.99,24.77,256
8MWo,13.98,25.13,222
LkdJ,2.38,24.7,275
LxLD,1.02,25.41,212
97Ij,7.18,24.54,274
bWQz,11.82,24.85,228
yjf8,5.37,24.91,250
5blC,5.88,24.9,208
jvj3,13.0,25.14,280
3cFk,12.1,25.45,236
iKyn,8.22,24.71,284
D85Z,5.44,24.76,204
fPAD,19.82,25.01,186
tdMq,2.62,25.02,279
fdl4,7.26,25.24,248
vWsm,13.31,25.63,265
0E4p,1.26,24.77,265
VwBB,6.71,24.85,291
7Zez,2.51,24.99,246
xTWC,1.56,25.13,302
jzAc,9.98,25.03,240
lgpe,7.33,25.26,241
MeeY,11.27,25.7,249
Vxxo,3.02,25.11,290
HAZb,16.71,24.87,208
L98G,4.07,25.07,285
GqP7,9.98,25.17,264
QU0k,5.28,25.08,261
JuOY,5.06,25.38,237
qWdw,16.73,25.74,221
Qlcu,5.58,25.18,231
40UR,9.41,25.37,265
UuVJ,8.61,25.27,254
rb8z,10.7,25.29,255
Qmth,10.24,25.37,175
rpJf,18.87,25.55,227
wyYF,15.61,25.43,193
38aQ,8.28,25.59,268
YHBp,10.64,24.97,229
ruIz,5.71,25.47,266
OKRG,12.64,25.65,216
6O3D,13.66,25.06,277
F34N,7.45,25.22,257
xemt,21.03,25.47,201
QOSq,10.05,25.74,262
cFhS,10.41,25.21,193
arQ9,3.03,25.66,257
VFpI,1.54,25.1,277
XUhP,12.55,25.4,240
gUMD,2.02,25.5,224
N9uR,8.41,25.71,265
juXq,15.59,25.29,197
O3Jt,24.08,25.15,165
jE0Y,2.81,25.52,256
O5iT,1.19,25.6,283
oBzU,8.14,25.72,254
LyTX,6.51,25.33,226
l3GD,2.02,25.15,286
lxHR,4.93,25.53,262
g0CR,11.24,25.63,249
SIMr,4.13,24.74,261
paoZ,6.45,25.74,314
I8J6,10.74,25.36,284
rCPx,8.42,25.16,266
grFo,6.9,25.54,283
swb5,4.02,25.67,319
PGZb,11.39,25.39,275
ouFo,5.18,25.17,281
6kza,11.71,25.61,238
7eiZ,8.17,25.74,305
Wzkd,1.35,25.39,272
s0Mq,17.44,25.24,188
91fb,20.41,25.62,210
Fx5A,3.54,25.33,273
fb96,1.63,25.67,288
BQ5L,6.62,25.5,281
gXbz,5.85,25.38,282
u6rL,14.59,25.69,231
Eb8G,2.23,25.51,278
qt1C,1.01,25.41,282
MQqZ,5.12,25.69,280
z6al,11.54,25.59,234
tv6S,4.19,25.42,319
1sqD,2.93,25.74,297
0t3l,19.64,25.61,169
14gH,2.21,25.44,284
X8od,4.4,25.63,277
NfbR,4.39,25.45,298
sl3G,5.62,25.64,193
RkT7,18.99,25.46,160
yKyH,1.28,25.68,301
NIHk,3.4,25.48,309
zPYO,15.15,25.72,251
VRrk,1.55,25.51,264
Fzr5,12.36,25.52,244
iHMp,5.81,25.56,230
XRN7,6.83,25.58,232
xjCf,8.72,25.58,220
73Tu,3.07,25.6,300
KhKl,1.87,25.63,293
DTCr,2.24,25.64,297
xrN7,5.23,25.66,246
wsDk,4.28,25.67,335
y5uR,2.34,25.67,294
aR6S,12.76,25.68,213
UpBW,0.0,25.69,263
8tvA,7.24,25.69,296
OclU,1.05,25.7,292
lrfo,1.71,25.7,267
5ugR,4.25,25.71,286
HEs2,22.46,25.72,189
M25B,1.76,25.73,266
EzFI,5.16,25.73,271
s1hp,7.98,23.76,228
