GAqM,2.09,1012.64,0
uKvP,112.87,1280.63,0
fhML,10.23,1069.75,0
YYuL,5.04,1079.27,0
WPrf,129.96,1293.01,0
mxmJ,7.71,1295.39,1
fy7u,114.24,1310.15,0
L9mc,80.85,546.49,0
sfQi,93.86,1081.65,0
abeq,76.43,1091.17,0
RinN,1016.92,677.26,2
wg23,72.52,1093.55,0
Bjfb,968.26,689.15,3
ZId2,28.16,1100.69,0
yFxG,592.32,693.91,1
XGUb,45.15,705.8,0
B8SD,42.75,1103.07,0
C6Is,84.99,1112.59,0
vwMB,97.04,741.46,0
NR3M,3.43,1117.35,0
Xal6,87.6,755.74,0
FT6J,110.34,1119.73,0
qXhi,117.43,760.49,0
0i8G,76.22,1141.14,0
Ucs6,1001.45,772.38,2
WoN1,107.84,1155.42,0
xwa7,109.94,793.78,0
yMHC,149.29,1164.94,0
UhCQ,1023.8,831.84,2
nd3O,2.66,1169.7,0
BVJc,100.41,836.6,0
VzD5,44.53,1172.08,1
pvqM,87.86,1176.84,0
UiPl,607.96,848.5,1
yAXZ,125.6,1204.46,0
Eew9,511.36,853.26,1
5o8X,121.05,1317.28,0
Iskb,38.52,896.07,1
dFuU,10.08,903.21,0
nP60,84.48,910.35,0
0e1k,543.47,1329.18,1
2q0d,76.14,948.4,0
99cL,121.39,838.98,0
3Q2H,3.1,955.54,1
FXF5,2.42,1197.32,0
aBr4,15.85,962.68,0
yuHh,2.45,1223.5,0
3EVz,55.5,979.33,0
nZ1q,78.97,1329.19,0
9hag,64.47,981.71,0
89Vo,2.73,805.67,1
BqbE,499.07,984.09,1
F6De,6.61,1324.42,0
cjbZ,6.9,991.22,0
wTNq,93.14,884.18,0
IRu8,68.79,995.98,0
GJbd,103.71,941.26,0
ZQiL,142.74,1003.12,0
wT3J,20.05,1270.64,0
q5ZS,4.97,1007.88,0
q5xd,58.24,812.8,0
eiwN,2.42,1015.02,0
qOA3,491.26,1233.5,6
I7jE,82.02,1022.16,0
0k6m,114.14,960.3,0
Z6RV,102.5,1029.29,0
sG6j,78.07,817.56,0
BDVE,1.16,1031.68,0
ounD,35.8,1302.53,0
2U6D,6.89,1034.06,0
mjWd,522.47,1238.74,1
MzXp,105.09,1036.44,0
hXOt,52.73,1287.77,0
KLou,494.58,1233.5,4
B4GD,76.41,1041.2,0
mWHS,202.86,1005.5,0
Xu9N,124.37,1045.96,0
l4iS,103.72,1053.09,0
YYtl,72.15,976.95,0
KIOB,60.41,1055.47,0
obRs,100.62,1312.53,0
EU3R,1.88,1290.63,1
FYfn,3.7,1057.85,0
lnl9,1.77,696.29,1
nUUs,130.39,1062.61,0
Aq3B,82.96,1228.26,0
oucv,96.86,1064.99,0
jt3K,50.31,1300.15,0
j3pH,4.55,1067.37,0
wOcH,99.71,662.99,0
zK9U,20.84,1072.14,0
kOK6,973.41,1197.32,2
gXAu,3.75,1084.03,0
0Tg1,1083.63,563.14,2
UUKc,98.09,1086.41,0
8or1,14.79,1285.39,0
qavP,59.75,1105.45,0
wfAg,116.73,753.36,0
y2hw,81.24,1122.11,0
pjnD,1.91,879.42,0
Eo40,15.9,1126.87,0
WUmM,101.69,855.64,0
oZ78,118.37,1129.25,0
i8C5,35.83,834.22,0
jpDo,60.28,1136.39,0
fV5E,93.09,1322.04,0
abez,183.86,1145.9,0
ThvM,66.05,998.36,0
04M1,131.29,1150.66,0
BAxk,73.56,943.65,0
9TJF,3.45,1153.04,0
n1r4,480.01,1297.77,1
Q9S2,4.65,1162.56,0
dFjt,3.48,893.7,1
I80d,173.93,1167.32,0
j0wm,111.28,1326.8,0
2Nj3,92.17,1038.82,0
ilbx,81.37,1174.47,0
b6kJ,496.9,1233.51,2
n9Ar,80.26,1183.99,0
cYIo,134.25,1267.78,0
Ywij,85.36,1186.37,0
sfdR,95.57,898.46,0
SC9i,125.89,1189.22,0
G4MN,500.57,974.57,1
Q7LO,596.71,1192.08,1
ic9t,78.02,1202.09,0
d6Fm,3.03,1197.33,1
yTXL,479.1,1310.14,1
PzeT,5.56,1209.23,0
TXUB,115.23,1098.31,0
vTk5,5.44,1211.61,0
P55o,114.94,1257.79,0
VmX1,5.03,1213.99,0
wsfk,145.51,1124.49,0
nKHo,52.11,1218.74,0
daxx,65.09,1319.66,0
WDAw,1.69,1221.12,1
TNk4,92.42,1206.85,0
yuJe,97.64,1230.64,0
KySk,477.31,936.51,1
z8PQ,1472.1,1233.5,4
kxHY,149.34,1160.18,0
10hI,1.84,1235.89,1
6VVn,485.77,819.95,1
cu5M,11.12,1238.75,0
wGoe,160.75,1307.29,0
Fg9e,64.61,1243.51,0
D27V,118.63,1199.71,0
c8nM,103.7,1248.27,0
Z5h8,53.31,1225.88,0
Zhtc,2.19,1253.03,0
HYp7,122.34,1250.65,0
6cd9,52.13,1255.41,0
ytfU,482.36,1304.91,1
XV5h,4.15,1245.89,0
PAo5,91.1,1260.64,0
2JcN,95.52,891.31,0
1tvI,76.86,1263.02,0
ePQT,64.01,1283.01,0
e36O,49.58,1265.4,0
mtgW,3.77,1260.64,0
YiXW,586.83,1270.64,1
O521,205.97,1290.63,0
gD0a,3.86,1275.4,0
SQfx,2.2,1189.23,0
gBuI,1.83,1277.78,0
2DuP,85.55,1060.23,0
T9q2,568.97,1280.63,1
F1SJ,477.93,915.11,1
f7Oa,1.93,1241.13,0
tvAP,90.84,1314.91,0
mtk2,1520.06,1329.18,3
kJyc,1086.84,1329.18,2
EgkD,1023.91,1329.19,2
pAW0,76.13,841.37,0
cFBh,26.59,1148.29,0
PS1T,481.12,1181.61,3
A9L4,2.65,1138.77,0
csZb,42.66,1179.23,0
dhUm,82.79,1192.09,0
aeNs,2.29,1114.97,0
