dev_id,active_time,uptime,collisions,messages
d67c,0.01,22.62,0,189
CeKC,0.37,22.6,5,187
JQJl,0.02,22.64,0,189
lAQy,0.36,22.83,6,186
xDlL,0.64,22.71,6,187
donZ,1.85,22.78,18,174
DCCr,0.24,22.79,11,179
qIMe,0.06,22.76,4,188
4FQu,1.22,22.77,1,191
ZXfI,0.05,22.79,3,187
4i6f,1.04,22.85,2,190
HW9h,0.11,22.84,3,189
BaJH,0.55,22.76,3,189
4UgF,2.05,22.72,2,191
Otno,0.42,22.78,8,182
GQtg,0.07,22.86,3,188
pGfX,0.25,23.1,7,186
Y0GO,0.32,22.91,9,182
fAv5,0.1,23.02,1,191
XobP,0.63,22.85,8,182
d8gC,0.08,22.97,2,190
Etvg,2.6,22.88,8,189
6xvv,0.01,22.87,0,191
7bfe,0.02,23.12,1,192
9bIR,0.18,22.94,4,189
n2eL,0.54,23.04,10,182
W9Jy,0.16,22.9,3,188
M6Mr,0.43,23.21,4,189
sow7,0.38,22.89,8,189
B6Lp,0.06,22.96,1,190
mfCh,0.46,23.04,9,183
Ppb5,0.44,23.24,7,187
t1ir,0.0,23.05,0,192
OmKR,1.96,22.92,11,182
dGjc,1.04,23.27,1,195
tmZ5,0.08,22.65,2,189
TWFP,2.12,22.9,3,192
RyNa,0.1,22.99,0,192
CIZa,0.03,23.1,0,193
rdBy,1.02,23.08,6,196
oLKW,0.37,22.95,5,190
pAEx,0.73,23.3,13,181
gtOv,0.01,22.98,1,191
LyPP,0.09,23.03,1,191
t67T,0.05,22.75,1,189
YhNe,0.11,23.11,5,192
EINI,0.05,22.96,3,188
8Jw2,1.07,23.14,4,191
GOYF,0.54,23.05,4,188
CIV5,0.34,23.0,2,190
jFLq,0.05,22.84,0,190
5J5y,2.21,23.17,8,193
gOKH,0.21,22.97,0,191
VM2e,0.05,23.15,0,193
BciX,0.15,23.11,2,191
NJkx,1.25,22.88,4,189
UaIp,0.05,23.19,3,192
AuCR,0.0,23.06,0,192
yK6V,2.03,23.16,4,193
oXBF,0.22,23.12,2,191
zIrt,0.07,23.03,3,193
drR6,0.37,22.91,6,185
5Igc,0.4,23.22,2,192
kQAA,0.01,23.09,2,190
0Rl6,0.0,23.26,0,194
TP8O,0.06,23.16,4,189
3KQz,1.68,23.06,10,184
zsgT,2.27,23.24,11,193
1SpY,0.62,22.93,6,185
vBGO,0.05,23.28,2,192
bL52,2.39,23.14,5,192
hwfO,0.0,23.2,3,196
K3H8,2.94,23.15,19,180
kZ0D,0.06,23.24,4,192
VMGR,3.71,23.09,11,189
Coc5,0.04,23.3,2,194
7sxE,0.02,23.17,2,193
6E3m,0.13,23.22,5,189
G5yk,0.03,23.2,1,194
Q34O,0.01,23.18,0,193
GVHs,0.01,23.18,2,191
fcVB,0.41,23.27,4,190
LPcK,1.1,23.31,2,196
uGCV,0.01,23.23,0,194
gfq2,0.36,23.21,3,190
NuYt,0.0,23.2,2,193
7wPG,0.01,23.32,5,195
F9UP,1.01,23.24,1,195
DzML,0.1,23.23,2,194
wpmv,0.6,23.25,9,185
OFeD,3.28,23.32,16,183
DPPo,0.11,23.29,5,191
Yfz9,0.78,23.29,7,189
zRMn,0.01,23.31,2,192
VUFE,0.05,22.73,0,189
GuTb,0.12,22.68,1,188
osA8,1.05,23.32,4,196
5Sl2,0.2,23.28,3,191
rHx7,1.06,23.31,6,194
Dnhl,1.09,23.31,4,194
