j6eI,0.77,24.94,11
CFDa,0.11,25.02,7
ojp7,0.01,25.09,0
Qihc,4.42,25.16,21
pW7M,0.01,25.04,0
iOK8,0.0,25.23,0
9AlE,0.31,25.72,5
c9Xk,0.4,25.52,8
9pll,5.19,25.76,12
Y0EB,0.01,25.71,0
KlSz,0.16,25.59,6
jiIo,0.12,25.66,9
PHDA,0.01,25.68,1
DY9f,0.45,25.74,12
AIj7,0.1,25.58,3
sFSK,0.3,24.99,3
0tGn,1.09,25.65,7
bG4K,0.01,25.7,1
aK6J,0.04,25.65,5
nn66,0.03,25.62,5
AWlH,1.08,25.66,10
g8Cg,0.19,25.48,5
9eTE,0.33,25.2,4
GO2D,1.39,25.17,4
6Qsl,0.36,25.21,9
B6v5,1.91,25.76,7
96VU,0.42,25.23,4
8XwI,0.1,25.25,2
W4AS,0.04,25.3,1
MnU3,0.09,25.24,3
o6Hj,0.84,25.29,4
WtAl,0.01,25.4,3
hK3b,0.28,25.3,3
r6y8,0.0,25.26,1
W9xS,0.07,25.39,2
L6YW,0.16,25.43,1
NPuJ,0.44,25.34,6
IMZE,0.94,25.28,9
8K3K,0.28,25.41,1
FzQn,0.02,25.54,2
2h25,0.18,25.59,7
E2cD,0.1,25.29,4
C7cC,0.04,25.39,2
xhil,0.06,25.32,1
y9Ch,0.35,25.42,5
zcAF,0.01,25.63,1
cnKJ,1.0,25.49,11
jLn5,0.15,25.7,5
Oikg,0.2,25.36,6
cs1r,0.09,25.4,2
FFwK,0.0,25.33,2
vmmR,0.01,25.44,1
BzNA,0.0,25.73,0
iTGU,0.02,25.5,2
t3w0,0.0,25.74,2
OqbH,1.28,25.37,8
w8zS,0.08,25.42,5
bnSu,0.06,25.38,2
Dazr,1.15,25.53,2
5B9q,0.21,25.67,5
VGHy,0.0,25.75,0
FEOW,0.41,25.41,10
J836,0.0,25.44,0
rb8P,0.06,25.46,3
NBiG,0.35,25.56,3
zP04,0.17,25.69,6
n0Gb,3.05,25.76,11
d6J1,0.04,25.53,6
ACG7,0.17,25.5,5
wrne,0.0,25.47,1
tTo0,0.0,25.58,0
QQ5C,4.36,25.76,11
g10F,2.12,25.55,7
3s1T,0.0,25.52,0
hdbn,3.01,25.61,16
A29D,4.12,25.65,8
NFw6,0.03,25.68,4
jQ7Z,0.01,25.57,1
oBLw,1.13,25.54,5
7aYk,0.06,25.67,4
hYiS,0.27,25.65,2
X8Kn,0.09,25.6,6
lnXJ,1.09,25.27,16
bTFy,0.07,25.55,3
Hh7f,0.18,25.69,4
BNrD,1.54,25.72,12
QQ9W,0.4,25.64,11
usMx,0.15,25.56,5
vTYy,3.2,25.72,7
EZ8c,0.07,25.01,5
79S3,0.01,25.72,1
jPTt,0.09,25.73,8
XPqS,0.04,25.51,3
fROn,0.02,25.64,2
m9HG,0.06,25.14,1
OXro,0.01,25.76,3
3IZG,0.06,25.75,2
7lvb,0.0,25.6,0
QymN,0.02,25.57,1
o32G,0.14,25.43,4
