L5yT,0.07,28.2,8
RjDF,0.04,28.21,0
NC6d,0.05,28.31,1
fEni,0.04,28.24,2
49JA,0.04,28.26,8
8v2f,0.07,28.28,6
1H4D,0.04,29.03,5
qujl,0.06,28.86,3
RMrD,0.03,29.57,4
haot,0.04,29.18,3
jQUH,0.03,28.6,3
rerN,0.26,30.42,7
COXf,0.02,29.65,7
tjii,0.01,29.6,3
gn7T,0.01,30.07,4
hmHB,0.01,29.74,5
7QGZ,0.05,29.01,6
JOCn,0.0,29.93,3
EFFr,1.17,30.37,6
BUzX,0.03,29.59,4
MkRn,0.07,28.47,9
lV1U,0.03,29.66,2
oGeh,0.09,28.26,1
ViD1,0.07,28.29,11
bpw5,0.02,30.12,7
803f,0.01,30.36,0
GtjM,0.07,28.49,2
AXqF,0.01,30.09,5
HS6m,0.02,29.86,4
MKj9,0.0,29.82,5
gldp,0.05,28.98,3
wjoV,0.04,28.22,0
oVtg,0.0,30.38,0
YBdb,0.06,28.71,6
CAJZ,0.02,29.13,0
jYTt,6.62,30.4,8
ualX,0.06,28.61,0
4Nbu,0.06,28.63,9
ZhJd,0.01,29.44,5
shbU,0.05,29.14,6
GWHw,0.07,28.3,9
Rcyg,0.06,28.37,0
IQR2,0.02,29.96,7
2cHF,0.04,29.07,2
LfWK,0.06,28.68,6
Upki,0.03,28.45,5
I4t0,0.01,29.28,7
sCex,0.07,28.87,7
oAGL,0.06,28.41,5
Fb0b,0.07,28.37,2
vkzc,0.02,29.98,4
ULIi,0.02,29.31,1
lYm3,0.05,28.52,5
1A7M,0.05,28.78,11
dwaL,0.01,29.39,9
8Nrt,0.03,29.12,4
mgAN,0.07,28.42,6
1RxG,0.06,28.42,2
GIf7,0.27,30.05,2
weWY,0.01,29.35,0
QM90,0.05,28.75,3
jWjU,0.05,28.91,3
llF5,0.02,29.4,7
e0cN,0.01,30.34,1
b7E8,4.64,30.2,6
tQaa,0.06,28.43,4
Hi6K,0.04,28.57,12
vEE5,1.17,29.45,7
H3gh,0.05,29.21,2
b425,0.05,29.17,6
5VPz,0.03,29.91,6
HfOR,0.01,29.46,4
vPjF,0.0,30.21,5
kOgc,0.03,28.69,4
aN09,0.08,28.5,4
Dzqr,0.04,29.54,5
ZkLa,0.04,29.32,2
0FPA,0.01,29.74,7
PirC,0.04,29.48,0
Vr7o,0.03,29.19,0
6sSn,0.0,30.24,13
Q19a,0.07,28.23,6
iAtq,0.03,28.77,2
tOZE,0.06,28.51,5
fiX5,0.01,29.79,1
2MrQ,0.02,29.45,3
VzKb,0.01,29.53,6
HsnL,0.02,29.33,1
VOBQ,0.62,30.39,3
o2ai,0.02,30.23,3
3mvt,0.04,29.05,9
bqYs,0.02,28.59,3
twBq,0.02,29.99,2
QkuL,0.05,29.59,5
z19c,0.01,29.57,0
I62C,0.04,30.06,0
QtmV,0.04,29.18,5
n3Qj,0.06,28.6,0
Po1l,0.01,29.72,2
wMLP,0.01,29.61,7
UleS,0.03,28.79,5
KnmK,0.02,29.31,3
z14n,0.55,29.83,4
IaEH,0.0,30.27,1
zu0R,0.01,29.98,5
RqYZ,0.03,29.87,2
zumY,0.03,29.7,3
tOMc,0.06,28.82,4
6ueR,0.02,29.95,2
p54u,0.23,30.33,3
I59z,0.01,30.1,12
uekn,0.0,30.13,5
NXhQ,0.0,29.86,3
twwj,0.05,28.97,1
NOuk,0.0,30.0,5
3qK6,0.01,30.36,2
fUtb,0.0,30.29,1
ulv8,0.03,30.18,0
Xyuu,0.01,30.13,7
KLf0,0.05,29.02,1
54Uo,0.15,30.03,1
E95J,0.0,30.42,1
Kj3C,1.05,30.32,1
krq2,0.02,30.24,2
Ie7m,0.95,30.2,6
AKjI,0.02,29.02,5
icj5,0.01,30.16,0
eksU,1.07,30.33,3
dC1h,0.01,30.25,2
ZpKm,0.01,30.23,2
80Dl,0.42,30.22,5
emQN,0.05,29.04,7
xvVS,1.18,30.39,5
iQb6,1.12,30.3,5
xJ1M,2.27,30.33,4
gnDN,3.18,30.42,8
twjS,0.04,29.11,4
FwLH,2.7,30.32,7
VtLc,0.22,30.32,1
FPSm,0.06,30.33,2
DUHS,0.03,29.17,4
XiaC,0.01,30.32,6
D4GT,0.39,30.35,7
Qikp,0.72,30.35,6
pIA5,0.03,29.2,3
MdOK,1.52,30.36,8
UJFg,0.0,30.38,2
qzFJ,0.06,29.27,1
5DDw,2.02,30.36,2
dP8l,2.13,30.4,9
0IyN,0.02,29.34,2
jfGE,0.01,30.37,0
B4fa,0.05,29.6,2
s362,1.69,30.41,7
agnN,0.01,29.76,6
5XAT,0.01,29.78,1
lY45,0.04,28.32,7
m5HE,0.03,29.84,0
AI9M,0.05,28.41,0
aYgK,0.02,29.9,7
QVuh,0.01,30.07,8
wQa4,1.51,30.31,7
u6Dn,0.06,28.64,7
YtqG,0.0,30.4,2
aCqK,0.57,30.31,3
jWAB,0.13,30.28,4
tNRr,0.01,30.27,5
ji7G,0.01,30.08,6
0qrk,0.01,30.26,12
Q1Ty,0.04,30.21,4
s69z,0.01,30.3,5
gpAg,1.17,30.37,6
6HgX,0.26,30.19,1
ujgM,0.02,29.7,2
kZAQ,0.03,29.64,7
ZpuJ,0.02,29.11,2
S8uR,0.18,30.19,2
sC9r,0.02,30.41,1
lBQb,3.31,30.18,11
0rtR,0.05,28.73,1
pF5e,0.01,30.15,2
1R8l,0.02,30.11,3
39wP,0.04,29.26,13
yt4V,0.01,29.95,6
VMZe,0.03,28.44,7
93cG,0.01,30.1,4
Y48D,0.05,28.99,6
pPaZ,1.86,30.28,11
wAuh,0.0,30.15,6
qbfW,0.02,29.96,4
bSbL,0.05,28.95,3
D60i,0.0,29.85,3
8Q1p,0.01,30.08,3
Wtmo,0.0,29.94,4
Khm7,0.03,30.29,3
2Ezm,0.02,29.73,7
QEtF,0.04,29.68,1
IIKg,0.03,29.83,4
t1Az,4.28,30.37,7
i1Pg,0.01,30.12,6
