dev_id,active_time,uptime,collisions
wjoV,0.15,26.28,2
RjDF,0.33,26.24,1
oGeh,0.05,26.31,3
lY45,0.02,26.37,2
Fb0b,0.05,26.4,5
YtqG,0.02,28.64,0
8Q1p,5.07,28.28,22
VOBQ,0.65,28.63,20
Q19a,0.15,26.29,10
qzFJ,0.23,27.23,5
ZpKm,0.29,28.46,18
E95J,1.08,28.65,12
ViD1,1.27,26.32,11
EFFr,0.06,28.61,12
krq2,0.14,28.46,12
twjS,0.19,26.99,6
FwLH,0.0,28.55,1
L5yT,0.08,26.23,0
eksU,0.06,28.57,4
tQaa,1.31,26.52,12
oAGL,0.14,26.45,7
D4GT,1.28,28.59,10
AI9M,1.09,26.44,10
VMZe,2.4,26.53,13
tOZE,0.09,26.57,6
fEni,0.15,26.3,1
bqYs,0.38,26.65,9
Ie7m,0.0,28.43,1
n3Qj,0.09,26.66,2
GtjM,0.04,26.55,0
p54u,0.42,28.56,10
49JA,2.13,26.31,22
aN09,1.35,26.56,13
4Nbu,0.51,26.67,11
jQUH,0.11,26.66,4
GWHw,0.02,26.33,2
XiaC,0.02,28.55,0
8v2f,0.33,26.32,2
MkRn,1.82,26.54,12
NC6d,0.01,26.36,3
LfWK,0.11,26.7,0
twwj,0.66,26.84,5
ualX,0.12,26.67,12
shbU,0.18,27.05,9
mgAN,0.27,26.48,7
Rcyg,1.34,26.37,8
YBdb,2.68,26.72,26
Hi6K,0.06,26.62,1
QM90,1.3,26.73,15
u6Dn,0.01,26.7,2
KLf0,0.05,26.89,1
KnmK,0.15,27.28,1
Upki,0.54,26.53,4
1RxG,0.05,26.47,2
0rtR,0.09,26.72,1
tOMc,0.06,26.78,4
AKjI,0.16,26.89,10
1H4D,1.48,26.91,12
0IyN,0.0,27.36,1
bSbL,0.69,26.82,10
iAtq,0.19,26.76,5
lYm3,2.42,26.59,7
sCex,0.43,26.81,4
7QGZ,0.42,26.88,8
Vr7o,0.81,27.17,18
3mvt,0.71,26.98,7
QkuL,0.06,27.78,5
8Nrt,0.05,27.03,9
1A7M,0.03,26.77,6
kOgc,2.82,26.71,15
emQN,0.09,26.92,7
gldp,1.3,26.86,11
HsnL,0.03,27.32,5
CAJZ,0.85,27.04,14
QEtF,2.46,27.89,12
pIA5,0.16,27.18,6
qujl,0.07,26.8,8
UleS,0.01,26.77,3
DUHS,0.36,27.09,3
Y48D,0.32,26.87,6
VzKb,0.24,27.68,7
vEE5,0.0,27.55,0
ZhJd,0.31,27.52,11
D60i,0.07,28.07,9
2cHF,2.09,26.98,8
jWjU,1.63,26.81,19
haot,0.42,27.15,11
lV1U,0.44,27.88,6
BUzX,0.01,27.74,0
hmHB,0.05,27.99,8
Dzqr,0.0,27.69,3
IQR2,0.95,28.16,22
b425,0.05,27.1,4
ZpuJ,0.01,27.01,6
I4t0,0.97,27.26,3
Po1l,0.01,27.96,6
wMLP,0.88,27.84,8
fiX5,0.25,28.01,5
54Uo,0.06,28.22,11
qbfW,2.55,28.19,11
H3gh,0.1,27.18,6
QtmV,0.29,27.16,7
ULIi,0.04,27.28,14
5XAT,0.68,28.01,8
0FPA,0.07,27.98,3
NXhQ,1.69,28.09,9
ji7G,0.1,28.28,6
QVuh,6.29,28.27,30
39wP,0.0,27.21,1
weWY,1.33,27.36,11
PirC,0.25,27.67,8
HS6m,1.93,28.07,14
agnN,1.2,27.99,7
I59z,0.82,28.31,6
93cG,1.33,28.31,11
ZkLa,0.07,27.3,1
gn7T,0.2,28.27,7
llF5,0.11,27.49,12
6ueR,0.06,28.15,8
JOCn,0.01,28.13,2
IIKg,0.03,28.03,5
wAuh,0.24,28.35,8
1R8l,0.08,28.32,5
Xyuu,0.02,28.34,4
dwaL,0.48,27.39,3
2MrQ,0.13,27.54,7
uekn,0.01,28.34,11
vkzc,2.0,28.21,8
z14n,1.97,28.03,15
b7E8,0.0,28.42,0
pF5e,1.06,28.36,8
B4fa,0.02,27.81,4
80Dl,0.1,28.45,9
RMrD,0.01,27.73,8
6HgX,0.25,28.4,12
NOuk,0.05,28.22,3
m5HE,0.03,28.06,2
vPjF,0.02,28.44,3
COXf,0.89,27.86,17
o2ai,0.0,28.45,2
tjii,0.32,27.82,5
iQb6,0.72,28.52,15
I62C,0.23,28.25,6
jWAB,0.5,28.5,9
5VPz,0.1,28.11,3
dC1h,0.08,28.48,7
zumY,0.03,27.93,5
kZAQ,0.04,27.85,9
6sSn,0.09,28.47,12
aCqK,3.53,28.53,9
i1Pg,0.01,28.33,1
Khm7,1.12,28.51,6
AXqF,0.14,28.3,7
xJ1M,0.12,28.56,1
2Ezm,0.01,27.96,4
ujgM,0.04,27.95,2
IaEH,0.01,28.5,12
VtLc,0.05,28.54,5
ulv8,2.1,28.39,8
bpw5,0.0,28.33,3
Qikp,0.04,28.58,1
RqYZ,0.38,28.1,16
MKj9,0.36,28.02,7
wQa4,0.02,28.54,3
S8uR,0.0,28.39,2
Kj3C,0.05,28.55,11
icj5,0.16,28.38,7
rerN,1.17,28.65,7
aYgK,0.03,28.1,12
Wtmo,0.03,28.14,3
zu0R,0.3,28.19,12
FPSm,0.06,28.57,6
0qrk,0.04,28.48,0
t1Az,4.27,28.61,19
tNRr,1.09,28.49,9
z19c,0.13,27.71,0
lBQb,0.37,28.38,7
yt4V,0.01,28.15,1
e0cN,0.12,28.58,3
fUtb,1.21,28.52,8
sC9r,0.08,28.65,7
pPaZ,1.1,28.51,19
Q1Ty,0.39,28.44,9
jfGE,3.2,28.61,8
twBq,0.15,28.21,0
s69z,1.08,28.53,6
MdOK,0.09,28.6,10
803f,4.56,28.61,20
GIf7,0.03,28.23,7
UJFg,0.0,28.62,2
3qK6,0.01,28.6,0
jYTt,0.03,28.64,4
oVtg,0.01,28.62,3
dP8l,4.11,28.65,12
HfOR,0.67,27.59,17
xvVS,0.17,28.63,6
s362,1.09,28.65,9
5DDw,2.22,28.61,19
gpAg,0.0,28.61,5
gnDN,3.42,28.65,15
