dev_id,active_time,uptime,collisions,messages
7Pic,0.29,25.95,6,210
ZTyA,0.1,26.02,0,217
icM0,0.0,26.28,0,219
Yfkr,1.2,26.15,6,214
SrYp,0.55,26.19,9,209
VE4N,2.2,26.17,3,219
o12l,0.2,26.32,3,216
LY7D,2.05,26.52,3,224
Qap0,3.27,26.5,5,222
Wkaa,0.14,26.01,1,216
wJUz,1.6,26.06,10,209
01fU,0.31,26.5,5,216
oMiU,1.19,26.33,6,215
ONJD,1.24,26.52,9,218
lGqv,0.01,26.49,0,221
6BHV,0.71,26.52,14,207
nSzI,0.02,26.48,1,220
3wpM,1.93,26.03,20,199
QHAR,0.13,26.25,2,217
8nyQ,0.27,25.98,3,213
IZ9M,0.01,25.97,0,216
aDVH,1.18,25.95,11,207
2s2A,1.61,26.29,9,214
UjHn,0.03,26.08,3,216
0eEs,0.49,26.34,11,208
Zyou,0.06,26.16,1,217
HpcI,1.19,26.09,4,215
fLcW,0.04,26.07,3,214
wATG,0.16,26.07,6,213
En0f,0.25,26.51,4,217
EAkn,0.18,26.03,2,215
UDoQ,0.11,26.45,5,215
qvUe,0.15,26.4,5,215
FCgN,0.29,26.39,10,210
kaui,0.11,26.21,4,214
wAs9,0.43,26.41,10,212
g9qP,0.89,26.05,6,211
6pBQ,0.03,26.37,2,218
wC2r,0.0,26.23,0,219
wFyV,1.09,26.42,2,220
qJhV,0.01,26.21,0,218
dwB6,0.53,26.36,8,212
Lukr,1.8,26.47,10,213
8gKr,0.45,26.23,6,213
J6Hs,0.33,26.42,11,209
Z93a,0.06,26.36,1,219
3eyd,5.27,26.47,9,222
ovDW,2.29,26.27,10,215
3cDO,0.54,26.43,5,215
3dup,0.0,26.34,0,219
TA6X,1.02,26.3,2,221
gdS0,0.13,26.35,3,217
6sZ1,0.13,26.43,2,218
LrHI,1.51,26.2,13,207
U9TE,1.6,26.19,5,215
XIJg,0.19,26.41,5,217
BqyV,0.01,26.37,1,219
IxFU,0.26,26.44,8,212
HFaO,0.34,26.22,4,214
TTRq,0.04,26.18,0,218
iIir,0.58,26.38,7,215
pLNr,0.52,26.44,8,214
tPtI,0.11,26.24,3,216
aSeu,1.17,26.18,2,218
5JTe,0.14,26.45,0,220
Ci5g,0.12,26.39,2,220
71cF,0.1,26.25,2,217
Wbo3,2.28,26.14,8,214
e3MT,1.23,26.46,4,218
AorZ,0.31,26.41,2,218
aW5j,0.01,26.26,1,218
HluY,0.41,26.13,5,213
LKjL,1.09,26.47,3,220
H0y5,0.18,26.5,0,221
1zkp,0.11,26.26,4,215
ksiZ,0.11,26.13,7,211
4S0y,0.0,26.47,0,221
Jppo,1.08,26.52,4,219
DVzO,1.19,26.28,4,217
5C6y,0.13,26.11,0,218
hVBI,2.3,26.47,9,216
T4FA,0.02,26.41,1,219
nQ5i,2.26,26.3,7,216
2XLX,0.11,26.11,3,215
KsGK,0.02,26.48,1,220
RxGB,0.06,26.17,0,218
Z3Ry,1.1,26.31,2,219
ReDA,1.64,26.51,11,212
DXEZ,0.02,26.08,0,217
n1cH,1.14,26.52,5,218
oqrD,1.06,26.06,13,206
oQLG,2.28,26.31,8,215
hvBt,0.31,26.04,6,213
wRd5,1.03,26.52,8,213
0XJI,0.04,26.5,2,219
Y42L,0.54,26.38,8,212
NkD5,1.15,26.32,3,218
oMkY,1.27,26.42,10,212
isgw,0.18,26.35,7,213
IIQo,0.02,26.42,2,218
