dev_id,active_time,uptime,collisions,messages
jLn5,1.15,24.99,2,208
VGHy,1.99,25.0,10,204
nn66,0.36,24.98,4,204
g10F,0.02,25.06,0,209
FEOW,0.02,25.08,3,212
xhil,0.17,25.05,2,207
FFwK,0.0,25.62,0,214
6Qsl,0.0,25.3,0,211
oBLw,1.5,25.56,5,210
X8Kn,0.12,25.36,3,212
usMx,0.52,25.42,5,207
tTo0,0.2,25.18,3,209
8K3K,0.04,25.02,1,209
lnXJ,1.24,25.41,3,211
3IZG,2.1,25.5,6,213
WtAl,0.01,25.51,2,215
Qihc,1.47,25.63,9,209
hdbn,2.95,25.19,12,200
QymN,0.26,25.34,1,210
J836,1.88,25.6,8,205
n0Gb,0.34,25.52,6,207
7lvb,0.4,25.19,8,204
iOK8,1.08,25.64,3,213
cnKJ,0.32,25.59,3,214
t3w0,0.87,25.64,13,203
zcAF,0.07,25.12,6,205
GO2D,0.28,25.09,5,206
QQ9W,0.07,25.1,2,207
5B9q,2.55,25.17,7,211
A29D,1.43,25.44,8,210
hK3b,0.09,25.43,5,209
o32G,1.42,25.2,5,207
iTGU,0.12,25.11,1,208
NFw6,0.91,25.07,8,205
ojp7,0.06,25.07,0,209
OXro,0.24,25.36,5,208
QQ5C,0.21,25.56,5,214
cs1r,0.01,25.53,3,210
79S3,0.03,25.21,3,207
BNrD,0.39,25.26,2,209
jiIo,0.06,25.15,1,209
Dazr,0.05,25.41,3,209
ACG7,1.45,25.08,4,207
W9xS,0.37,25.46,4,208
fROn,1.7,25.61,11,202
XPqS,1.64,25.35,10,207
C7cC,0.0,25.23,2,212
Y0EB,0.07,25.24,1,209
8XwI,0.02,25.4,0,212
Oikg,0.52,25.23,5,205
B6v5,0.15,25.52,2,211
3s1T,0.11,25.45,5,207
DY9f,0.26,25.31,6,205
bG4K,0.03,25.28,3,208
2h25,0.41,25.24,6,206
9AlE,0.0,25.52,1,214
CFDa,3.98,25.32,16,204
y9Ch,0.03,25.48,0,212
w8zS,0.0,25.29,0,211
bTFy,0.01,25.32,5,212
7aYk,1.16,25.27,2,213
bnSu,1.14,25.54,15,204
r6y8,2.1,25.35,4,212
W4AS,1.02,25.51,4,209
9eTE,0.07,25.5,4,209
m9HG,0.25,25.38,3,209
FzQn,0.03,25.53,5,210
AWlH,1.06,25.52,4,213
pW7M,1.12,25.53,6,209
0tGn,0.0,25.46,3,213
AIj7,0.02,25.54,1,212
NBiG,0.02,25.54,2,211
E2cD,0.5,25.47,7,205
g8Cg,0.15,25.56,8,209
vTYy,0.0,25.54,2,215
wrne,0.01,25.59,0,213
vmmR,1.08,25.31,4,209
o6Hj,3.08,25.56,7,218
BzNA,2.1,25.47,5,212
96VU,0.01,25.63,0,214
Hh7f,0.23,24.99,1,207
jQ7Z,0.04,25.6,1,212
9pll,0.28,25.6,6,207
c9Xk,0.05,25.48,2,210
d6J1,1.87,25.6,10,207
jPTt,0.05,25.49,3,209
IMZE,0.43,25.62,3,210
sFSK,0.07,25.45,2,210
EZ8c,0.02,25.2,3,213
zP04,0.23,25.37,4,207
j6eI,2.34,25.64,10,210
NPuJ,0.52,25.56,5,212
MnU3,1.33,25.57,5,210
aK6J,0.01,25.01,1,207
OqbH,0.01,25.57,0,213
PHDA,0.05,25.14,1,209
L6YW,0.01,25.02,1,207
KlSz,0.06,25.3,0,211
rb8P,0.15,25.58,1,212
hYiS,3.96,25.44,14,202
