dev_id,active_time,uptime,collisions,messages
2Ezm,0.18,24.46,4,200
aYgK,1.29,24.63,19,186
0FPA,1.57,24.46,6,200
IQR2,0.15,24.67,2,204
5XAT,0.03,24.52,2,204
agnN,0.59,24.48,7,197
FwLH,0.07,25.06,1,208
wQa4,0.16,25.04,2,207
gn7T,0.25,24.77,1,205
I62C,0.43,24.76,11,195
GIf7,0.01,24.72,1,205
S8uR,0.01,24.9,1,207
8Q1p,0.3,24.77,3,203
fiX5,0.0,24.52,0,204
JOCn,1.4,24.64,5,202
z14n,1.23,24.55,4,203
fUtb,2.19,25.02,7,206
6ueR,0.15,24.65,1,204
aCqK,0.01,25.04,0,209
zu0R,0.11,24.68,1,205
6HgX,3.25,24.91,10,202
s69z,1.23,25.03,6,211
pF5e,1.39,24.88,3,206
6sSn,0.63,24.97,5,203
Kj3C,0.0,25.06,0,209
Khm7,0.02,25.02,0,208
wAuh,0.0,24.88,1,208
VOBQ,0.0,25.12,3,212
dC1h,0.01,24.98,0,208
XiaC,0.09,25.07,3,206
pPaZ,0.16,25.01,1,207
IaEH,1.53,25.0,7,205
0qrk,0.91,24.98,11,197
xJ1M,0.0,25.07,0,209
tNRr,0.01,25.0,6,210
jWAB,1.47,25.01,7,207
krq2,0.04,24.97,1,207
iQb6,0.03,25.03,4,205
e0cN,2.35,25.07,6,209
o2ai,0.01,24.95,10,218
eksU,4.49,25.07,11,210
p54u,2.06,25.07,5,209
Qikp,0.74,25.07,3,206
vPjF,0.11,24.93,1,207
803f,0.06,25.1,2,207
FPSm,2.68,25.07,10,203
D4GT,0.62,25.08,7,202
Ie7m,0.33,24.92,6,202
UJFg,0.01,25.12,3,210
b7E8,2.53,24.92,7,205
EFFr,0.02,25.11,0,209
YtqG,1.2,25.13,2,209
icj5,0.06,24.89,5,202
jfGE,1.59,25.11,8,209
uekn,0.8,24.85,13,194
oVtg,0.01,25.12,2,209
bpw5,0.2,24.81,3,204
xvVS,0.31,25.12,6,209
qbfW,0.53,24.68,5,203
93cG,0.48,24.79,3,204
jYTt,0.48,25.13,7,204
AXqF,0.15,24.79,1,206
s362,1.46,25.14,11,203
Wtmo,0.04,24.65,2,207
QVuh,0.61,24.76,7,201
gpAg,0.17,25.11,7,202
lBQb,0.47,24.89,6,201
NOuk,2.15,24.71,3,207
54Uo,2.01,24.72,6,202
1R8l,0.1,24.8,4,209
5VPz,0.22,24.64,5,206
sC9r,2.67,25.15,10,208
yt4V,0.09,24.66,7,205
Q1Ty,0.09,24.93,1,207
rerN,1.64,25.15,6,206
RqYZ,0.19,24.61,2,203
vkzc,0.47,24.69,6,200
E95J,1.04,25.15,2,210
NXhQ,0.26,24.6,11,194
VtLc,1.63,25.05,5,206
twBq,0.03,24.69,0,206
gnDN,3.16,25.15,16,200
m5HE,0.28,24.56,4,201
MdOK,0.12,25.09,2,207
I59z,0.31,24.8,4,203
dP8l,1.09,25.14,4,207
3qK6,0.08,25.08,3,206
i1Pg,0.6,24.81,3,204
t1Az,0.15,25.11,1,208
5DDw,0.11,25.1,1,208
Xyuu,1.47,24.83,9,200
HS6m,1.75,24.59,8,201
80Dl,0.12,24.95,2,206
ZpKm,0.31,24.96,1,207
ji7G,0.07,24.78,0,207
MKj9,0.09,24.53,2,204
hmHB,2.3,24.47,16,190
IIKg,1.17,24.54,6,207
D60i,0.17,24.58,2,203
ulv8,0.28,24.9,5,203
