dev_id,active_time,uptime,collisions,messages
ZibF,1.37,22.6,6,188
lfS4,0.0,25.37,8,217
6tXT,0.06,25.13,7,212
F34N,2.68,23.12,15,188
fPAD,1.67,22.57,2,188
wyYF,1.06,22.54,8,180
DTCr,0.05,22.58,2,190
QtmQ,0.08,22.8,6,194
Ecu6,0.05,22.64,2,190
rCPx,0.11,22.67,3,192
yjf8,1.86,22.76,16,185
8xg4,0.12,22.64,4,192
o6yr,0.56,22.91,6,185
aIpw,0.06,23.04,7,197
gDrf,0.18,22.62,3,191
WaMc,1.98,23.82,6,202
Eb8G,0.3,22.7,3,190
LvxD,2.15,23.01,15,187
73Tu,0.12,22.85,2,190
xemt,0.73,22.93,8,193
qWdw,0.03,23.15,3,196
6kza,3.22,22.63,18,198
Ng1x,1.16,23.92,2,199
X42w,0.52,22.73,6,187
OKRG,0.23,23.1,10,198
yKyH,1.7,22.96,4,191
fdl4,0.82,22.92,4,189
tv6S,0.03,23.6,6,202
8tvA,0.24,22.86,4,192
97Ij,0.11,22.74,2,191
M25B,1.61,23.18,4,191
QB1X,0.14,22.97,1,192
ueAF,1.2,23.63,5,202
u6rL,0.23,22.84,2,192
4aXl,0.11,23.24,9,200
6O3D,0.98,23.05,11,187
MQqZ,2.52,23.75,14,190
aR6S,3.79,24.23,8,202
LxLD,1.7,22.97,7,188
LyTX,0.05,23.37,3,196
jzAc,2.58,23.2,5,192
sPOv,0.34,23.09,9,201
O5iT,5.79,24.18,26,210
iKyn,0.52,23.08,4,188
jE0Y,0.03,23.49,3,198
pZJN,0.78,23.22,9,190
paoZ,0.33,23.11,4,188
a7pJ,0.48,24.2,4,198
SM0B,0.11,24.3,8,210
EzFI,0.65,23.14,10,187
gUMD,0.04,23.76,2,200
UuVJ,0.03,23.54,0,196
Wzkd,0.15,23.25,1,195
GqP7,0.05,24.23,0,202
38aQ,5.45,24.63,10,207
p74Q,0.18,23.95,1,198
iHMp,1.0,23.35,10,190
lrfo,0.09,23.67,6,199
VxQd,0.05,23.26,1,193
ShjO,2.33,24.46,13,199
PBxU,1.73,24.05,8,200
00be,0.13,23.41,4,197
bWQz,0.17,23.73,8,205
l3GD,0.2,23.29,1,195
wCKq,1.29,24.86,3,206
D85Z,0.8,24.71,5,205
y5uR,0.89,24.06,5,201
UpBW,0.48,23.42,3,196
arQ9,0.7,23.84,6,196
FZoP,0.09,23.32,4,198
5ugR,0.12,25.01,2,210
I8J6,0.37,24.74,7,209
0t3l,0.35,24.67,6,209
Tw7S,2.81,23.5,9,203
Qlcu,0.09,23.91,5,200
vWsm,0.2,23.76,1,197
WOHX,2.5,24.75,12,205
xjCf,0.94,23.56,11,191
J6Nv,0.03,24.83,11,212
XUhP,0.2,23.57,3,197
EQiT,0.39,25.07,8,207
eNoE,0.19,23.91,5,198
nHJQ,1.06,23.93,19,202
trF0,0.07,24.99,3,207
qt1C,0.03,25.07,10,217
lxHR,0.36,23.68,6,193
ZLfX,0.54,23.61,8,191
LceJ,1.5,24.09,16,185
zYey,1.58,25.15,12,197
KhKl,2.32,23.96,3,200
RkT7,0.51,25.14,4,205
aukl,2.07,25.17,5,215
KEsA,1.48,23.82,8,204
Fzr5,0.37,24.04,4,198
xrN7,0.11,24.19,6,205
6cEX,1.54,25.2,10,206
bI3j,1.53,24.35,5,200
5blC,1.12,25.25,4,208
ouFo,2.34,25.25,19,227
NIHk,0.23,23.9,3,202
rb8z,0.26,24.31,4,200
HqkR,1.07,24.37,3,206
VwBB,0.41,24.95,5,205
7eiZ,0.02,25.32,4,207
YtnZ,1.74,25.26,22,200
ruIz,0.05,25.27,11,217
N9uR,1.17,24.01,8,196
oemI,0.24,23.17,2,191
YDb1,2.87,24.45,14,201
K0gX,0.16,25.03,5,211
Ufoe,0.13,25.29,7,211
rpJf,1.31,25.32,7,212
1YE3,0.14,24.35,8,209
FPDl,0.33,23.43,4,193
QU0k,0.21,25.08,4,209
qwqt,3.83,24.77,15,197
g0CR,2.21,24.55,11,215
z6al,0.03,25.33,8,211
tacK,0.05,24.89,4,207
HAZb,0.17,23.74,2,196
O3Jt,0.0,25.1,1,210
28rQ,0.05,24.98,7,213
hr3C,0.27,24.58,5,204
cFhS,0.01,25.31,3,212
Z5sf,0.31,25.38,9,214
OclU,0.0,24.91,5,212
xTWC,0.52,23.94,6,201
iIQG,0.13,25.1,10,207
76vP,1.07,24.8,14,206
eV13,2.09,25.32,4,211
oBzU,2.06,25.39,22,231
8wPo,2.78,24.93,8,208
tdMq,0.23,25.05,2,207
MeeY,1.88,24.2,22,207
m2HF,0.0,25.16,7,214
s1hp,0.0,24.83,3,210
s0Mq,0.07,25.39,5,208
