dev_id,active_time,uptime,collisions
DTCr,0.14,18.98,4
Eb8G,0.1,19.41,2
X42w,1.27,19.49,9
gDrf,0.11,19.17,6
mahO,1.15,19.06,3
EzFI,0.05,21.76,8
6cEX,0.35,23.95,1
OclU,0.0,23.69,11
g0CR,0.02,23.42,4
fPAD,0.03,18.96,10
8xg4,0.11,19.3,2
QtmQ,0.09,19.85,12
oemI,0.04,21.79,1
u6rL,0.09,19.86,5
8tvA,0.07,20.14,3
FZoP,0.08,22.1,1
fdl4,0.08,20.37,2
jzAc,0.07,21.9,11
iHMp,0.06,22.24,3
yKyH,0.07,20.53,4
yjf8,0.1,19.67,2
XRN7,0.0,23.58,7
jvj3,0.13,20.2,2
l3GD,0.03,22.06,3
00be,0.05,22.5,7
LxLD,0.08,20.6,3
Ecu6,0.04,19.22,5
QU0k,0.0,23.84,5
QB1X,0.05,20.61,7
97Ij,0.02,19.6,10
Tw7S,0.01,22.69,5
xemt,0.01,20.43,5
UpBW,0.03,22.52,5
iKyn,0.06,20.97,4
73Tu,0.08,20.04,5
zYey,0.01,23.9,6
aIpw,0.07,20.79,5
LvxD,0.08,20.79,2
vWsm,0.06,22.93,2
Ng1x,0.01,23.05,10
tv6S,0.0,22.74,8
qWdw,0.04,21.79,4
YtnZ,0.82,23.98,3
sPOv,0.06,21.15,2
6O3D,0.05,20.97,10
F34N,0.08,21.49,6
arQ9,1.03,22.97,15
p74Q,0.05,23.09,5
bI3j,0.01,23.33,7
M25B,0.04,21.81,12
4aXl,0.03,21.95,3
OKRG,0.05,21.32,5
LyTX,0.06,22.36,8
xTWC,1.05,23.09,7
MeeY,0.01,23.23,4
28rQ,0.02,23.76,1
VxQd,0.04,21.97,13
Wzkd,0.08,21.96,2
pZJN,0.04,21.91,7
FPDl,0.04,22.57,5
ShjO,0.01,23.37,8
1YE3,0.01,23.33,11
iepF,0.0,23.78,11
ueAF,0.03,22.81,8
lrfo,0.06,22.82,3
UuVJ,0.02,22.7,11
Qlcu,0.02,22.98,6
rRgA,0.01,23.41,12
s1hp,0.0,23.63,3
Qmth,1.57,23.96,11
WaMc,0.02,22.94,4
N9uR,0.01,23.1,9
XUhP,1.05,22.73,8
eNoE,0.02,23.0,3
wCKq,0.0,23.66,14
hr3C,0.01,23.45,11
HEs2,0.81,24.05,3
NIHk,0.01,22.98,8
IZSC,0.01,23.29,8
bWQz,0.02,22.85,10
O5iT,0.01,23.21,6
6cYl,0.0,23.7,8
WOHX,0.03,23.57,11
nHJQ,0.01,23.06,8
7Zez,0.01,23.35,6
HAZb,0.02,22.86,11
a7pJ,0.01,23.22,6
8wPo,0.01,23.7,2
zPYO,0.0,23.65,10
Fzr5,1.03,23.11,11
38aQ,0.01,23.46,8
MQqZ,2.06,22.86,10
rb8z,0.01,23.32,7
LkdJ,0.03,23.73,4
i4dr,0.01,23.78,3
H6XF,0.01,23.12,4
I8J6,0.01,23.54,6
gUMD,0.02,22.9,5
HqkR,0.01,23.34,10
Hg1e,0.0,23.73,2
14gH,0.0,23.86,5
PBxU,0.01,23.13,8
tdMq,0.0,23.82,4
KhKl,0.01,23.1,4
K0gX,0.0,23.79,7
8MWo,0.01,23.45,5
VFpI,0.01,24.02,5
aR6S,0.01,23.26,4
qt1C,0.0,23.83,2
LceJ,0.04,23.18,2
wsDk,0.01,23.91,2
B1Pc,0.74,23.58,0
fx40,0.11,24.08,3
SM0B,0.05,23.29,7
aukl,0.0,23.93,10
xrN7,0.03,23.21,12
90oz,0.01,23.94,6
76vP,0.01,23.59,10
RZT1,0.01,24.11,1
2Z5O,0.01,23.46,8
um07,0.01,23.93,10
o6yr,0.09,20.37,3
GqP7,0.01,23.24,0
I5la,0.0,23.94,14
VwBB,0.01,23.72,5
gXbz,0.01,23.53,6
lgpe,6.46,24.1,12
YDb1,0.01,23.36,5
w9wJ,0.0,24.13,3
trF0,0.0,23.77,7
0t3l,0.01,23.47,7
y5uR,0.02,23.17,11
D85Z,0.03,23.49,2
fb96,0.0,24.13,0
tacK,0.0,23.69,9
5ugR,1.01,23.77,10
lxHR,0.02,22.85,8
EQiT,0.0,23.84,0
Ufoe,0.01,24.02,0
eIYH,0.39,24.05,2
juXq,0.01,23.48,7
O3Jt,0.0,23.85,0
sl3G,0.0,24.01,9
cFhS,0.2,24.06,4
40UR,0.08,24.09,3
6tXT,0.0,23.88,1
ruIz,0.0,24.0,0
rpJf,0.07,24.1,3
axm9,0.24,24.03,2
RkT7,0.01,23.89,5
swb5,0.01,23.99,1
z6al,2.73,24.1,5
Z5sf,0.0,24.17,2
PGZb,2.16,24.01,6
lfS4,0.64,24.15,6
5blC,0.13,23.97,1
KEsA,0.02,22.97,7
eV13,0.33,24.07,6
SuSl,8.97,24.16,24
2sRY,1.92,23.95,9
ouFo,2.39,23.98,8
3cFk,1.2,24.11,7
SIMr,1.01,24.17,1
XS8Y,0.01,23.91,4
tUD7,2.02,24.13,4
ZLfX,0.02,22.78,2
oBzU,0.0,24.17,0
NfbR,1.35,24.13,12
m2HF,0.0,23.9,4
qwqt,0.0,23.57,4
pItB,0.16,24.06,3
Kz66,1.82,23.97,10
s0Mq,1.26,24.17,3
BQ5L,0.0,23.89,8
J6Nv,0.01,23.61,2
Fx5A,0.3,23.96,7
7eiZ,0.01,24.09,2
1sqD,2.12,23.83,4
jE0Y,0.03,22.64,10
2JgJ,0.01,24.17,0
91fb,2.36,24.1,6
wQIq,0.53,23.82,4
rCPx,0.1,19.31,1
L98G,1.69,24.08,11
QOSq,0.08,20.24,0
Atr4,4.26,24.12,16
6kza,0.02,19.2,0
JuOY,0.0,23.81,2
iIQG,0.0,23.85,4
X8od,0.02,24.12,0
wyYF,0.12,18.94,5
Vxxo,2.1,24.13,5
VRrk,0.01,23.71,5
YHBp,0.31,24.16,8
0E4p,0.01,24.03,5
paoZ,0.03,21.43,0
ZibF,0.11,19.14,9
grFo,0.39,24.14,5
xjCf,0.02,22.73,8
ikhW,0.4,24.14,3
