dev_id,active_time,uptime,collisions
fx40,1.0,33.8,8
o6yr,0.44,33.97,5
2Z5O,1.15,33.85,5
g0CR,0.54,34.01,7
oemI,0.31,33.81,13
XUhP,0.08,33.99,2
3cFk,0.01,34.35,1
Eb8G,0.16,36.18,16
nHJQ,0.04,34.33,4
N9uR,0.01,35.6,4
WaMc,0.07,36.05,15
iIQG,0.84,33.93,4
cFhS,0.04,34.34,4
40UR,0.51,34.27,19
sl3G,3.56,34.06,25
PGZb,2.01,34.01,12
eV13,0.08,34.02,3
LvxD,0.14,34.37,5
LceJ,0.06,33.89,8
QU0k,0.22,34.19,2
UpBW,0.98,34.61,16
juXq,0.13,34.25,10
QB1X,0.21,34.03,9
mahO,0.12,34.39,0
aIpw,0.39,34.8,4
ouFo,1.43,34.07,11
VRrk,0.06,34.29,4
ShjO,0.12,34.67,2
hr3C,0.02,34.27,3
arQ9,1.33,34.03,12
X42w,0.03,34.52,6
7eiZ,0.08,34.98,4
VwBB,1.18,34.37,5
Fx5A,0.35,34.4,7
VFpI,1.04,34.7,8
pZJN,1.24,34.38,12
trF0,1.27,34.2,15
14gH,0.75,34.39,11
Z5sf,0.15,35.21,4
fb96,5.14,34.54,32
PBxU,0.03,34.45,3
u6rL,0.16,34.86,9
zYey,0.19,34.46,0
xjCf,4.0,34.81,16
qWdw,0.98,34.47,8
aR6S,0.0,35.49,5
ZLfX,0.03,34.57,4
8wPo,2.78,34.54,7
38aQ,0.57,34.91,5
xrN7,3.19,34.53,13
1YE3,0.04,34.82,3
X8od,0.28,34.5,5
gXbz,0.57,35.72,15
I8J6,0.3,35.1,6
wCKq,0.28,34.61,10
s1hp,0.01,35.0,10
YDb1,1.62,34.66,13
OclU,0.71,34.9,5
SuSl,0.03,34.67,3
IZSC,0.17,35.78,6
Qmth,0.27,35.21,16
F34N,2.79,34.78,10
XRN7,0.01,35.16,2
Qlcu,0.22,34.73,14
0t3l,0.1,35.18,10
LkdJ,0.06,34.77,7
lrfo,0.01,35.83,6
aukl,2.13,35.22,13
yjf8,0.34,34.8,16
RkT7,0.14,34.9,7
LxLD,0.07,35.42,8
p74Q,0.88,35.41,6
lfS4,0.69,35.86,8
axm9,1.22,35.83,12
WOHX,0.17,35.78,8
91fb,0.01,35.11,1
EQiT,1.92,35.01,30
bWQz,1.15,35.47,9
Ng1x,0.1,35.54,8
LyTX,0.02,35.96,2
paoZ,2.27,35.94,26
tdMq,0.13,35.89,1
HAZb,1.44,35.29,10
tUD7,0.5,35.01,11
iKyn,0.26,35.51,14
Vxxo,0.12,35.57,18
O3Jt,0.04,36.02,5
QOSq,0.09,36.03,6
eNoE,0.3,35.92,7
m2HF,0.16,35.46,6
JuOY,2.26,35.33,34
UuVJ,0.03,35.68,2
GqP7,0.17,35.58,4
Ufoe,2.61,36.05,22
gDrf,1.25,36.06,10
6tXT,1.2,35.6,12
um07,2.37,36.07,11
FPDl,0.04,35.34,8
Tw7S,0.23,35.76,2
K0gX,0.23,35.69,5
xemt,1.85,36.09,12
wQIq,0.02,36.11,3
zPYO,2.98,35.61,16
ikhW,0.25,36.1,11
i4dr,0.22,35.56,15
O5iT,3.28,35.85,11
5blC,2.15,35.92,14
2sRY,1.87,36.12,23
wsDk,0.11,36.14,2
QtmQ,0.08,35.67,2
Wzkd,0.0,36.16,6
swb5,0.76,35.82,13
4aXl,1.29,36.01,19
fPAD,5.95,35.94,16
NfbR,0.13,36.16,8
Ecu6,3.39,36.19,20
8tvA,0.43,35.81,6
8xg4,5.61,36.17,38
qwqt,0.83,35.9,16
73Tu,1.2,36.16,8
28rQ,0.0,35.95,5
gUMD,0.34,36.2,10
6cEX,1.7,36.26,15
BQ5L,0.02,36.24,4
76vP,1.06,35.81,9
lxHR,0.09,35.93,4
rCPx,0.01,36.16,10
B1Pc,0.01,36.0,8
Atr4,1.03,36.26,20
D85Z,0.22,35.93,8
xTWC,0.24,35.96,25
w9wJ,0.01,35.06,7
oBzU,0.05,36.19,6
0E4p,0.18,36.08,12
NIHk,1.16,35.09,14
wyYF,1.04,35.98,14
H6XF,0.01,34.95,5
YtnZ,3.52,35.95,44
ZibF,0.68,36.21,19
L98G,0.07,36.18,14
jE0Y,0.42,34.3,3
lgpe,3.09,36.13,25
l3GD,0.51,35.99,19
00be,2.13,36.26,9
6O3D,0.0,36.24,7
6kza,0.9,34.66,5
vWsm,0.01,36.23,5
rpJf,0.09,34.17,2
VxQd,1.31,35.52,24
YHBp,0.01,33.84,4
HqkR,1.04,36.14,9
bI3j,0.0,36.04,5
6cYl,3.5,36.24,15
XS8Y,0.06,36.22,8
7Zez,0.04,36.24,10
KEsA,0.0,36.14,12
y5uR,1.14,36.07,10
FZoP,0.1,36.15,4
OKRG,0.18,36.08,11
HEs2,3.32,36.18,11
yKyH,0.05,36.26,7
SIMr,0.91,36.2,10
iepF,0.92,34.14,19
Kz66,1.04,36.21,3
