jLn5,168.87,10329.24,0
Hh7f,675.93,10326.61,2
xhil,789.03,10354.05,1
ACG7,22.12,10374.36,0
nn66,126.42,10321.59,0
n0Gb,564.12,10570.18,2
8K3K,21.26,10346.89,1
C7cC,19.51,10430.24,3
7lvb,599.89,10412.57,1
g10F,91.24,10363.85,0
9AlE,59.56,10572.81,0
GO2D,61.26,10377.0,0
L6YW,23.27,10344.26,0
6Qsl,54.5,10460.33,0
AWlH,2131.81,10575.43,4
FzQn,584.07,10578.06,1
o32G,1053.01,10420.22,1
79S3,633.09,10422.84,1
zcAF,77.92,10387.27,1
NFw6,94.71,10369.11,0
bnSu,1022.2,10588.57,2
pW7M,143.63,10583.32,0
QQ5C,1037.52,10601.72,8
Y0EB,17.47,10435.26,1
QymN,139.2,10483.26,0
vTYy,2114.47,10591.2,8
FEOW,312.49,10371.73,0
QQ9W,63.99,10379.63,0
cnKJ,98.75,10614.86,0
KlSz,35.59,10462.95,1
Dazr,80.17,10508.79,1
iTGU,52.85,10384.64,1
PHDA,541.25,10389.89,1
5B9q,26.48,10404.69,0
d6J1,1031.07,10622.49,2
CFDa,27.77,10475.61,0
sFSK,1057.28,10521.93,4
jiIo,671.02,10397.29,1
BNrD,141.28,10445.3,1
hdbn,12.0,10409.94,0
FFwK,27.41,10625.12,1
bTFy,132.82,10478.24,0
W9xS,2814.71,10527.19,5
tTo0,19.65,10407.32,0
7aYk,555.11,10447.93,1
vmmR,40.91,10470.6,0
Qihc,946.15,10632.76,1
lnXJ,15.68,10504.04,3
9pll,2024.45,10622.49,4
EZ8c,13.92,10415.2,0
bG4K,92.1,10452.68,0
BzNA,5.61,10539.86,0
iOK8,2168.83,10635.39,4
hK3b,30.97,10514.05,2
Oikg,170.27,10427.61,0
DY9f,62.12,10465.58,0
WtAl,28.69,10557.52,0
2h25,23.49,10437.89,0
A29D,557.51,10519.3,3
hYiS,1.63,10516.68,0
ojp7,76.02,10366.48,0
W4AS,2935.41,10564.92,7
w8zS,98.9,10455.31,0
3s1T,601.4,10524.56,2
0tGn,1138.5,10532.21,2
j6eI,327.89,10635.39,0
XPqS,25.3,10485.89,0
o6Hj,21.71,10596.46,0
E2cD,17.13,10534.84,0
r6y8,1129.44,10488.52,2
oBLw,513.88,10599.09,1
3IZG,1191.37,10555.15,3
X8Kn,366.32,10490.89,1
IMZE,36.34,10622.49,0
cs1r,533.27,10580.69,1
OXro,33.57,10493.52,0
t3w0,1493.21,10635.39,3
NBiG,202.53,10585.94,0
zP04,587.92,10496.15,1
AIj7,1015.86,10591.2,2
8XwI,187.45,10501.4,0
NPuJ,61.11,10591.2,0
usMx,16.72,10511.42,3
g8Cg,269.17,10593.84,0
y9Ch,560.37,10542.24,3
rb8P,80.17,10609.6,11
c9Xk,1465.94,10547.26,3
J836,43.49,10617.48,0
jPTt,512.65,10549.89,1
fROn,476.9,10622.49,1
9eTE,1467.43,10552.52,4
B6v5,0.37,10567.55,0
VGHy,50.78,10334.25,2
OqbH,31.14,10606.97,0
wrne,49.73,10612.23,0
96VU,35.02,10627.75,0
aK6J,125.13,10339.26,0
MnU3,171.88,10604.34,0
m9HG,27.09,10498.78,1
jQ7Z,600.93,10620.11,1

