id,app_data,snr,rssi,duty_cycle_remaining,is_primary,receive_time,seq,frequency,spf,power,airtime,coderate,bandwidth,msg_group_number,message_type_id,ap_id,node_id
1,MTMxLDEwMA==,8.71,-91.2,34922,t,2020-05-03 20:43:41.059,1,866100000,7,13,46,4/5,125000,0,1,111111,pjdQ
2,OTgsMTAw,9.53,-45.4,35059,t,2020-05-03 20:43:46.054,1,866100000,7,13,40,4/5,125000,0,1,111111,LteR
3,MTI2LDEwMA==,11.58,-73.5,34922,t,2020-05-03 20:43:51.63,1,866100000,7,13,46,4/5,125000,0,1,111111,3HGr
4,NTEsMTAw,8.27,-102.1,34198,t,2020-05-03 20:44:12.303,1,866900000,12,15,901,4/5,125000,0,2,111111,TOxm
5,ODMsMTAw,8.73,-79.2,34198,t,2020-05-03 20:44:22.876,1,866100000,12,15,901,4/5,125000,0,1,111111,JJ5v
6,MTM3LDEwMA==,11.48,-59.1,34067,t,2020-05-03 20:44:39.584,1,866100000,12,15,1032,4/5,125000,0,1,111111,ZFT1
7,MTE5LDEwMA==,9.63,-77.8,34531,t,2020-05-03 20:44:50.16,1,866100000,11,15,568,4/5,125000,0,1,111111,TYuc
8,MTI5LDEwMA==,9.06,-51.7,34400,t,2020-05-03 20:45:01.304,1,866100000,11,15,568,4/5,125000,0,1,111111,OBzA
9,NTUsMTAw,9.42,-105.3,34198,t,2020-05-03 20:45:11.951,1,866900000,12,15,901,4/5,125000,0,2,111111,2mY4
10,ODcsMTAw,9.19,-98.6,34604,t,2020-05-03 20:45:23.088,1,866100000,11,15,495,4/5,125000,0,1,111111,3mFZ
11,NTEsMTAw,7.1,-81.8,34067,t,2020-05-03 20:45:27.594,1,866900000,12,15,901,4/5,125000,0,2,111111,F3LY
12,MTUwLDEwMA==,9.54,-77.4,33936,t,2020-05-03 20:45:38.229,1,866900000,12,15,1032,4/5,125000,0,2,111111,34BL
